responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
314,raw_position_sample,2,3,adv,18,1,1,2,-1,999,865,120,183992.8999999985,5b77869d338a9300015468cf,5b77869d338a9300015468cf,advanced,1,5b77869d338a9300015468cf,5b77869d338a9300015468cf,spotlight_PROLIFIC,,28,Chile,Spanish,English,,Spanish:85|English:15,100,Spanish:25|English:75,100,Spanish:85|English:15,100,17,7,Bachelor's,10,10,10,7,9,9,6,17,9,15,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-21T23:47:07.783Z,U5C6JR37,2026-09-21,2026-09-21,20:47:07,2026-09-21 20:47:07,,,,,,,,5b77869d338a9300015468cf,5b77869d338a9300015468cf,,,,
364,raw_position_sample,2,3,adv,18,1,1,2,-1,999,874,127,184042.8999999985,5b77869d338a9300015468cf,5b77869d338a9300015468cf,advanced,1,5b77869d338a9300015468cf,5b77869d338a9300015468cf,spotlight_PROLIFIC,,28,Chile,Spanish,English,,Spanish:85|English:15,100,Spanish:25|English:75,100,Spanish:85|English:15,100,17,7,Bachelor's,10,10,10,7,9,9,6,17,9,15,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-21T23:47:07.783Z,U5C6JR37,2026-09-21,2026-09-21,20:47:07,2026-09-21 20:47:07,,,,,,,,5b77869d338a9300015468cf,5b77869d338a9300015468cf,,,,
414,raw_position_sample,2,3,adv,18,1,1,2,-1,999,880,131,184092.8999999985,5b77869d338a9300015468cf,5b77869d338a9300015468cf,advanced,1,5b77869d338a9300015468cf,5b77869d338a9300015468cf,spotlight_PROLIFIC,,28,Chile,Spanish,English,,Spanish:85|English:15,100,Spanish:25|English:75,100,Spanish:85|English:15,100,17,7,Bachelor's,10,10,10,7,9,9,6,17,9,15,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-21T23:47:07.783Z,U5C6JR37,2026-09-21,2026-09-21,20:47:07,2026-09-21 20:47:07,,,,,,,,5b77869d338a9300015468cf,5b77869d338a9300015468cf,,,,
464,raw_position_sample,2,3,adv,18,1,1,2,-1,999,884,136,184142.8999999985,5b77869d338a9300015468cf,5b77869d338a9300015468cf,advanced,1,5b77869d338a9300015468cf,5b77869d338a9300015468cf,spotlight_PROLIFIC,,28,Chile,Spanish,English,,Spanish:85|English:15,100,Spanish:25|English:75,100,Spanish:85|English:15,100,17,7,Bachelor's,10,10,10,7,9,9,6,17,9,15,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-21T23:47:07.783Z,U5C6JR37,2026-09-21,2026-09-21,20:47:07,2026-09-21 20:47:07,,,,,,,,5b77869d338a9300015468cf,5b77869d338a9300015468cf,,,,
514,raw_position_sample,2,3,adv,18,1,1,2,-1,999,890,139,184192.8999999985,5b77869d338a9300015468cf,5b77869d338a9300015468cf,advanced,1,5b77869d338a9300015468cf,5b77869d338a9300015468cf,spotlight_PROLIFIC,,28,Chile,Spanish,English,,Spanish:85|English:15,100,Spanish:25|English:75,100,Spanish:85|English:15,100,17,7,Bachelor's,10,10,10,7,9,9,6,17,9,15,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-21T23:47:07.783Z,U5C6JR37,2026-09-21,2026-09-21,20:47:07,2026-09-21 20:47:07,,,,,,,,5b77869d338a9300015468cf,5b77869d338a9300015468cf,,,,
564,raw_position_sample,2,3,adv,18,1,1,2,-1,999,904,146,184242.8999999985,5b77869d338a9300015468cf,5b77869d338a9300015468cf,advanced,1,5b77869d338a9300015468cf,5b77869d338a9300015468cf,spotlight_PROLIFIC,,28,Chile,Spanish,English,,Spanish:85|English:15,100,Spanish:25|English:75,100,Spanish:85|English:15,100,17,7,Bachelor's,10,10,10,7,9,9,6,17,9,15,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-21T23:47:07.783Z,U5C6JR37,2026-09-21,2026-09-21,20:47:07,2026-09-21 20:47:07,,,,,,,,5b77869d338a9300015468cf,5b77869d338a9300015468cf,,,,
614,raw_position_sample,2,3,adv,18,1,1,2,1, Tigers ,927,154,184293.1000000015,5b77869d338a9300015468cf,5b77869d338a9300015468cf,advanced,1,5b77869d338a9300015468cf,5b77869d338a9300015468cf,spotlight_PROLIFIC,,28,Chile,Spanish,English,,Spanish:85|English:15,100,Spanish:25|English:75,100,Spanish:85|English:15,100,17,7,Bachelor's,10,10,10,7,9,9,6,17,9,15,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,138.484375,912.375,162.484375,969,1,1,,,,,,,,,,,,2026-09-21T23:47:07.783Z,U5C6JR37,2026-09-21,2026-09-21,20:47:07,2026-09-21 20:47:07,,,,,,,,5b77869d338a9300015468cf,5b77869d338a9300015468cf,,,,
664,raw_position_sample,2,3,adv,18,1,1,2,1, Tigers ,949,161,184343.1000000015,5b77869d338a9300015468cf,5b77869d338a9300015468cf,advanced,1,5b77869d338a9300015468cf,5b77869d338a9300015468cf,spotlight_PROLIFIC,,28,Chile,Spanish,English,,Spanish:85|English:15,100,Spanish:25|English:75,100,Spanish:85|English:15,100,17,7,Bachelor's,10,10,10,7,9,9,6,17,9,15,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,138.484375,912.375,162.484375,969,1,1,,,,,,,,,,,,2026-09-21T23:47:07.783Z,U5C6JR37,2026-09-21,2026-09-21,20:47:07,2026-09-21 20:47:07,,,,,,,,5b77869d338a9300015468cf,5b77869d338a9300015468cf,,,,
714,raw_position_sample,2,3,adv,18,1,1,2,1, Tigers ,957,163,184393.20000000298,5b77869d338a9300015468cf,5b77869d338a9300015468cf,advanced,1,5b77869d338a9300015468cf,5b77869d338a9300015468cf,spotlight_PROLIFIC,,28,Chile,Spanish,English,,Spanish:85|English:15,100,Spanish:25|English:75,100,Spanish:85|English:15,100,17,7,Bachelor's,10,10,10,7,9,9,6,17,9,15,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,138.484375,912.375,162.484375,969,1,1,,,,,,,,,,,,2026-09-21T23:47:07.783Z,U5C6JR37,2026-09-21,2026-09-21,20:47:07,2026-09-21 20:47:07,,,,,,,,5b77869d338a9300015468cf,5b77869d338a9300015468cf,,,,
764,raw_position_sample,2,3,adv,18,1,1,2,1, Tigers ,959,163,184443.20000000298,5b77869d338a9300015468cf,5b77869d338a9300015468cf,advanced,1,5b77869d338a9300015468cf,5b77869d338a9300015468cf,spotlight_PROLIFIC,,28,Chile,Spanish,English,,Spanish:85|English:15,100,Spanish:25|English:75,100,Spanish:85|English:15,100,17,7,Bachelor's,10,10,10,7,9,9,6,17,9,15,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,138.484375,912.375,162.484375,969,1,1,,,,,,,,,,,,2026-09-21T23:47:07.783Z,U5C6JR37,2026-09-21,2026-09-21,20:47:07,2026-09-21 20:47:07,,,,,,,,5b77869d338a9300015468cf,5b77869d338a9300015468cf,,,,
