responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
55,raw_position_sample,2,3,adv,16,4,4,5,-1,999,255,39,1767844.200000003,697a69a4005c7181a84c4cd0,697a69a4005c7181a84c4cd0,advanced,4,697a69a4005c7181a84c4cd0,697a69a4005c7181a84c4cd0,spotlight_PROLIFIC,,32,Brasil,Portuguese,"Portuguese, english, spanish",spanish,Portuguese:80|English:15|spanish:5,100,Portuguese:80|English:15|spanish:5,100,Portuguese:90|English:9|spanish:1,100,22,6,Bachelor's,10,10,10,6,9,8,12,28,23,29,IELTS,7,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T13:05:54.709Z,DXVBLHQQ,2026-08-16,2026-08-16,10:05:54,2026-08-16 10:05:54,,,,,,,,697a69a4005c7181a84c4cd0,697a69a4005c7181a84c4cd0,,,,
80,raw_position_sample,2,3,adv,16,4,4,5,-1,999,255,39,1767869.400000006,697a69a4005c7181a84c4cd0,697a69a4005c7181a84c4cd0,advanced,4,697a69a4005c7181a84c4cd0,697a69a4005c7181a84c4cd0,spotlight_PROLIFIC,,32,Brasil,Portuguese,"Portuguese, english, spanish",spanish,Portuguese:80|English:15|spanish:5,100,Portuguese:80|English:15|spanish:5,100,Portuguese:90|English:9|spanish:1,100,22,6,Bachelor's,10,10,10,6,9,8,12,28,23,29,IELTS,7,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T13:05:54.709Z,DXVBLHQQ,2026-08-16,2026-08-16,10:05:54,2026-08-16 10:05:54,,,,,,,,697a69a4005c7181a84c4cd0,697a69a4005c7181a84c4cd0,,,,
124,raw_position_sample,2,3,adv,16,4,4,5,-1,999,255,39,1767912.900000006,697a69a4005c7181a84c4cd0,697a69a4005c7181a84c4cd0,advanced,4,697a69a4005c7181a84c4cd0,697a69a4005c7181a84c4cd0,spotlight_PROLIFIC,,32,Brasil,Portuguese,"Portuguese, english, spanish",spanish,Portuguese:80|English:15|spanish:5,100,Portuguese:80|English:15|spanish:5,100,Portuguese:90|English:9|spanish:1,100,22,6,Bachelor's,10,10,10,6,9,8,12,28,23,29,IELTS,7,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T13:05:54.709Z,DXVBLHQQ,2026-08-16,2026-08-16,10:05:54,2026-08-16 10:05:54,,,,,,,,697a69a4005c7181a84c4cd0,697a69a4005c7181a84c4cd0,,,,
189,raw_position_sample,2,3,adv,16,4,4,5,-1,999,255,39,1767977.799999997,697a69a4005c7181a84c4cd0,697a69a4005c7181a84c4cd0,advanced,4,697a69a4005c7181a84c4cd0,697a69a4005c7181a84c4cd0,spotlight_PROLIFIC,,32,Brasil,Portuguese,"Portuguese, english, spanish",spanish,Portuguese:80|English:15|spanish:5,100,Portuguese:80|English:15|spanish:5,100,Portuguese:90|English:9|spanish:1,100,22,6,Bachelor's,10,10,10,6,9,8,12,28,23,29,IELTS,7,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T13:05:54.709Z,DXVBLHQQ,2026-08-16,2026-08-16,10:05:54,2026-08-16 10:05:54,,,,,,,,697a69a4005c7181a84c4cd0,697a69a4005c7181a84c4cd0,,,,
223,raw_position_sample,2,3,adv,16,4,4,5,-1,999,255,39,1768012.200000003,697a69a4005c7181a84c4cd0,697a69a4005c7181a84c4cd0,advanced,4,697a69a4005c7181a84c4cd0,697a69a4005c7181a84c4cd0,spotlight_PROLIFIC,,32,Brasil,Portuguese,"Portuguese, english, spanish",spanish,Portuguese:80|English:15|spanish:5,100,Portuguese:80|English:15|spanish:5,100,Portuguese:90|English:9|spanish:1,100,22,6,Bachelor's,10,10,10,6,9,8,12,28,23,29,IELTS,7,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T13:05:54.709Z,DXVBLHQQ,2026-08-16,2026-08-16,10:05:54,2026-08-16 10:05:54,,,,,,,,697a69a4005c7181a84c4cd0,697a69a4005c7181a84c4cd0,,,,
277,raw_position_sample,2,3,adv,16,4,4,5,-1,999,255,39,1768066.100000009,697a69a4005c7181a84c4cd0,697a69a4005c7181a84c4cd0,advanced,4,697a69a4005c7181a84c4cd0,697a69a4005c7181a84c4cd0,spotlight_PROLIFIC,,32,Brasil,Portuguese,"Portuguese, english, spanish",spanish,Portuguese:80|English:15|spanish:5,100,Portuguese:80|English:15|spanish:5,100,Portuguese:90|English:9|spanish:1,100,22,6,Bachelor's,10,10,10,6,9,8,12,28,23,29,IELTS,7,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T13:05:54.709Z,DXVBLHQQ,2026-08-16,2026-08-16,10:05:54,2026-08-16 10:05:54,,,,,,,,697a69a4005c7181a84c4cd0,697a69a4005c7181a84c4cd0,,,,
325,raw_position_sample,2,3,adv,16,4,4,5,-1,999,255,39,1768114.100000009,697a69a4005c7181a84c4cd0,697a69a4005c7181a84c4cd0,advanced,4,697a69a4005c7181a84c4cd0,697a69a4005c7181a84c4cd0,spotlight_PROLIFIC,,32,Brasil,Portuguese,"Portuguese, english, spanish",spanish,Portuguese:80|English:15|spanish:5,100,Portuguese:80|English:15|spanish:5,100,Portuguese:90|English:9|spanish:1,100,22,6,Bachelor's,10,10,10,6,9,8,12,28,23,29,IELTS,7,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T13:05:54.709Z,DXVBLHQQ,2026-08-16,2026-08-16,10:05:54,2026-08-16 10:05:54,,,,,,,,697a69a4005c7181a84c4cd0,697a69a4005c7181a84c4cd0,,,,
372,raw_position_sample,2,3,adv,16,4,4,5,-1,999,255,39,1768161.200000003,697a69a4005c7181a84c4cd0,697a69a4005c7181a84c4cd0,advanced,4,697a69a4005c7181a84c4cd0,697a69a4005c7181a84c4cd0,spotlight_PROLIFIC,,32,Brasil,Portuguese,"Portuguese, english, spanish",spanish,Portuguese:80|English:15|spanish:5,100,Portuguese:80|English:15|spanish:5,100,Portuguese:90|English:9|spanish:1,100,22,6,Bachelor's,10,10,10,6,9,8,12,28,23,29,IELTS,7,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T13:05:54.709Z,DXVBLHQQ,2026-08-16,2026-08-16,10:05:54,2026-08-16 10:05:54,,,,,,,,697a69a4005c7181a84c4cd0,697a69a4005c7181a84c4cd0,,,,
439,raw_position_sample,2,3,adv,16,4,4,5,-1,999,255,39,1768228.600000009,697a69a4005c7181a84c4cd0,697a69a4005c7181a84c4cd0,advanced,4,697a69a4005c7181a84c4cd0,697a69a4005c7181a84c4cd0,spotlight_PROLIFIC,,32,Brasil,Portuguese,"Portuguese, english, spanish",spanish,Portuguese:80|English:15|spanish:5,100,Portuguese:80|English:15|spanish:5,100,Portuguese:90|English:9|spanish:1,100,22,6,Bachelor's,10,10,10,6,9,8,12,28,23,29,IELTS,7,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T13:05:54.709Z,DXVBLHQQ,2026-08-16,2026-08-16,10:05:54,2026-08-16 10:05:54,,,,,,,,697a69a4005c7181a84c4cd0,697a69a4005c7181a84c4cd0,,,,
496,raw_position_sample,2,3,adv,16,4,4,5,-1,999,255,39,1768285.200000003,697a69a4005c7181a84c4cd0,697a69a4005c7181a84c4cd0,advanced,4,697a69a4005c7181a84c4cd0,697a69a4005c7181a84c4cd0,spotlight_PROLIFIC,,32,Brasil,Portuguese,"Portuguese, english, spanish",spanish,Portuguese:80|English:15|spanish:5,100,Portuguese:80|English:15|spanish:5,100,Portuguese:90|English:9|spanish:1,100,22,6,Bachelor's,10,10,10,6,9,8,12,28,23,29,IELTS,7,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T13:05:54.709Z,DXVBLHQQ,2026-08-16,2026-08-16,10:05:54,2026-08-16 10:05:54,,,,,,,,697a69a4005c7181a84c4cd0,697a69a4005c7181a84c4cd0,,,,
