responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,SubjectId,SubjectID,ProlificId,ProlificID,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,onestop_block_level,onestop_paragraph_index,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,sampleTimeMs,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
1518,raw_position_sample,2,3,adv,12,1,1,2,-1,999,619,109,,,,,,,test,test,,,,,,,,,advanced,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258963,,,,,,,,,,,,,,,test,test
1569,raw_position_sample,2,3,adv,12,1,1,2,-1,999,619,109,,,,,,,test,test,,,,,,,,,advanced,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259013,,,,,,,,,,,,,,,test,test
1619,raw_position_sample,2,3,adv,12,1,1,2,-1,999,619,109,,,,,,,test,test,,,,,,,,,advanced,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259063,,,,,,,,,,,,,,,test,test
1670,raw_position_sample,2,3,adv,12,1,1,2,-1,999,619,109,,,,,,,test,test,,,,,,,,,advanced,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259115,,,,,,,,,,,,,,,test,test
1720,raw_position_sample,2,3,adv,12,1,1,2,1," Crunchy, ",653,115,,,,,,,test,test,,,121.26666259765625,586.36669921875,141.26666259765625,662.0833587646484,1,1,advanced,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259165,,,,,,,,,,,,,,,test,test
1728,hover_association,2,3,adv,12,1,1,2,1," Crunchy, ",653,115,hover,17,17,0.885747752011154,0.09333343505859375,133,test,test,,,111.26666259765625,582.580866241455,151.26666259765625,662.0833358764648,1,1,advanced,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
1771,raw_position_sample,2,3,adv,12,1,1,2,2, full ,680,127,,,,,,,test,test,,,121.26666259765625,662.0833129882812,141.26666259765625,690.0999908447266,1,2,advanced,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259216,,,,,,,,,,,,,,,test,test
1821,raw_position_sample,2,3,adv,12,1,1,2,2, full ,681,127,,,,,,,test,test,,,121.26666259765625,662.0833129882812,141.26666259765625,690.0999908447266,1,2,advanced,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259266,,,,,,,,,,,,,,,test,test
1872,raw_position_sample,2,3,adv,12,1,1,2,2, full ,681,127,,,,,,,test,test,,,121.26666259765625,662.0833129882812,141.26666259765625,690.0999908447266,1,2,advanced,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259317,,,,,,,,,,,,,,,test,test
1922,raw_position_sample,2,3,adv,12,1,1,2,2, full ,681,127,,,,,,,test,test,,,121.26666259765625,662.0833129882812,141.26666259765625,690.0999908447266,1,2,advanced,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259367,,,,,,,,,,,,,,,test,test
1973,raw_position_sample,2,3,adv,12,1,1,2,2, full ,681,127,,,,,,,test,test,,,121.26666259765625,662.0833129882812,141.26666259765625,690.0999908447266,1,2,advanced,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259418,,,,,,,,,,,,,,,test,test
2023,raw_position_sample,2,3,adv,12,1,1,2,2, full ,681,127,,,,,,,test,test,,,121.26666259765625,662.0833129882812,141.26666259765625,690.0999908447266,1,2,advanced,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259468,,,,,,,,,,,,,,,test,test
2074,raw_position_sample,2,3,adv,12,1,1,2,2, full ,681,127,,,,,,,test,test,,,121.26666259765625,662.0833129882812,141.26666259765625,690.0999908447266,1,2,advanced,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259519,,,,,,,,,,,,,,,test,test
