responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
195,raw_position_sample,2,3,adv,20,4,4,5,-1,999,815,115,641617.7999999821,566bdeb3beaf21001240085a,566bdeb3beaf21001240085a,advanced,4,566bdeb3beaf21001240085a,566bdeb3beaf21001240085a,spotlight_PROLIFIC,,39,Mexico,Spanish,"English, Japanese, Esperanto",Japanese|Esperanto,Spanish:70|English:18|Japanese:10|Esperanto:2,100,Spanish:40|English:40|Japanese:10|Esperanto:10,100,Spanish:40|English:30|Japanese:20|Esperanto:10,100,17,1,Bachelor's,10,10,10,9,9,9,13,22,13,20,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-21T23:36:19.423Z,6XXDX3XN,2026-09-21,2026-09-21,17:36:19,2026-09-21 17:36:19,,,,,,,,566bdeb3beaf21001240085a,566bdeb3beaf21001240085a,,,,
249,raw_position_sample,2,3,adv,20,4,4,5,-1,999,829,144,641671.1999999881,566bdeb3beaf21001240085a,566bdeb3beaf21001240085a,advanced,4,566bdeb3beaf21001240085a,566bdeb3beaf21001240085a,spotlight_PROLIFIC,,39,Mexico,Spanish,"English, Japanese, Esperanto",Japanese|Esperanto,Spanish:70|English:18|Japanese:10|Esperanto:2,100,Spanish:40|English:40|Japanese:10|Esperanto:10,100,Spanish:40|English:30|Japanese:20|Esperanto:10,100,17,1,Bachelor's,10,10,10,9,9,9,13,22,13,20,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-21T23:36:19.423Z,6XXDX3XN,2026-09-21,2026-09-21,17:36:19,2026-09-21 17:36:19,,,,,,,,566bdeb3beaf21001240085a,566bdeb3beaf21001240085a,,,,
300,raw_position_sample,2,3,adv,20,4,4,5,-1,999,853,175,641722.2999999821,566bdeb3beaf21001240085a,566bdeb3beaf21001240085a,advanced,4,566bdeb3beaf21001240085a,566bdeb3beaf21001240085a,spotlight_PROLIFIC,,39,Mexico,Spanish,"English, Japanese, Esperanto",Japanese|Esperanto,Spanish:70|English:18|Japanese:10|Esperanto:2,100,Spanish:40|English:40|Japanese:10|Esperanto:10,100,Spanish:40|English:30|Japanese:20|Esperanto:10,100,17,1,Bachelor's,10,10,10,9,9,9,13,22,13,20,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-21T23:36:19.423Z,6XXDX3XN,2026-09-21,2026-09-21,17:36:19,2026-09-21 17:36:19,,,,,,,,566bdeb3beaf21001240085a,566bdeb3beaf21001240085a,,,,
348,raw_position_sample,2,3,adv,20,4,4,5,-1,999,871,170,641770.599999994,566bdeb3beaf21001240085a,566bdeb3beaf21001240085a,advanced,4,566bdeb3beaf21001240085a,566bdeb3beaf21001240085a,spotlight_PROLIFIC,,39,Mexico,Spanish,"English, Japanese, Esperanto",Japanese|Esperanto,Spanish:70|English:18|Japanese:10|Esperanto:2,100,Spanish:40|English:40|Japanese:10|Esperanto:10,100,Spanish:40|English:30|Japanese:20|Esperanto:10,100,17,1,Bachelor's,10,10,10,9,9,9,13,22,13,20,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-21T23:36:19.423Z,6XXDX3XN,2026-09-21,2026-09-21,17:36:19,2026-09-21 17:36:19,,,,,,,,566bdeb3beaf21001240085a,566bdeb3beaf21001240085a,,,,
398,raw_position_sample,2,3,adv,20,4,4,5,1, Index ,889,157,641820.2999999821,566bdeb3beaf21001240085a,566bdeb3beaf21001240085a,advanced,4,566bdeb3beaf21001240085a,566bdeb3beaf21001240085a,spotlight_PROLIFIC,,39,Mexico,Spanish,"English, Japanese, Esperanto",Japanese|Esperanto,Spanish:70|English:18|Japanese:10|Esperanto:2,100,Spanish:40|English:40|Japanese:10|Esperanto:10,100,Spanish:40|English:30|Japanese:20|Esperanto:10,100,17,1,Bachelor's,10,10,10,9,9,9,13,22,13,20,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,136.328125,876.375,160.328125,928.671875,1,1,,,,,,,,,,,,2026-09-21T23:36:19.423Z,6XXDX3XN,2026-09-21,2026-09-21,17:36:19,2026-09-21 17:36:19,,,,,,,,566bdeb3beaf21001240085a,566bdeb3beaf21001240085a,,,,
452,raw_position_sample,2,3,adv,20,4,4,5,1, Index ,891,155,641874.6999999881,566bdeb3beaf21001240085a,566bdeb3beaf21001240085a,advanced,4,566bdeb3beaf21001240085a,566bdeb3beaf21001240085a,spotlight_PROLIFIC,,39,Mexico,Spanish,"English, Japanese, Esperanto",Japanese|Esperanto,Spanish:70|English:18|Japanese:10|Esperanto:2,100,Spanish:40|English:40|Japanese:10|Esperanto:10,100,Spanish:40|English:30|Japanese:20|Esperanto:10,100,17,1,Bachelor's,10,10,10,9,9,9,13,22,13,20,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,136.328125,876.375,160.328125,928.671875,1,1,,,,,,,,,,,,2026-09-21T23:36:19.423Z,6XXDX3XN,2026-09-21,2026-09-21,17:36:19,2026-09-21 17:36:19,,,,,,,,566bdeb3beaf21001240085a,566bdeb3beaf21001240085a,,,,
499,raw_position_sample,2,3,adv,20,4,4,5,1, Index ,891,155,641921.8999999762,566bdeb3beaf21001240085a,566bdeb3beaf21001240085a,advanced,4,566bdeb3beaf21001240085a,566bdeb3beaf21001240085a,spotlight_PROLIFIC,,39,Mexico,Spanish,"English, Japanese, Esperanto",Japanese|Esperanto,Spanish:70|English:18|Japanese:10|Esperanto:2,100,Spanish:40|English:40|Japanese:10|Esperanto:10,100,Spanish:40|English:30|Japanese:20|Esperanto:10,100,17,1,Bachelor's,10,10,10,9,9,9,13,22,13,20,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,136.328125,876.375,160.328125,928.671875,1,1,,,,,,,,,,,,2026-09-21T23:36:19.423Z,6XXDX3XN,2026-09-21,2026-09-21,17:36:19,2026-09-21 17:36:19,,,,,,,,566bdeb3beaf21001240085a,566bdeb3beaf21001240085a,,,,
561,raw_position_sample,2,3,adv,20,4,4,5,1, Index ,891,155,641983.3999999762,566bdeb3beaf21001240085a,566bdeb3beaf21001240085a,advanced,4,566bdeb3beaf21001240085a,566bdeb3beaf21001240085a,spotlight_PROLIFIC,,39,Mexico,Spanish,"English, Japanese, Esperanto",Japanese|Esperanto,Spanish:70|English:18|Japanese:10|Esperanto:2,100,Spanish:40|English:40|Japanese:10|Esperanto:10,100,Spanish:40|English:30|Japanese:20|Esperanto:10,100,17,1,Bachelor's,10,10,10,9,9,9,13,22,13,20,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,136.328125,876.375,160.328125,928.671875,1,1,,,,,,,,,,,,2026-09-21T23:36:19.423Z,6XXDX3XN,2026-09-21,2026-09-21,17:36:19,2026-09-21 17:36:19,,,,,,,,566bdeb3beaf21001240085a,566bdeb3beaf21001240085a,,,,
600,raw_position_sample,2,3,adv,20,4,4,5,1, Index ,891,155,642022.6999999881,566bdeb3beaf21001240085a,566bdeb3beaf21001240085a,advanced,4,566bdeb3beaf21001240085a,566bdeb3beaf21001240085a,spotlight_PROLIFIC,,39,Mexico,Spanish,"English, Japanese, Esperanto",Japanese|Esperanto,Spanish:70|English:18|Japanese:10|Esperanto:2,100,Spanish:40|English:40|Japanese:10|Esperanto:10,100,Spanish:40|English:30|Japanese:20|Esperanto:10,100,17,1,Bachelor's,10,10,10,9,9,9,13,22,13,20,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,136.328125,876.375,160.328125,928.671875,1,1,,,,,,,,,,,,2026-09-21T23:36:19.423Z,6XXDX3XN,2026-09-21,2026-09-21,17:36:19,2026-09-21 17:36:19,,,,,,,,566bdeb3beaf21001240085a,566bdeb3beaf21001240085a,,,,
647,raw_position_sample,2,3,adv,20,4,4,5,1, Index ,902,159,642069.2999999821,566bdeb3beaf21001240085a,566bdeb3beaf21001240085a,advanced,4,566bdeb3beaf21001240085a,566bdeb3beaf21001240085a,spotlight_PROLIFIC,,39,Mexico,Spanish,"English, Japanese, Esperanto",Japanese|Esperanto,Spanish:70|English:18|Japanese:10|Esperanto:2,100,Spanish:40|English:40|Japanese:10|Esperanto:10,100,Spanish:40|English:30|Japanese:20|Esperanto:10,100,17,1,Bachelor's,10,10,10,9,9,9,13,22,13,20,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,136.328125,876.375,160.328125,928.671875,1,1,,,,,,,,,,,,2026-09-21T23:36:19.423Z,6XXDX3XN,2026-09-21,2026-09-21,17:36:19,2026-09-21 17:36:19,,,,,,,,566bdeb3beaf21001240085a,566bdeb3beaf21001240085a,,,,
