responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
320,raw_position_sample,2,2,int,18,4,17,18,-1,999,534,96,1302651.8000000715,69ef99a65d19811a9ddad38b,69ef99a65d19811a9ddad38b,intermediate,4,69ef99a65d19811a9ddad38b,69ef99a65d19811a9ddad38b,spotlight_PROLIFIC,,31,Brazil,Portuguese,"portuguese, english",,Portuguese:90|English:10,100,Portuguese:90|English:10,100,Portuguese:95|English:5,100,5,5,Bachelor's,10,10,10,7,8,10,8,17,8,18,,,,,12,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-07-06T21:58:15.428Z,52VLF5QS,2026-07-06,2026-07-06,18:58:15,2026-07-06 18:58:15,,,,,,,,69ef99a65d19811a9ddad38b,69ef99a65d19811a9ddad38b,,,,
370,raw_position_sample,2,2,int,18,4,17,18,-1,999,534,96,1302702.1000000238,69ef99a65d19811a9ddad38b,69ef99a65d19811a9ddad38b,intermediate,4,69ef99a65d19811a9ddad38b,69ef99a65d19811a9ddad38b,spotlight_PROLIFIC,,31,Brazil,Portuguese,"portuguese, english",,Portuguese:90|English:10,100,Portuguese:90|English:10,100,Portuguese:95|English:5,100,5,5,Bachelor's,10,10,10,7,8,10,8,17,8,18,,,,,12,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-07-06T21:58:15.428Z,52VLF5QS,2026-07-06,2026-07-06,18:58:15,2026-07-06 18:58:15,,,,,,,,69ef99a65d19811a9ddad38b,69ef99a65d19811a9ddad38b,,,,
416,raw_position_sample,2,2,int,18,4,17,18,-1,999,534,96,1302748.3000000715,69ef99a65d19811a9ddad38b,69ef99a65d19811a9ddad38b,intermediate,4,69ef99a65d19811a9ddad38b,69ef99a65d19811a9ddad38b,spotlight_PROLIFIC,,31,Brazil,Portuguese,"portuguese, english",,Portuguese:90|English:10,100,Portuguese:90|English:10,100,Portuguese:95|English:5,100,5,5,Bachelor's,10,10,10,7,8,10,8,17,8,18,,,,,12,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-07-06T21:58:15.428Z,52VLF5QS,2026-07-06,2026-07-06,18:58:15,2026-07-06 18:58:15,,,,,,,,69ef99a65d19811a9ddad38b,69ef99a65d19811a9ddad38b,,,,
480,raw_position_sample,2,2,int,18,4,17,18,-1,999,534,96,1302812.1000000238,69ef99a65d19811a9ddad38b,69ef99a65d19811a9ddad38b,intermediate,4,69ef99a65d19811a9ddad38b,69ef99a65d19811a9ddad38b,spotlight_PROLIFIC,,31,Brazil,Portuguese,"portuguese, english",,Portuguese:90|English:10,100,Portuguese:90|English:10,100,Portuguese:95|English:5,100,5,5,Bachelor's,10,10,10,7,8,10,8,17,8,18,,,,,12,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-07-06T21:58:15.428Z,52VLF5QS,2026-07-06,2026-07-06,18:58:15,2026-07-06 18:58:15,,,,,,,,69ef99a65d19811a9ddad38b,69ef99a65d19811a9ddad38b,,,,
527,raw_position_sample,2,2,int,18,4,17,18,-1,999,534,96,1302858.8999999762,69ef99a65d19811a9ddad38b,69ef99a65d19811a9ddad38b,intermediate,4,69ef99a65d19811a9ddad38b,69ef99a65d19811a9ddad38b,spotlight_PROLIFIC,,31,Brazil,Portuguese,"portuguese, english",,Portuguese:90|English:10,100,Portuguese:90|English:10,100,Portuguese:95|English:5,100,5,5,Bachelor's,10,10,10,7,8,10,8,17,8,18,,,,,12,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-07-06T21:58:15.428Z,52VLF5QS,2026-07-06,2026-07-06,18:58:15,2026-07-06 18:58:15,,,,,,,,69ef99a65d19811a9ddad38b,69ef99a65d19811a9ddad38b,,,,
573,raw_position_sample,2,2,int,18,4,17,18,-1,999,534,96,1302905.5,69ef99a65d19811a9ddad38b,69ef99a65d19811a9ddad38b,intermediate,4,69ef99a65d19811a9ddad38b,69ef99a65d19811a9ddad38b,spotlight_PROLIFIC,,31,Brazil,Portuguese,"portuguese, english",,Portuguese:90|English:10,100,Portuguese:90|English:10,100,Portuguese:95|English:5,100,5,5,Bachelor's,10,10,10,7,8,10,8,17,8,18,,,,,12,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-07-06T21:58:15.428Z,52VLF5QS,2026-07-06,2026-07-06,18:58:15,2026-07-06 18:58:15,,,,,,,,69ef99a65d19811a9ddad38b,69ef99a65d19811a9ddad38b,,,,
620,raw_position_sample,2,2,int,18,4,17,18,-1,999,534,96,1302952.3000000715,69ef99a65d19811a9ddad38b,69ef99a65d19811a9ddad38b,intermediate,4,69ef99a65d19811a9ddad38b,69ef99a65d19811a9ddad38b,spotlight_PROLIFIC,,31,Brazil,Portuguese,"portuguese, english",,Portuguese:90|English:10,100,Portuguese:90|English:10,100,Portuguese:95|English:5,100,5,5,Bachelor's,10,10,10,7,8,10,8,17,8,18,,,,,12,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-07-06T21:58:15.428Z,52VLF5QS,2026-07-06,2026-07-06,18:58:15,2026-07-06 18:58:15,,,,,,,,69ef99a65d19811a9ddad38b,69ef99a65d19811a9ddad38b,,,,
667,raw_position_sample,2,2,int,18,4,17,18,-1,999,534,96,1302999,69ef99a65d19811a9ddad38b,69ef99a65d19811a9ddad38b,intermediate,4,69ef99a65d19811a9ddad38b,69ef99a65d19811a9ddad38b,spotlight_PROLIFIC,,31,Brazil,Portuguese,"portuguese, english",,Portuguese:90|English:10,100,Portuguese:90|English:10,100,Portuguese:95|English:5,100,5,5,Bachelor's,10,10,10,7,8,10,8,17,8,18,,,,,12,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-07-06T21:58:15.428Z,52VLF5QS,2026-07-06,2026-07-06,18:58:15,2026-07-06 18:58:15,,,,,,,,69ef99a65d19811a9ddad38b,69ef99a65d19811a9ddad38b,,,,
731,raw_position_sample,2,2,int,18,4,17,18,-1,999,534,96,1303062.8000000715,69ef99a65d19811a9ddad38b,69ef99a65d19811a9ddad38b,intermediate,4,69ef99a65d19811a9ddad38b,69ef99a65d19811a9ddad38b,spotlight_PROLIFIC,,31,Brazil,Portuguese,"portuguese, english",,Portuguese:90|English:10,100,Portuguese:90|English:10,100,Portuguese:95|English:5,100,5,5,Bachelor's,10,10,10,7,8,10,8,17,8,18,,,,,12,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-07-06T21:58:15.428Z,52VLF5QS,2026-07-06,2026-07-06,18:58:15,2026-07-06 18:58:15,,,,,,,,69ef99a65d19811a9ddad38b,69ef99a65d19811a9ddad38b,,,,
777,raw_position_sample,2,2,int,18,4,17,18,-1,999,534,96,1303109.1000000238,69ef99a65d19811a9ddad38b,69ef99a65d19811a9ddad38b,intermediate,4,69ef99a65d19811a9ddad38b,69ef99a65d19811a9ddad38b,spotlight_PROLIFIC,,31,Brazil,Portuguese,"portuguese, english",,Portuguese:90|English:10,100,Portuguese:90|English:10,100,Portuguese:95|English:5,100,5,5,Bachelor's,10,10,10,7,8,10,8,17,8,18,,,,,12,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-07-06T21:58:15.428Z,52VLF5QS,2026-07-06,2026-07-06,18:58:15,2026-07-06 18:58:15,,,,,,,,69ef99a65d19811a9ddad38b,69ef99a65d19811a9ddad38b,,,,
