responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
417,raw_position_sample,2,2,int,16,1,1,2,-1,999,274,94,801325.8000000007,6a0d0bc4cf68f088f85f0469,6a0d0bc4cf68f088f85f0469,intermediate,1,6a0d0bc4cf68f088f85f0469,6a0d0bc4cf68f088f85f0469,spotlight_PROLIFIC,,38,Mexico,Spanish,"English, French",French,Spanish:40|English:40|French:20,100,Spanish:40|English:40|French:20,100,Spanish:50|English:40|French:10,100,18,1,Bachelor's,10,10,10,9,9,9,10,18,15,18,TOEFL,90,,,,,20,25,B2,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T16:01:12.472Z,C9E8VBQ3,2026-09-22,2026-09-22,10:01:12,2026-09-22 10:01:12,,,,,,,,6a0d0bc4cf68f088f85f0469,6a0d0bc4cf68f088f85f0469,,,,
468,raw_position_sample,2,2,int,16,1,1,2,-1,999,280,95,801376.5999999996,6a0d0bc4cf68f088f85f0469,6a0d0bc4cf68f088f85f0469,intermediate,1,6a0d0bc4cf68f088f85f0469,6a0d0bc4cf68f088f85f0469,spotlight_PROLIFIC,,38,Mexico,Spanish,"English, French",French,Spanish:40|English:40|French:20,100,Spanish:40|English:40|French:20,100,Spanish:50|English:40|French:10,100,18,1,Bachelor's,10,10,10,9,9,9,10,18,15,18,TOEFL,90,,,,,20,25,B2,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T16:01:12.472Z,C9E8VBQ3,2026-09-22,2026-09-22,10:01:12,2026-09-22 10:01:12,,,,,,,,6a0d0bc4cf68f088f85f0469,6a0d0bc4cf68f088f85f0469,,,,
532,raw_position_sample,2,2,int,16,1,1,2,-1,999,280,95,801441,6a0d0bc4cf68f088f85f0469,6a0d0bc4cf68f088f85f0469,intermediate,1,6a0d0bc4cf68f088f85f0469,6a0d0bc4cf68f088f85f0469,spotlight_PROLIFIC,,38,Mexico,Spanish,"English, French",French,Spanish:40|English:40|French:20,100,Spanish:40|English:40|French:20,100,Spanish:50|English:40|French:10,100,18,1,Bachelor's,10,10,10,9,9,9,10,18,15,18,TOEFL,90,,,,,20,25,B2,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T16:01:12.472Z,C9E8VBQ3,2026-09-22,2026-09-22,10:01:12,2026-09-22 10:01:12,,,,,,,,6a0d0bc4cf68f088f85f0469,6a0d0bc4cf68f088f85f0469,,,,
581,raw_position_sample,2,2,int,16,1,1,2,-1,999,280,95,801489.4000000004,6a0d0bc4cf68f088f85f0469,6a0d0bc4cf68f088f85f0469,intermediate,1,6a0d0bc4cf68f088f85f0469,6a0d0bc4cf68f088f85f0469,spotlight_PROLIFIC,,38,Mexico,Spanish,"English, French",French,Spanish:40|English:40|French:20,100,Spanish:40|English:40|French:20,100,Spanish:50|English:40|French:10,100,18,1,Bachelor's,10,10,10,9,9,9,10,18,15,18,TOEFL,90,,,,,20,25,B2,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T16:01:12.472Z,C9E8VBQ3,2026-09-22,2026-09-22,10:01:12,2026-09-22 10:01:12,,,,,,,,6a0d0bc4cf68f088f85f0469,6a0d0bc4cf68f088f85f0469,,,,
629,raw_position_sample,2,2,int,16,1,1,2,-1,999,280,95,801537.9000000004,6a0d0bc4cf68f088f85f0469,6a0d0bc4cf68f088f85f0469,intermediate,1,6a0d0bc4cf68f088f85f0469,6a0d0bc4cf68f088f85f0469,spotlight_PROLIFIC,,38,Mexico,Spanish,"English, French",French,Spanish:40|English:40|French:20,100,Spanish:40|English:40|French:20,100,Spanish:50|English:40|French:10,100,18,1,Bachelor's,10,10,10,9,9,9,10,18,15,18,TOEFL,90,,,,,20,25,B2,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T16:01:12.472Z,C9E8VBQ3,2026-09-22,2026-09-22,10:01:12,2026-09-22 10:01:12,,,,,,,,6a0d0bc4cf68f088f85f0469,6a0d0bc4cf68f088f85f0469,,,,
676,raw_position_sample,2,2,int,16,1,1,2,-1,999,280,95,801585.2000000011,6a0d0bc4cf68f088f85f0469,6a0d0bc4cf68f088f85f0469,intermediate,1,6a0d0bc4cf68f088f85f0469,6a0d0bc4cf68f088f85f0469,spotlight_PROLIFIC,,38,Mexico,Spanish,"English, French",French,Spanish:40|English:40|French:20,100,Spanish:40|English:40|French:20,100,Spanish:50|English:40|French:10,100,18,1,Bachelor's,10,10,10,9,9,9,10,18,15,18,TOEFL,90,,,,,20,25,B2,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T16:01:12.472Z,C9E8VBQ3,2026-09-22,2026-09-22,10:01:12,2026-09-22 10:01:12,,,,,,,,6a0d0bc4cf68f088f85f0469,6a0d0bc4cf68f088f85f0469,,,,
725,raw_position_sample,2,2,int,16,1,1,2,-1,999,280,95,801633.3000000007,6a0d0bc4cf68f088f85f0469,6a0d0bc4cf68f088f85f0469,intermediate,1,6a0d0bc4cf68f088f85f0469,6a0d0bc4cf68f088f85f0469,spotlight_PROLIFIC,,38,Mexico,Spanish,"English, French",French,Spanish:40|English:40|French:20,100,Spanish:40|English:40|French:20,100,Spanish:50|English:40|French:10,100,18,1,Bachelor's,10,10,10,9,9,9,10,18,15,18,TOEFL,90,,,,,20,25,B2,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T16:01:12.472Z,C9E8VBQ3,2026-09-22,2026-09-22,10:01:12,2026-09-22 10:01:12,,,,,,,,6a0d0bc4cf68f088f85f0469,6a0d0bc4cf68f088f85f0469,,,,
767,raw_position_sample,2,2,int,16,1,1,2,-1,999,281,95,801676.2000000011,6a0d0bc4cf68f088f85f0469,6a0d0bc4cf68f088f85f0469,intermediate,1,6a0d0bc4cf68f088f85f0469,6a0d0bc4cf68f088f85f0469,spotlight_PROLIFIC,,38,Mexico,Spanish,"English, French",French,Spanish:40|English:40|French:20,100,Spanish:40|English:40|French:20,100,Spanish:50|English:40|French:10,100,18,1,Bachelor's,10,10,10,9,9,9,10,18,15,18,TOEFL,90,,,,,20,25,B2,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T16:01:12.472Z,C9E8VBQ3,2026-09-22,2026-09-22,10:01:12,2026-09-22 10:01:12,,,,,,,,6a0d0bc4cf68f088f85f0469,6a0d0bc4cf68f088f85f0469,,,,
818,raw_position_sample,2,2,int,16,1,1,2,-1,999,292,98,801726.3000000007,6a0d0bc4cf68f088f85f0469,6a0d0bc4cf68f088f85f0469,intermediate,1,6a0d0bc4cf68f088f85f0469,6a0d0bc4cf68f088f85f0469,spotlight_PROLIFIC,,38,Mexico,Spanish,"English, French",French,Spanish:40|English:40|French:20,100,Spanish:40|English:40|French:20,100,Spanish:50|English:40|French:10,100,18,1,Bachelor's,10,10,10,9,9,9,10,18,15,18,TOEFL,90,,,,,20,25,B2,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T16:01:12.472Z,C9E8VBQ3,2026-09-22,2026-09-22,10:01:12,2026-09-22 10:01:12,,,,,,,,6a0d0bc4cf68f088f85f0469,6a0d0bc4cf68f088f85f0469,,,,
882,raw_position_sample,2,2,int,16,1,1,2,-1,999,292,98,801791,6a0d0bc4cf68f088f85f0469,6a0d0bc4cf68f088f85f0469,intermediate,1,6a0d0bc4cf68f088f85f0469,6a0d0bc4cf68f088f85f0469,spotlight_PROLIFIC,,38,Mexico,Spanish,"English, French",French,Spanish:40|English:40|French:20,100,Spanish:40|English:40|French:20,100,Spanish:50|English:40|French:10,100,18,1,Bachelor's,10,10,10,9,9,9,10,18,15,18,TOEFL,90,,,,,20,25,B2,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T16:01:12.472Z,C9E8VBQ3,2026-09-22,2026-09-22,10:01:12,2026-09-22 10:01:12,,,,,,,,6a0d0bc4cf68f088f85f0469,6a0d0bc4cf68f088f85f0469,,,,
