responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
49,raw_position_sample,2,2,int,25,4,9,10,-1,999,344,115,1327713.6999999285,60f0a34f07011b5f7fd430d8,60f0a34f07011b5f7fd430d8,intermediate,4,60f0a34f07011b5f7fd430d8,60f0a34f07011b5f7fd430d8,spotlight_PROLIFIC,,31,united states,spanish,"spanish, english",,spanish:50|English:50,100,spanish:50|English:50,100,spanish:70|English:30,100,20,4,Bachelor's,10,10,10,10,10,10,8,16,8,16,TOEFL (2026),5,,,,,17,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-21T21:05:04.921Z,QPM72XT4,2026-09-21,2026-09-21,15:05:04,2026-09-21 15:05:04,,,,,,,,60f0a34f07011b5f7fd430d8,60f0a34f07011b5f7fd430d8,,,,
95,raw_position_sample,2,2,int,25,4,9,10,-1,999,344,114,1327759.6999999285,60f0a34f07011b5f7fd430d8,60f0a34f07011b5f7fd430d8,intermediate,4,60f0a34f07011b5f7fd430d8,60f0a34f07011b5f7fd430d8,spotlight_PROLIFIC,,31,united states,spanish,"spanish, english",,spanish:50|English:50,100,spanish:50|English:50,100,spanish:70|English:30,100,20,4,Bachelor's,10,10,10,10,10,10,8,16,8,16,TOEFL (2026),5,,,,,17,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-21T21:05:04.921Z,QPM72XT4,2026-09-21,2026-09-21,15:05:04,2026-09-21 15:05:04,,,,,,,,60f0a34f07011b5f7fd430d8,60f0a34f07011b5f7fd430d8,,,,
149,raw_position_sample,2,2,int,25,4,9,10,-1,999,347,106,1327813.5,60f0a34f07011b5f7fd430d8,60f0a34f07011b5f7fd430d8,intermediate,4,60f0a34f07011b5f7fd430d8,60f0a34f07011b5f7fd430d8,spotlight_PROLIFIC,,31,united states,spanish,"spanish, english",,spanish:50|English:50,100,spanish:50|English:50,100,spanish:70|English:30,100,20,4,Bachelor's,10,10,10,10,10,10,8,16,8,16,TOEFL (2026),5,,,,,17,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-21T21:05:04.921Z,QPM72XT4,2026-09-21,2026-09-21,15:05:04,2026-09-21 15:05:04,,,,,,,,60f0a34f07011b5f7fd430d8,60f0a34f07011b5f7fd430d8,,,,
196,raw_position_sample,2,2,int,25,4,9,10,-1,999,363,103,1327859.7999999523,60f0a34f07011b5f7fd430d8,60f0a34f07011b5f7fd430d8,intermediate,4,60f0a34f07011b5f7fd430d8,60f0a34f07011b5f7fd430d8,spotlight_PROLIFIC,,31,united states,spanish,"spanish, english",,spanish:50|English:50,100,spanish:50|English:50,100,spanish:70|English:30,100,20,4,Bachelor's,10,10,10,10,10,10,8,16,8,16,TOEFL (2026),5,,,,,17,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-21T21:05:04.921Z,QPM72XT4,2026-09-21,2026-09-21,15:05:04,2026-09-21 15:05:04,,,,,,,,60f0a34f07011b5f7fd430d8,60f0a34f07011b5f7fd430d8,,,,
251,raw_position_sample,2,2,int,25,4,9,10,-1,999,395,110,1327914.8999999762,60f0a34f07011b5f7fd430d8,60f0a34f07011b5f7fd430d8,intermediate,4,60f0a34f07011b5f7fd430d8,60f0a34f07011b5f7fd430d8,spotlight_PROLIFIC,,31,united states,spanish,"spanish, english",,spanish:50|English:50,100,spanish:50|English:50,100,spanish:70|English:30,100,20,4,Bachelor's,10,10,10,10,10,10,8,16,8,16,TOEFL (2026),5,,,,,17,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-21T21:05:04.921Z,QPM72XT4,2026-09-21,2026-09-21,15:05:04,2026-09-21 15:05:04,,,,,,,,60f0a34f07011b5f7fd430d8,60f0a34f07011b5f7fd430d8,,,,
295,raw_position_sample,2,2,int,25,4,9,10,-1,999,401,112,1327959.7999999523,60f0a34f07011b5f7fd430d8,60f0a34f07011b5f7fd430d8,intermediate,4,60f0a34f07011b5f7fd430d8,60f0a34f07011b5f7fd430d8,spotlight_PROLIFIC,,31,united states,spanish,"spanish, english",,spanish:50|English:50,100,spanish:50|English:50,100,spanish:70|English:30,100,20,4,Bachelor's,10,10,10,10,10,10,8,16,8,16,TOEFL (2026),5,,,,,17,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-21T21:05:04.921Z,QPM72XT4,2026-09-21,2026-09-21,15:05:04,2026-09-21 15:05:04,,,,,,,,60f0a34f07011b5f7fd430d8,60f0a34f07011b5f7fd430d8,,,,
350,raw_position_sample,2,2,int,25,4,9,10,-1,999,406,116,1328014.0999999046,60f0a34f07011b5f7fd430d8,60f0a34f07011b5f7fd430d8,intermediate,4,60f0a34f07011b5f7fd430d8,60f0a34f07011b5f7fd430d8,spotlight_PROLIFIC,,31,united states,spanish,"spanish, english",,spanish:50|English:50,100,spanish:50|English:50,100,spanish:70|English:30,100,20,4,Bachelor's,10,10,10,10,10,10,8,16,8,16,TOEFL (2026),5,,,,,17,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-21T21:05:04.921Z,QPM72XT4,2026-09-21,2026-09-21,15:05:04,2026-09-21 15:05:04,,,,,,,,60f0a34f07011b5f7fd430d8,60f0a34f07011b5f7fd430d8,,,,
395,raw_position_sample,2,2,int,25,4,9,10,-1,999,414,119,1328059.1999999285,60f0a34f07011b5f7fd430d8,60f0a34f07011b5f7fd430d8,intermediate,4,60f0a34f07011b5f7fd430d8,60f0a34f07011b5f7fd430d8,spotlight_PROLIFIC,,31,united states,spanish,"spanish, english",,spanish:50|English:50,100,spanish:50|English:50,100,spanish:70|English:30,100,20,4,Bachelor's,10,10,10,10,10,10,8,16,8,16,TOEFL (2026),5,,,,,17,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-21T21:05:04.921Z,QPM72XT4,2026-09-21,2026-09-21,15:05:04,2026-09-21 15:05:04,,,,,,,,60f0a34f07011b5f7fd430d8,60f0a34f07011b5f7fd430d8,,,,
449,raw_position_sample,2,2,int,25,4,9,10,-1,999,415,119,1328113.5999999046,60f0a34f07011b5f7fd430d8,60f0a34f07011b5f7fd430d8,intermediate,4,60f0a34f07011b5f7fd430d8,60f0a34f07011b5f7fd430d8,spotlight_PROLIFIC,,31,united states,spanish,"spanish, english",,spanish:50|English:50,100,spanish:50|English:50,100,spanish:70|English:30,100,20,4,Bachelor's,10,10,10,10,10,10,8,16,8,16,TOEFL (2026),5,,,,,17,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-21T21:05:04.921Z,QPM72XT4,2026-09-21,2026-09-21,15:05:04,2026-09-21 15:05:04,,,,,,,,60f0a34f07011b5f7fd430d8,60f0a34f07011b5f7fd430d8,,,,
504,raw_position_sample,2,2,int,25,4,9,10,-1,999,416,119,1328168.5999999046,60f0a34f07011b5f7fd430d8,60f0a34f07011b5f7fd430d8,intermediate,4,60f0a34f07011b5f7fd430d8,60f0a34f07011b5f7fd430d8,spotlight_PROLIFIC,,31,united states,spanish,"spanish, english",,spanish:50|English:50,100,spanish:50|English:50,100,spanish:70|English:30,100,20,4,Bachelor's,10,10,10,10,10,10,8,16,8,16,TOEFL (2026),5,,,,,17,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-21T21:05:04.921Z,QPM72XT4,2026-09-21,2026-09-21,15:05:04,2026-09-21 15:05:04,,,,,,,,60f0a34f07011b5f7fd430d8,60f0a34f07011b5f7fd430d8,,,,
