responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
49,raw_position_sample,2,1,ele,6,4,4,5,-1,999,303,94,913471,5f2ddaf3291f7312a6e3986a,5f2ddaf3291f7312a6e3986a,elementary,4,5f2ddaf3291f7312a6e3986a,5f2ddaf3291f7312a6e3986a,spotlight_PROLIFIC,,30,Mexico,Spanish,"English, French",French,Spanish:90|English:10|French:0,100,Spanish:40|English:50|French:10,100,Spanish:70|English:20|French:10,100,19,18,Master's,10,10,10,9,10,10,3,6,13,15,,,,,21,25,B2,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T22:54:43.984Z,PPRGP5CZ,2026-09-22,2026-09-22,16:54:43,2026-09-22 16:54:43,,,,,,,,5f2ddaf3291f7312a6e3986a,5f2ddaf3291f7312a6e3986a,,,,
100,raw_position_sample,2,1,ele,6,4,4,5,-1,999,303,94,913522,5f2ddaf3291f7312a6e3986a,5f2ddaf3291f7312a6e3986a,elementary,4,5f2ddaf3291f7312a6e3986a,5f2ddaf3291f7312a6e3986a,spotlight_PROLIFIC,,30,Mexico,Spanish,"English, French",French,Spanish:90|English:10|French:0,100,Spanish:40|English:50|French:10,100,Spanish:70|English:20|French:10,100,19,18,Master's,10,10,10,9,10,10,3,6,13,15,,,,,21,25,B2,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T22:54:43.984Z,PPRGP5CZ,2026-09-22,2026-09-22,16:54:43,2026-09-22 16:54:43,,,,,,,,5f2ddaf3291f7312a6e3986a,5f2ddaf3291f7312a6e3986a,,,,
150,raw_position_sample,2,1,ele,6,4,4,5,-1,999,303,94,913572,5f2ddaf3291f7312a6e3986a,5f2ddaf3291f7312a6e3986a,elementary,4,5f2ddaf3291f7312a6e3986a,5f2ddaf3291f7312a6e3986a,spotlight_PROLIFIC,,30,Mexico,Spanish,"English, French",French,Spanish:90|English:10|French:0,100,Spanish:40|English:50|French:10,100,Spanish:70|English:20|French:10,100,19,18,Master's,10,10,10,9,10,10,3,6,13,15,,,,,21,25,B2,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T22:54:43.984Z,PPRGP5CZ,2026-09-22,2026-09-22,16:54:43,2026-09-22 16:54:43,,,,,,,,5f2ddaf3291f7312a6e3986a,5f2ddaf3291f7312a6e3986a,,,,
201,raw_position_sample,2,1,ele,6,4,4,5,-1,999,303,94,913623,5f2ddaf3291f7312a6e3986a,5f2ddaf3291f7312a6e3986a,elementary,4,5f2ddaf3291f7312a6e3986a,5f2ddaf3291f7312a6e3986a,spotlight_PROLIFIC,,30,Mexico,Spanish,"English, French",French,Spanish:90|English:10|French:0,100,Spanish:40|English:50|French:10,100,Spanish:70|English:20|French:10,100,19,18,Master's,10,10,10,9,10,10,3,6,13,15,,,,,21,25,B2,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T22:54:43.984Z,PPRGP5CZ,2026-09-22,2026-09-22,16:54:43,2026-09-22 16:54:43,,,,,,,,5f2ddaf3291f7312a6e3986a,5f2ddaf3291f7312a6e3986a,,,,
251,raw_position_sample,2,1,ele,6,4,4,5,-1,999,303,94,913673,5f2ddaf3291f7312a6e3986a,5f2ddaf3291f7312a6e3986a,elementary,4,5f2ddaf3291f7312a6e3986a,5f2ddaf3291f7312a6e3986a,spotlight_PROLIFIC,,30,Mexico,Spanish,"English, French",French,Spanish:90|English:10|French:0,100,Spanish:40|English:50|French:10,100,Spanish:70|English:20|French:10,100,19,18,Master's,10,10,10,9,10,10,3,6,13,15,,,,,21,25,B2,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T22:54:43.984Z,PPRGP5CZ,2026-09-22,2026-09-22,16:54:43,2026-09-22 16:54:43,,,,,,,,5f2ddaf3291f7312a6e3986a,5f2ddaf3291f7312a6e3986a,,,,
301,raw_position_sample,2,1,ele,6,4,4,5,-1,999,303,94,913723.0000000001,5f2ddaf3291f7312a6e3986a,5f2ddaf3291f7312a6e3986a,elementary,4,5f2ddaf3291f7312a6e3986a,5f2ddaf3291f7312a6e3986a,spotlight_PROLIFIC,,30,Mexico,Spanish,"English, French",French,Spanish:90|English:10|French:0,100,Spanish:40|English:50|French:10,100,Spanish:70|English:20|French:10,100,19,18,Master's,10,10,10,9,10,10,3,6,13,15,,,,,21,25,B2,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T22:54:43.984Z,PPRGP5CZ,2026-09-22,2026-09-22,16:54:43,2026-09-22 16:54:43,,,,,,,,5f2ddaf3291f7312a6e3986a,5f2ddaf3291f7312a6e3986a,,,,
352,raw_position_sample,2,1,ele,6,4,4,5,-1,999,303,94,913774,5f2ddaf3291f7312a6e3986a,5f2ddaf3291f7312a6e3986a,elementary,4,5f2ddaf3291f7312a6e3986a,5f2ddaf3291f7312a6e3986a,spotlight_PROLIFIC,,30,Mexico,Spanish,"English, French",French,Spanish:90|English:10|French:0,100,Spanish:40|English:50|French:10,100,Spanish:70|English:20|French:10,100,19,18,Master's,10,10,10,9,10,10,3,6,13,15,,,,,21,25,B2,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T22:54:43.984Z,PPRGP5CZ,2026-09-22,2026-09-22,16:54:43,2026-09-22 16:54:43,,,,,,,,5f2ddaf3291f7312a6e3986a,5f2ddaf3291f7312a6e3986a,,,,
403,raw_position_sample,2,1,ele,6,4,4,5,-1,999,303,94,913825,5f2ddaf3291f7312a6e3986a,5f2ddaf3291f7312a6e3986a,elementary,4,5f2ddaf3291f7312a6e3986a,5f2ddaf3291f7312a6e3986a,spotlight_PROLIFIC,,30,Mexico,Spanish,"English, French",French,Spanish:90|English:10|French:0,100,Spanish:40|English:50|French:10,100,Spanish:70|English:20|French:10,100,19,18,Master's,10,10,10,9,10,10,3,6,13,15,,,,,21,25,B2,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T22:54:43.984Z,PPRGP5CZ,2026-09-22,2026-09-22,16:54:43,2026-09-22 16:54:43,,,,,,,,5f2ddaf3291f7312a6e3986a,5f2ddaf3291f7312a6e3986a,,,,
454,raw_position_sample,2,1,ele,6,4,4,5,-1,999,303,94,913876,5f2ddaf3291f7312a6e3986a,5f2ddaf3291f7312a6e3986a,elementary,4,5f2ddaf3291f7312a6e3986a,5f2ddaf3291f7312a6e3986a,spotlight_PROLIFIC,,30,Mexico,Spanish,"English, French",French,Spanish:90|English:10|French:0,100,Spanish:40|English:50|French:10,100,Spanish:70|English:20|French:10,100,19,18,Master's,10,10,10,9,10,10,3,6,13,15,,,,,21,25,B2,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T22:54:43.984Z,PPRGP5CZ,2026-09-22,2026-09-22,16:54:43,2026-09-22 16:54:43,,,,,,,,5f2ddaf3291f7312a6e3986a,5f2ddaf3291f7312a6e3986a,,,,
505,raw_position_sample,2,1,ele,6,4,4,5,-1,999,303,94,913927,5f2ddaf3291f7312a6e3986a,5f2ddaf3291f7312a6e3986a,elementary,4,5f2ddaf3291f7312a6e3986a,5f2ddaf3291f7312a6e3986a,spotlight_PROLIFIC,,30,Mexico,Spanish,"English, French",French,Spanish:90|English:10|French:0,100,Spanish:40|English:50|French:10,100,Spanish:70|English:20|French:10,100,19,18,Master's,10,10,10,9,10,10,3,6,13,15,,,,,21,25,B2,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T22:54:43.984Z,PPRGP5CZ,2026-09-22,2026-09-22,16:54:43,2026-09-22 16:54:43,,,,,,,,5f2ddaf3291f7312a6e3986a,5f2ddaf3291f7312a6e3986a,,,,
