responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
53,raw_position_sample,2,2,int,3,1,1,2,-1,999,383,101,1298790.300000012,699ee1998eba866b765ebb46,699ee1998eba866b765ebb46,intermediate,1,699ee1998eba866b765ebb46,699ee1998eba866b765ebb46,spotlight_PROLIFIC,,23,Brasil,portuguese,"ingles, espanhol",ingles|espanhol,portuguese:85|English:5|ingles:5|espanhol:5,100,portuguese:90|English:5|ingles:2.5|espanhol:2.5,100,portuguese:85|English:5|ingles:5|espanhol:5,100,3,3,Post-secondary,8,9,10,7,7,8,18,20,18,18,Duolingo,50,,,,,15,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-16T11:52:02.418Z,7KDJTM23,2026-08-16,2026-08-16,08:52:02,2026-08-16 08:52:02,,,,,,,,699ee1998eba866b765ebb46,699ee1998eba866b765ebb46,,,,
100,raw_position_sample,2,2,int,3,1,1,2,-1,999,382,101,1298837,699ee1998eba866b765ebb46,699ee1998eba866b765ebb46,intermediate,1,699ee1998eba866b765ebb46,699ee1998eba866b765ebb46,spotlight_PROLIFIC,,23,Brasil,portuguese,"ingles, espanhol",ingles|espanhol,portuguese:85|English:5|ingles:5|espanhol:5,100,portuguese:90|English:5|ingles:2.5|espanhol:2.5,100,portuguese:85|English:5|ingles:5|espanhol:5,100,3,3,Post-secondary,8,9,10,7,7,8,18,20,18,18,Duolingo,50,,,,,15,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-16T11:52:02.418Z,7KDJTM23,2026-08-16,2026-08-16,08:52:02,2026-08-16 08:52:02,,,,,,,,699ee1998eba866b765ebb46,699ee1998eba866b765ebb46,,,,
149,raw_position_sample,2,2,int,3,1,1,2,-1,999,381,101,1298886.5,699ee1998eba866b765ebb46,699ee1998eba866b765ebb46,intermediate,1,699ee1998eba866b765ebb46,699ee1998eba866b765ebb46,spotlight_PROLIFIC,,23,Brasil,portuguese,"ingles, espanhol",ingles|espanhol,portuguese:85|English:5|ingles:5|espanhol:5,100,portuguese:90|English:5|ingles:2.5|espanhol:2.5,100,portuguese:85|English:5|ingles:5|espanhol:5,100,3,3,Post-secondary,8,9,10,7,7,8,18,20,18,18,Duolingo,50,,,,,15,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-16T11:52:02.418Z,7KDJTM23,2026-08-16,2026-08-16,08:52:02,2026-08-16 08:52:02,,,,,,,,699ee1998eba866b765ebb46,699ee1998eba866b765ebb46,,,,
199,raw_position_sample,2,2,int,3,1,1,2,-1,999,380,99,1298936,699ee1998eba866b765ebb46,699ee1998eba866b765ebb46,intermediate,1,699ee1998eba866b765ebb46,699ee1998eba866b765ebb46,spotlight_PROLIFIC,,23,Brasil,portuguese,"ingles, espanhol",ingles|espanhol,portuguese:85|English:5|ingles:5|espanhol:5,100,portuguese:90|English:5|ingles:2.5|espanhol:2.5,100,portuguese:85|English:5|ingles:5|espanhol:5,100,3,3,Post-secondary,8,9,10,7,7,8,18,20,18,18,Duolingo,50,,,,,15,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-16T11:52:02.418Z,7KDJTM23,2026-08-16,2026-08-16,08:52:02,2026-08-16 08:52:02,,,,,,,,699ee1998eba866b765ebb46,699ee1998eba866b765ebb46,,,,
254,raw_position_sample,2,2,int,3,1,1,2,-1,999,380,99,1298991.699999988,699ee1998eba866b765ebb46,699ee1998eba866b765ebb46,intermediate,1,699ee1998eba866b765ebb46,699ee1998eba866b765ebb46,spotlight_PROLIFIC,,23,Brasil,portuguese,"ingles, espanhol",ingles|espanhol,portuguese:85|English:5|ingles:5|espanhol:5,100,portuguese:90|English:5|ingles:2.5|espanhol:2.5,100,portuguese:85|English:5|ingles:5|espanhol:5,100,3,3,Post-secondary,8,9,10,7,7,8,18,20,18,18,Duolingo,50,,,,,15,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-16T11:52:02.418Z,7KDJTM23,2026-08-16,2026-08-16,08:52:02,2026-08-16 08:52:02,,,,,,,,699ee1998eba866b765ebb46,699ee1998eba866b765ebb46,,,,
302,raw_position_sample,2,2,int,3,1,1,2,-1,999,380,99,1299039.199999988,699ee1998eba866b765ebb46,699ee1998eba866b765ebb46,intermediate,1,699ee1998eba866b765ebb46,699ee1998eba866b765ebb46,spotlight_PROLIFIC,,23,Brasil,portuguese,"ingles, espanhol",ingles|espanhol,portuguese:85|English:5|ingles:5|espanhol:5,100,portuguese:90|English:5|ingles:2.5|espanhol:2.5,100,portuguese:85|English:5|ingles:5|espanhol:5,100,3,3,Post-secondary,8,9,10,7,7,8,18,20,18,18,Duolingo,50,,,,,15,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-16T11:52:02.418Z,7KDJTM23,2026-08-16,2026-08-16,08:52:02,2026-08-16 08:52:02,,,,,,,,699ee1998eba866b765ebb46,699ee1998eba866b765ebb46,,,,
349,raw_position_sample,2,2,int,3,1,1,2,-1,999,380,99,1299086.3999999762,699ee1998eba866b765ebb46,699ee1998eba866b765ebb46,intermediate,1,699ee1998eba866b765ebb46,699ee1998eba866b765ebb46,spotlight_PROLIFIC,,23,Brasil,portuguese,"ingles, espanhol",ingles|espanhol,portuguese:85|English:5|ingles:5|espanhol:5,100,portuguese:90|English:5|ingles:2.5|espanhol:2.5,100,portuguese:85|English:5|ingles:5|espanhol:5,100,3,3,Post-secondary,8,9,10,7,7,8,18,20,18,18,Duolingo,50,,,,,15,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-16T11:52:02.418Z,7KDJTM23,2026-08-16,2026-08-16,08:52:02,2026-08-16 08:52:02,,,,,,,,699ee1998eba866b765ebb46,699ee1998eba866b765ebb46,,,,
411,raw_position_sample,2,2,int,3,1,1,2,-1,999,380,99,1299148.699999988,699ee1998eba866b765ebb46,699ee1998eba866b765ebb46,intermediate,1,699ee1998eba866b765ebb46,699ee1998eba866b765ebb46,spotlight_PROLIFIC,,23,Brasil,portuguese,"ingles, espanhol",ingles|espanhol,portuguese:85|English:5|ingles:5|espanhol:5,100,portuguese:90|English:5|ingles:2.5|espanhol:2.5,100,portuguese:85|English:5|ingles:5|espanhol:5,100,3,3,Post-secondary,8,9,10,7,7,8,18,20,18,18,Duolingo,50,,,,,15,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-16T11:52:02.418Z,7KDJTM23,2026-08-16,2026-08-16,08:52:02,2026-08-16 08:52:02,,,,,,,,699ee1998eba866b765ebb46,699ee1998eba866b765ebb46,,,,
459,raw_position_sample,2,2,int,3,1,1,2,-1,999,380,99,1299196.5,699ee1998eba866b765ebb46,699ee1998eba866b765ebb46,intermediate,1,699ee1998eba866b765ebb46,699ee1998eba866b765ebb46,spotlight_PROLIFIC,,23,Brasil,portuguese,"ingles, espanhol",ingles|espanhol,portuguese:85|English:5|ingles:5|espanhol:5,100,portuguese:90|English:5|ingles:2.5|espanhol:2.5,100,portuguese:85|English:5|ingles:5|espanhol:5,100,3,3,Post-secondary,8,9,10,7,7,8,18,20,18,18,Duolingo,50,,,,,15,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-16T11:52:02.418Z,7KDJTM23,2026-08-16,2026-08-16,08:52:02,2026-08-16 08:52:02,,,,,,,,699ee1998eba866b765ebb46,699ee1998eba866b765ebb46,,,,
506,raw_position_sample,2,2,int,3,1,1,2,-1,999,380,99,1299243.800000012,699ee1998eba866b765ebb46,699ee1998eba866b765ebb46,intermediate,1,699ee1998eba866b765ebb46,699ee1998eba866b765ebb46,spotlight_PROLIFIC,,23,Brasil,portuguese,"ingles, espanhol",ingles|espanhol,portuguese:85|English:5|ingles:5|espanhol:5,100,portuguese:90|English:5|ingles:2.5|espanhol:2.5,100,portuguese:85|English:5|ingles:5|espanhol:5,100,3,3,Post-secondary,8,9,10,7,7,8,18,20,18,18,Duolingo,50,,,,,15,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-16T11:52:02.418Z,7KDJTM23,2026-08-16,2026-08-16,08:52:02,2026-08-16 08:52:02,,,,,,,,699ee1998eba866b765ebb46,699ee1998eba866b765ebb46,,,,
