responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
19,raw_position_sample,2,2,int,5,4,9,10,-1,999,585,103,1485701,60846edc17ce31d251da7ed1,60846edc17ce31d251da7ed1,intermediate,4,60846edc17ce31d251da7ed1,60846edc17ce31d251da7ed1,spotlight_PROLIFIC,,27,Chile,Spanish,English,,Spanish:60|English:40,100,Spanish:40|English:60,100,Spanish:90|English:10,100,13,1,Some post-secondary,9,9,9,7,9,8,10,17,12,15,CEFR,B2,,,,,18,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-24T16:30:13.641Z,LSUD4QKN,2026-08-24,2026-08-24,12:30:13,2026-08-24 12:30:13,,,,,,,,60846edc17ce31d251da7ed1,60846edc17ce31d251da7ed1,,,,
66,raw_position_sample,2,2,int,5,4,9,10,-1,999,585,103,1485748,60846edc17ce31d251da7ed1,60846edc17ce31d251da7ed1,intermediate,4,60846edc17ce31d251da7ed1,60846edc17ce31d251da7ed1,spotlight_PROLIFIC,,27,Chile,Spanish,English,,Spanish:60|English:40,100,Spanish:40|English:60,100,Spanish:90|English:10,100,13,1,Some post-secondary,9,9,9,7,9,8,10,17,12,15,CEFR,B2,,,,,18,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-24T16:30:13.641Z,LSUD4QKN,2026-08-24,2026-08-24,12:30:13,2026-08-24 12:30:13,,,,,,,,60846edc17ce31d251da7ed1,60846edc17ce31d251da7ed1,,,,
116,raw_position_sample,2,2,int,5,4,9,10,-1,999,585,103,1485798.1000000015,60846edc17ce31d251da7ed1,60846edc17ce31d251da7ed1,intermediate,4,60846edc17ce31d251da7ed1,60846edc17ce31d251da7ed1,spotlight_PROLIFIC,,27,Chile,Spanish,English,,Spanish:60|English:40,100,Spanish:40|English:60,100,Spanish:90|English:10,100,13,1,Some post-secondary,9,9,9,7,9,8,10,17,12,15,CEFR,B2,,,,,18,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-24T16:30:13.641Z,LSUD4QKN,2026-08-24,2026-08-24,12:30:13,2026-08-24 12:30:13,,,,,,,,60846edc17ce31d251da7ed1,60846edc17ce31d251da7ed1,,,,
163,raw_position_sample,2,2,int,5,4,9,10,-1,999,585,103,1485845.1000000015,60846edc17ce31d251da7ed1,60846edc17ce31d251da7ed1,intermediate,4,60846edc17ce31d251da7ed1,60846edc17ce31d251da7ed1,spotlight_PROLIFIC,,27,Chile,Spanish,English,,Spanish:60|English:40,100,Spanish:40|English:60,100,Spanish:90|English:10,100,13,1,Some post-secondary,9,9,9,7,9,8,10,17,12,15,CEFR,B2,,,,,18,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-24T16:30:13.641Z,LSUD4QKN,2026-08-24,2026-08-24,12:30:13,2026-08-24 12:30:13,,,,,,,,60846edc17ce31d251da7ed1,60846edc17ce31d251da7ed1,,,,
225,raw_position_sample,2,2,int,5,4,9,10,-1,999,585,103,1485907.5,60846edc17ce31d251da7ed1,60846edc17ce31d251da7ed1,intermediate,4,60846edc17ce31d251da7ed1,60846edc17ce31d251da7ed1,spotlight_PROLIFIC,,27,Chile,Spanish,English,,Spanish:60|English:40,100,Spanish:40|English:60,100,Spanish:90|English:10,100,13,1,Some post-secondary,9,9,9,7,9,8,10,17,12,15,CEFR,B2,,,,,18,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-24T16:30:13.641Z,LSUD4QKN,2026-08-24,2026-08-24,12:30:13,2026-08-24 12:30:13,,,,,,,,60846edc17ce31d251da7ed1,60846edc17ce31d251da7ed1,,,,
265,raw_position_sample,2,2,int,5,4,9,10,-1,999,592,104,1485947.1999999993,60846edc17ce31d251da7ed1,60846edc17ce31d251da7ed1,intermediate,4,60846edc17ce31d251da7ed1,60846edc17ce31d251da7ed1,spotlight_PROLIFIC,,27,Chile,Spanish,English,,Spanish:60|English:40,100,Spanish:40|English:60,100,Spanish:90|English:10,100,13,1,Some post-secondary,9,9,9,7,9,8,10,17,12,15,CEFR,B2,,,,,18,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-24T16:30:13.641Z,LSUD4QKN,2026-08-24,2026-08-24,12:30:13,2026-08-24 12:30:13,,,,,,,,60846edc17ce31d251da7ed1,60846edc17ce31d251da7ed1,,,,
313,raw_position_sample,2,2,int,5,4,9,10,-1,999,607,109,1485995.4000000022,60846edc17ce31d251da7ed1,60846edc17ce31d251da7ed1,intermediate,4,60846edc17ce31d251da7ed1,60846edc17ce31d251da7ed1,spotlight_PROLIFIC,,27,Chile,Spanish,English,,Spanish:60|English:40,100,Spanish:40|English:60,100,Spanish:90|English:10,100,13,1,Some post-secondary,9,9,9,7,9,8,10,17,12,15,CEFR,B2,,,,,18,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-24T16:30:13.641Z,LSUD4QKN,2026-08-24,2026-08-24,12:30:13,2026-08-24 12:30:13,,,,,,,,60846edc17ce31d251da7ed1,60846edc17ce31d251da7ed1,,,,
362,raw_position_sample,2,2,int,5,4,9,10,-1,999,614,112,1486043.9000000022,60846edc17ce31d251da7ed1,60846edc17ce31d251da7ed1,intermediate,4,60846edc17ce31d251da7ed1,60846edc17ce31d251da7ed1,spotlight_PROLIFIC,,27,Chile,Spanish,English,,Spanish:60|English:40,100,Spanish:40|English:60,100,Spanish:90|English:10,100,13,1,Some post-secondary,9,9,9,7,9,8,10,17,12,15,CEFR,B2,,,,,18,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-24T16:30:13.641Z,LSUD4QKN,2026-08-24,2026-08-24,12:30:13,2026-08-24 12:30:13,,,,,,,,60846edc17ce31d251da7ed1,60846edc17ce31d251da7ed1,,,,
411,raw_position_sample,2,2,int,5,4,9,10,-1,999,621,118,1486093.3000000007,60846edc17ce31d251da7ed1,60846edc17ce31d251da7ed1,intermediate,4,60846edc17ce31d251da7ed1,60846edc17ce31d251da7ed1,spotlight_PROLIFIC,,27,Chile,Spanish,English,,Spanish:60|English:40,100,Spanish:40|English:60,100,Spanish:90|English:10,100,13,1,Some post-secondary,9,9,9,7,9,8,10,17,12,15,CEFR,B2,,,,,18,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-24T16:30:13.641Z,LSUD4QKN,2026-08-24,2026-08-24,12:30:13,2026-08-24 12:30:13,,,,,,,,60846edc17ce31d251da7ed1,60846edc17ce31d251da7ed1,,,,
467,raw_position_sample,2,2,int,5,4,9,10,1, The ,624,121,1486149.1000000015,60846edc17ce31d251da7ed1,60846edc17ce31d251da7ed1,intermediate,4,60846edc17ce31d251da7ed1,60846edc17ce31d251da7ed1,spotlight_PROLIFIC,,27,Chile,Spanish,English,,Spanish:60|English:40,100,Spanish:40|English:60,100,Spanish:90|English:10,100,13,1,Some post-secondary,9,9,9,7,9,8,10,17,12,15,CEFR,B2,,,,,18,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,123.265625,625.375,143.265625,661.40625,1,1,,,,,,,,,,,,2026-08-24T16:30:13.641Z,LSUD4QKN,2026-08-24,2026-08-24,12:30:13,2026-08-24 12:30:13,,,,,,,,60846edc17ce31d251da7ed1,60846edc17ce31d251da7ed1,,,,
