responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
35,raw_position_sample,2,2,int,10,3,17,18,-1,999,560,111,1758028,698b8f9e26c1d1abf815c84c,698b8f9e26c1d1abf815c84c,intermediate,3,698b8f9e26c1d1abf815c84c,698b8f9e26c1d1abf815c84c,spotlight_PROLIFIC,,24,Colombia,Spanish,English,,Spanish:60|English:40,100,Spanish:20|English:80,100,Spanish:50|English:50,100,18,7,Bachelor's,10,9,10,5,8,9,15,20,16,20,EF SET,76,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-02T18:49:43.034Z,ZTF9EKZ3,2026-07-02,2026-07-02,13:49:43,2026-07-02 13:49:43,,,,,,,,698b8f9e26c1d1abf815c84c,698b8f9e26c1d1abf815c84c,,,,
85,raw_position_sample,2,2,int,10,3,17,18,-1,999,558,110,1758077.9000000004,698b8f9e26c1d1abf815c84c,698b8f9e26c1d1abf815c84c,intermediate,3,698b8f9e26c1d1abf815c84c,698b8f9e26c1d1abf815c84c,spotlight_PROLIFIC,,24,Colombia,Spanish,English,,Spanish:60|English:40,100,Spanish:20|English:80,100,Spanish:50|English:50,100,18,7,Bachelor's,10,9,10,5,8,9,15,20,16,20,EF SET,76,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-02T18:49:43.034Z,ZTF9EKZ3,2026-07-02,2026-07-02,13:49:43,2026-07-02 13:49:43,,,,,,,,698b8f9e26c1d1abf815c84c,698b8f9e26c1d1abf815c84c,,,,
135,raw_position_sample,2,2,int,10,3,17,18,-1,999,548,105,1758127.7000000002,698b8f9e26c1d1abf815c84c,698b8f9e26c1d1abf815c84c,intermediate,3,698b8f9e26c1d1abf815c84c,698b8f9e26c1d1abf815c84c,spotlight_PROLIFIC,,24,Colombia,Spanish,English,,Spanish:60|English:40,100,Spanish:20|English:80,100,Spanish:50|English:50,100,18,7,Bachelor's,10,9,10,5,8,9,15,20,16,20,EF SET,76,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-02T18:49:43.034Z,ZTF9EKZ3,2026-07-02,2026-07-02,13:49:43,2026-07-02 13:49:43,,,,,,,,698b8f9e26c1d1abf815c84c,698b8f9e26c1d1abf815c84c,,,,
199,raw_position_sample,2,2,int,10,3,17,18,-1,999,546,105,1758192.2000000002,698b8f9e26c1d1abf815c84c,698b8f9e26c1d1abf815c84c,intermediate,3,698b8f9e26c1d1abf815c84c,698b8f9e26c1d1abf815c84c,spotlight_PROLIFIC,,24,Colombia,Spanish,English,,Spanish:60|English:40,100,Spanish:20|English:80,100,Spanish:50|English:50,100,18,7,Bachelor's,10,9,10,5,8,9,15,20,16,20,EF SET,76,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-02T18:49:43.034Z,ZTF9EKZ3,2026-07-02,2026-07-02,13:49:43,2026-07-02 13:49:43,,,,,,,,698b8f9e26c1d1abf815c84c,698b8f9e26c1d1abf815c84c,,,,
234,raw_position_sample,2,2,int,10,3,17,18,-1,999,546,105,1758227,698b8f9e26c1d1abf815c84c,698b8f9e26c1d1abf815c84c,intermediate,3,698b8f9e26c1d1abf815c84c,698b8f9e26c1d1abf815c84c,spotlight_PROLIFIC,,24,Colombia,Spanish,English,,Spanish:60|English:40,100,Spanish:20|English:80,100,Spanish:50|English:50,100,18,7,Bachelor's,10,9,10,5,8,9,15,20,16,20,EF SET,76,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-02T18:49:43.034Z,ZTF9EKZ3,2026-07-02,2026-07-02,13:49:43,2026-07-02 13:49:43,,,,,,,,698b8f9e26c1d1abf815c84c,698b8f9e26c1d1abf815c84c,,,,
298,raw_position_sample,2,2,int,10,3,17,18,-1,999,546,105,1758291.2000000002,698b8f9e26c1d1abf815c84c,698b8f9e26c1d1abf815c84c,intermediate,3,698b8f9e26c1d1abf815c84c,698b8f9e26c1d1abf815c84c,spotlight_PROLIFIC,,24,Colombia,Spanish,English,,Spanish:60|English:40,100,Spanish:20|English:80,100,Spanish:50|English:50,100,18,7,Bachelor's,10,9,10,5,8,9,15,20,16,20,EF SET,76,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-02T18:49:43.034Z,ZTF9EKZ3,2026-07-02,2026-07-02,13:49:43,2026-07-02 13:49:43,,,,,,,,698b8f9e26c1d1abf815c84c,698b8f9e26c1d1abf815c84c,,,,
347,raw_position_sample,2,2,int,10,3,17,18,-1,999,546,105,1758339.9000000004,698b8f9e26c1d1abf815c84c,698b8f9e26c1d1abf815c84c,intermediate,3,698b8f9e26c1d1abf815c84c,698b8f9e26c1d1abf815c84c,spotlight_PROLIFIC,,24,Colombia,Spanish,English,,Spanish:60|English:40,100,Spanish:20|English:80,100,Spanish:50|English:50,100,18,7,Bachelor's,10,9,10,5,8,9,15,20,16,20,EF SET,76,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-02T18:49:43.034Z,ZTF9EKZ3,2026-07-02,2026-07-02,13:49:43,2026-07-02 13:49:43,,,,,,,,698b8f9e26c1d1abf815c84c,698b8f9e26c1d1abf815c84c,,,,
395,raw_position_sample,2,2,int,10,3,17,18,-1,999,546,105,1758388.5,698b8f9e26c1d1abf815c84c,698b8f9e26c1d1abf815c84c,intermediate,3,698b8f9e26c1d1abf815c84c,698b8f9e26c1d1abf815c84c,spotlight_PROLIFIC,,24,Colombia,Spanish,English,,Spanish:60|English:40,100,Spanish:20|English:80,100,Spanish:50|English:50,100,18,7,Bachelor's,10,9,10,5,8,9,15,20,16,20,EF SET,76,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-02T18:49:43.034Z,ZTF9EKZ3,2026-07-02,2026-07-02,13:49:43,2026-07-02 13:49:43,,,,,,,,698b8f9e26c1d1abf815c84c,698b8f9e26c1d1abf815c84c,,,,
443,raw_position_sample,2,2,int,10,3,17,18,-1,999,546,105,1758436.5999999996,698b8f9e26c1d1abf815c84c,698b8f9e26c1d1abf815c84c,intermediate,3,698b8f9e26c1d1abf815c84c,698b8f9e26c1d1abf815c84c,spotlight_PROLIFIC,,24,Colombia,Spanish,English,,Spanish:60|English:40,100,Spanish:20|English:80,100,Spanish:50|English:50,100,18,7,Bachelor's,10,9,10,5,8,9,15,20,16,20,EF SET,76,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-02T18:49:43.034Z,ZTF9EKZ3,2026-07-02,2026-07-02,13:49:43,2026-07-02 13:49:43,,,,,,,,698b8f9e26c1d1abf815c84c,698b8f9e26c1d1abf815c84c,,,,
485,raw_position_sample,2,2,int,10,3,17,18,-1,999,555,111,1758478.5999999996,698b8f9e26c1d1abf815c84c,698b8f9e26c1d1abf815c84c,intermediate,3,698b8f9e26c1d1abf815c84c,698b8f9e26c1d1abf815c84c,spotlight_PROLIFIC,,24,Colombia,Spanish,English,,Spanish:60|English:40,100,Spanish:20|English:80,100,Spanish:50|English:50,100,18,7,Bachelor's,10,9,10,5,8,9,15,20,16,20,EF SET,76,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-02T18:49:43.034Z,ZTF9EKZ3,2026-07-02,2026-07-02,13:49:43,2026-07-02 13:49:43,,,,,,,,698b8f9e26c1d1abf815c84c,698b8f9e26c1d1abf815c84c,,,,
