responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
40,raw_position_sample,2,2,int,11,4,9,10,-1,999,506,95,1373865,69e8fa94609e820da99231a5,69e8fa94609e820da99231a5,intermediate,4,69e8fa94609e820da99231a5,69e8fa94609e820da99231a5,spotlight_PROLIFIC,,23,Brazil,Portuguese,English,,Portuguese:75|English:25,100,Portuguese:50|English:50,100,Portuguese:80|English:20,100,14,2,Post-secondary,10,10,10,7,8,9,19,22,19,21,EF Set,76,,,,,19,25,B2,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T10:47:33.669Z,8QTV4PFD,2026-08-16,2026-08-16,07:47:33,2026-08-16 07:47:33,,,,,,,,69e8fa94609e820da99231a5,69e8fa94609e820da99231a5,,,,
90,raw_position_sample,2,2,int,11,4,9,10,-1,999,506,95,1373914,69e8fa94609e820da99231a5,69e8fa94609e820da99231a5,intermediate,4,69e8fa94609e820da99231a5,69e8fa94609e820da99231a5,spotlight_PROLIFIC,,23,Brazil,Portuguese,English,,Portuguese:75|English:25,100,Portuguese:50|English:50,100,Portuguese:80|English:20,100,14,2,Post-secondary,10,10,10,7,8,9,19,22,19,21,EF Set,76,,,,,19,25,B2,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T10:47:33.669Z,8QTV4PFD,2026-08-16,2026-08-16,07:47:33,2026-08-16 07:47:33,,,,,,,,69e8fa94609e820da99231a5,69e8fa94609e820da99231a5,,,,
140,raw_position_sample,2,2,int,11,4,9,10,-1,999,506,95,1373964,69e8fa94609e820da99231a5,69e8fa94609e820da99231a5,intermediate,4,69e8fa94609e820da99231a5,69e8fa94609e820da99231a5,spotlight_PROLIFIC,,23,Brazil,Portuguese,English,,Portuguese:75|English:25,100,Portuguese:50|English:50,100,Portuguese:80|English:20,100,14,2,Post-secondary,10,10,10,7,8,9,19,22,19,21,EF Set,76,,,,,19,25,B2,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T10:47:33.669Z,8QTV4PFD,2026-08-16,2026-08-16,07:47:33,2026-08-16 07:47:33,,,,,,,,69e8fa94609e820da99231a5,69e8fa94609e820da99231a5,,,,
191,raw_position_sample,2,2,int,11,4,9,10,-1,999,506,95,1374015,69e8fa94609e820da99231a5,69e8fa94609e820da99231a5,intermediate,4,69e8fa94609e820da99231a5,69e8fa94609e820da99231a5,spotlight_PROLIFIC,,23,Brazil,Portuguese,English,,Portuguese:75|English:25,100,Portuguese:50|English:50,100,Portuguese:80|English:20,100,14,2,Post-secondary,10,10,10,7,8,9,19,22,19,21,EF Set,76,,,,,19,25,B2,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T10:47:33.669Z,8QTV4PFD,2026-08-16,2026-08-16,07:47:33,2026-08-16 07:47:33,,,,,,,,69e8fa94609e820da99231a5,69e8fa94609e820da99231a5,,,,
241,raw_position_sample,2,2,int,11,4,9,10,-1,999,506,95,1374065,69e8fa94609e820da99231a5,69e8fa94609e820da99231a5,intermediate,4,69e8fa94609e820da99231a5,69e8fa94609e820da99231a5,spotlight_PROLIFIC,,23,Brazil,Portuguese,English,,Portuguese:75|English:25,100,Portuguese:50|English:50,100,Portuguese:80|English:20,100,14,2,Post-secondary,10,10,10,7,8,9,19,22,19,21,EF Set,76,,,,,19,25,B2,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T10:47:33.669Z,8QTV4PFD,2026-08-16,2026-08-16,07:47:33,2026-08-16 07:47:33,,,,,,,,69e8fa94609e820da99231a5,69e8fa94609e820da99231a5,,,,
291,raw_position_sample,2,2,int,11,4,9,10,-1,999,506,95,1374115,69e8fa94609e820da99231a5,69e8fa94609e820da99231a5,intermediate,4,69e8fa94609e820da99231a5,69e8fa94609e820da99231a5,spotlight_PROLIFIC,,23,Brazil,Portuguese,English,,Portuguese:75|English:25,100,Portuguese:50|English:50,100,Portuguese:80|English:20,100,14,2,Post-secondary,10,10,10,7,8,9,19,22,19,21,EF Set,76,,,,,19,25,B2,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T10:47:33.669Z,8QTV4PFD,2026-08-16,2026-08-16,07:47:33,2026-08-16 07:47:33,,,,,,,,69e8fa94609e820da99231a5,69e8fa94609e820da99231a5,,,,
357,raw_position_sample,2,2,int,11,4,9,10,-1,999,506,95,1374182,69e8fa94609e820da99231a5,69e8fa94609e820da99231a5,intermediate,4,69e8fa94609e820da99231a5,69e8fa94609e820da99231a5,spotlight_PROLIFIC,,23,Brazil,Portuguese,English,,Portuguese:75|English:25,100,Portuguese:50|English:50,100,Portuguese:80|English:20,100,14,2,Post-secondary,10,10,10,7,8,9,19,22,19,21,EF Set,76,,,,,19,25,B2,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T10:47:33.669Z,8QTV4PFD,2026-08-16,2026-08-16,07:47:33,2026-08-16 07:47:33,,,,,,,,69e8fa94609e820da99231a5,69e8fa94609e820da99231a5,,,,
408,raw_position_sample,2,2,int,11,4,9,10,-1,999,506,95,1374232,69e8fa94609e820da99231a5,69e8fa94609e820da99231a5,intermediate,4,69e8fa94609e820da99231a5,69e8fa94609e820da99231a5,spotlight_PROLIFIC,,23,Brazil,Portuguese,English,,Portuguese:75|English:25,100,Portuguese:50|English:50,100,Portuguese:80|English:20,100,14,2,Post-secondary,10,10,10,7,8,9,19,22,19,21,EF Set,76,,,,,19,25,B2,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T10:47:33.669Z,8QTV4PFD,2026-08-16,2026-08-16,07:47:33,2026-08-16 07:47:33,,,,,,,,69e8fa94609e820da99231a5,69e8fa94609e820da99231a5,,,,
457,raw_position_sample,2,2,int,11,4,9,10,-1,999,506,95,1374282,69e8fa94609e820da99231a5,69e8fa94609e820da99231a5,intermediate,4,69e8fa94609e820da99231a5,69e8fa94609e820da99231a5,spotlight_PROLIFIC,,23,Brazil,Portuguese,English,,Portuguese:75|English:25,100,Portuguese:50|English:50,100,Portuguese:80|English:20,100,14,2,Post-secondary,10,10,10,7,8,9,19,22,19,21,EF Set,76,,,,,19,25,B2,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T10:47:33.669Z,8QTV4PFD,2026-08-16,2026-08-16,07:47:33,2026-08-16 07:47:33,,,,,,,,69e8fa94609e820da99231a5,69e8fa94609e820da99231a5,,,,
514,raw_position_sample,2,2,int,11,4,9,10,-1,999,539,101,1374337,69e8fa94609e820da99231a5,69e8fa94609e820da99231a5,intermediate,4,69e8fa94609e820da99231a5,69e8fa94609e820da99231a5,spotlight_PROLIFIC,,23,Brazil,Portuguese,English,,Portuguese:75|English:25,100,Portuguese:50|English:50,100,Portuguese:80|English:20,100,14,2,Post-secondary,10,10,10,7,8,9,19,22,19,21,EF Set,76,,,,,19,25,B2,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T10:47:33.669Z,8QTV4PFD,2026-08-16,2026-08-16,07:47:33,2026-08-16 07:47:33,,,,,,,,69e8fa94609e820da99231a5,69e8fa94609e820da99231a5,,,,
