responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
35,raw_position_sample,2,2,int,19,2,7,8,-1,999,380,87,712486.2999999523,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,intermediate,2,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,spotlight_PROLIFIC,,33,Mexico,Spanish,"English, Italian, German",Italian|German,Spanish:70|English:15|Italian:10|German:5,100,Spanish:45|English:45|Italian:5|German:5,100,Spanish:80|English:10|Italian:5|German:5,100,18,6,Bachelor's,10,10,10,10,10,10,5,12,8,12,CEFR,C2,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-24T16:19:03.874Z,63K6TGD3,2026-08-24,2026-08-24,10:19:03,2026-08-24 10:19:03,,,,,,,,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,,,,
74,raw_position_sample,2,2,int,19,2,7,8,-1,999,376,88,712525.7000000477,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,intermediate,2,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,spotlight_PROLIFIC,,33,Mexico,Spanish,"English, Italian, German",Italian|German,Spanish:70|English:15|Italian:10|German:5,100,Spanish:45|English:45|Italian:5|German:5,100,Spanish:80|English:10|Italian:5|German:5,100,18,6,Bachelor's,10,10,10,10,10,10,5,12,8,12,CEFR,C2,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-24T16:19:03.874Z,63K6TGD3,2026-08-24,2026-08-24,10:19:03,2026-08-24 10:19:03,,,,,,,,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,,,,
133,raw_position_sample,2,2,int,19,2,7,8,-1,999,376,88,712584.5,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,intermediate,2,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,spotlight_PROLIFIC,,33,Mexico,Spanish,"English, Italian, German",Italian|German,Spanish:70|English:15|Italian:10|German:5,100,Spanish:45|English:45|Italian:5|German:5,100,Spanish:80|English:10|Italian:5|German:5,100,18,6,Bachelor's,10,10,10,10,10,10,5,12,8,12,CEFR,C2,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-24T16:19:03.874Z,63K6TGD3,2026-08-24,2026-08-24,10:19:03,2026-08-24 10:19:03,,,,,,,,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,,,,
181,raw_position_sample,2,2,int,19,2,7,8,-1,999,376,88,712632.7000000477,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,intermediate,2,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,spotlight_PROLIFIC,,33,Mexico,Spanish,"English, Italian, German",Italian|German,Spanish:70|English:15|Italian:10|German:5,100,Spanish:45|English:45|Italian:5|German:5,100,Spanish:80|English:10|Italian:5|German:5,100,18,6,Bachelor's,10,10,10,10,10,10,5,12,8,12,CEFR,C2,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-24T16:19:03.874Z,63K6TGD3,2026-08-24,2026-08-24,10:19:03,2026-08-24 10:19:03,,,,,,,,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,,,,
233,raw_position_sample,2,2,int,19,2,7,8,-1,999,376,88,712684.7999999523,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,intermediate,2,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,spotlight_PROLIFIC,,33,Mexico,Spanish,"English, Italian, German",Italian|German,Spanish:70|English:15|Italian:10|German:5,100,Spanish:45|English:45|Italian:5|German:5,100,Spanish:80|English:10|Italian:5|German:5,100,18,6,Bachelor's,10,10,10,10,10,10,5,12,8,12,CEFR,C2,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-24T16:19:03.874Z,63K6TGD3,2026-08-24,2026-08-24,10:19:03,2026-08-24 10:19:03,,,,,,,,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,,,,
282,raw_position_sample,2,2,int,19,2,7,8,-1,999,376,88,712733.1000000238,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,intermediate,2,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,spotlight_PROLIFIC,,33,Mexico,Spanish,"English, Italian, German",Italian|German,Spanish:70|English:15|Italian:10|German:5,100,Spanish:45|English:45|Italian:5|German:5,100,Spanish:80|English:10|Italian:5|German:5,100,18,6,Bachelor's,10,10,10,10,10,10,5,12,8,12,CEFR,C2,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-24T16:19:03.874Z,63K6TGD3,2026-08-24,2026-08-24,10:19:03,2026-08-24 10:19:03,,,,,,,,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,,,,
329,raw_position_sample,2,2,int,19,2,7,8,-1,999,376,88,712780.8999999762,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,intermediate,2,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,spotlight_PROLIFIC,,33,Mexico,Spanish,"English, Italian, German",Italian|German,Spanish:70|English:15|Italian:10|German:5,100,Spanish:45|English:45|Italian:5|German:5,100,Spanish:80|English:10|Italian:5|German:5,100,18,6,Bachelor's,10,10,10,10,10,10,5,12,8,12,CEFR,C2,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-24T16:19:03.874Z,63K6TGD3,2026-08-24,2026-08-24,10:19:03,2026-08-24 10:19:03,,,,,,,,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,,,,
383,raw_position_sample,2,2,int,19,2,7,8,-1,999,376,88,712834.8999999762,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,intermediate,2,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,spotlight_PROLIFIC,,33,Mexico,Spanish,"English, Italian, German",Italian|German,Spanish:70|English:15|Italian:10|German:5,100,Spanish:45|English:45|Italian:5|German:5,100,Spanish:80|English:10|Italian:5|German:5,100,18,6,Bachelor's,10,10,10,10,10,10,5,12,8,12,CEFR,C2,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-24T16:19:03.874Z,63K6TGD3,2026-08-24,2026-08-24,10:19:03,2026-08-24 10:19:03,,,,,,,,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,,,,
431,raw_position_sample,2,2,int,19,2,7,8,-1,999,376,88,712882.6000000238,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,intermediate,2,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,spotlight_PROLIFIC,,33,Mexico,Spanish,"English, Italian, German",Italian|German,Spanish:70|English:15|Italian:10|German:5,100,Spanish:45|English:45|Italian:5|German:5,100,Spanish:80|English:10|Italian:5|German:5,100,18,6,Bachelor's,10,10,10,10,10,10,5,12,8,12,CEFR,C2,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-24T16:19:03.874Z,63K6TGD3,2026-08-24,2026-08-24,10:19:03,2026-08-24 10:19:03,,,,,,,,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,,,,
480,raw_position_sample,2,2,int,19,2,7,8,-1,999,376,88,712931.7000000477,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,intermediate,2,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,spotlight_PROLIFIC,,33,Mexico,Spanish,"English, Italian, German",Italian|German,Spanish:70|English:15|Italian:10|German:5,100,Spanish:45|English:45|Italian:5|German:5,100,Spanish:80|English:10|Italian:5|German:5,100,18,6,Bachelor's,10,10,10,10,10,10,5,12,8,12,CEFR,C2,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-24T16:19:03.874Z,63K6TGD3,2026-08-24,2026-08-24,10:19:03,2026-08-24 10:19:03,,,,,,,,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,,,,
527,raw_position_sample,2,2,int,19,2,7,8,-1,999,376,88,712978.7999999523,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,intermediate,2,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,spotlight_PROLIFIC,,33,Mexico,Spanish,"English, Italian, German",Italian|German,Spanish:70|English:15|Italian:10|German:5,100,Spanish:45|English:45|Italian:5|German:5,100,Spanish:80|English:10|Italian:5|German:5,100,18,6,Bachelor's,10,10,10,10,10,10,5,12,8,12,CEFR,C2,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-24T16:19:03.874Z,63K6TGD3,2026-08-24,2026-08-24,10:19:03,2026-08-24 10:19:03,,,,,,,,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,,,,
575,raw_position_sample,2,2,int,19,2,7,8,-1,999,376,88,713026.1000000238,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,intermediate,2,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,spotlight_PROLIFIC,,33,Mexico,Spanish,"English, Italian, German",Italian|German,Spanish:70|English:15|Italian:10|German:5,100,Spanish:45|English:45|Italian:5|German:5,100,Spanish:80|English:10|Italian:5|German:5,100,18,6,Bachelor's,10,10,10,10,10,10,5,12,8,12,CEFR,C2,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-24T16:19:03.874Z,63K6TGD3,2026-08-24,2026-08-24,10:19:03,2026-08-24 10:19:03,,,,,,,,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,,,,
638,raw_position_sample,2,2,int,19,2,7,8,-1,999,376,88,713089.2999999523,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,intermediate,2,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,spotlight_PROLIFIC,,33,Mexico,Spanish,"English, Italian, German",Italian|German,Spanish:70|English:15|Italian:10|German:5,100,Spanish:45|English:45|Italian:5|German:5,100,Spanish:80|English:10|Italian:5|German:5,100,18,6,Bachelor's,10,10,10,10,10,10,5,12,8,12,CEFR,C2,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-24T16:19:03.874Z,63K6TGD3,2026-08-24,2026-08-24,10:19:03,2026-08-24 10:19:03,,,,,,,,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,,,,
682,raw_position_sample,2,2,int,19,2,7,8,-1,999,376,89,713133.2000000477,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,intermediate,2,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,spotlight_PROLIFIC,,33,Mexico,Spanish,"English, Italian, German",Italian|German,Spanish:70|English:15|Italian:10|German:5,100,Spanish:45|English:45|Italian:5|German:5,100,Spanish:80|English:10|Italian:5|German:5,100,18,6,Bachelor's,10,10,10,10,10,10,5,12,8,12,CEFR,C2,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-24T16:19:03.874Z,63K6TGD3,2026-08-24,2026-08-24,10:19:03,2026-08-24 10:19:03,,,,,,,,6a1df90efdc818d0eae19539,6a1df90efdc818d0eae19539,,,,
