responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
63,raw_position_sample,2,3,adv,13,1,6,7,-1,999,249,82,1146602,6a0bfc4e8248ad705369649a,6a0bfc4e8248ad705369649a,advanced,1,6a0bfc4e8248ad705369649a,6a0bfc4e8248ad705369649a,spotlight_PROLIFIC,,32,Mexico,Spanish,englisj,englisj,Spanish:70|English:30|englisj:0,100,Spanish:50|English:50|englisj:0,100,Spanish:70|English:30|englisj:0,100,21,9,Master's,10,10,10,8,10,9,5,20,10,12,TOEFL,91,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T22:59:14.174Z,UD3BQ63T,2026-09-22,2026-09-22,15:59:14,2026-09-22 15:59:14,,,,,,,,6a0bfc4e8248ad705369649a,6a0bfc4e8248ad705369649a,,,,
113,raw_position_sample,2,3,adv,13,1,6,7,-1,999,249,82,1146653,6a0bfc4e8248ad705369649a,6a0bfc4e8248ad705369649a,advanced,1,6a0bfc4e8248ad705369649a,6a0bfc4e8248ad705369649a,spotlight_PROLIFIC,,32,Mexico,Spanish,englisj,englisj,Spanish:70|English:30|englisj:0,100,Spanish:50|English:50|englisj:0,100,Spanish:70|English:30|englisj:0,100,21,9,Master's,10,10,10,8,10,9,5,20,10,12,TOEFL,91,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T22:59:14.174Z,UD3BQ63T,2026-09-22,2026-09-22,15:59:14,2026-09-22 15:59:14,,,,,,,,6a0bfc4e8248ad705369649a,6a0bfc4e8248ad705369649a,,,,
163,raw_position_sample,2,3,adv,13,1,6,7,-1,999,249,82,1146703,6a0bfc4e8248ad705369649a,6a0bfc4e8248ad705369649a,advanced,1,6a0bfc4e8248ad705369649a,6a0bfc4e8248ad705369649a,spotlight_PROLIFIC,,32,Mexico,Spanish,englisj,englisj,Spanish:70|English:30|englisj:0,100,Spanish:50|English:50|englisj:0,100,Spanish:70|English:30|englisj:0,100,21,9,Master's,10,10,10,8,10,9,5,20,10,12,TOEFL,91,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T22:59:14.174Z,UD3BQ63T,2026-09-22,2026-09-22,15:59:14,2026-09-22 15:59:14,,,,,,,,6a0bfc4e8248ad705369649a,6a0bfc4e8248ad705369649a,,,,
214,raw_position_sample,2,3,adv,13,1,6,7,-1,999,249,82,1146753,6a0bfc4e8248ad705369649a,6a0bfc4e8248ad705369649a,advanced,1,6a0bfc4e8248ad705369649a,6a0bfc4e8248ad705369649a,spotlight_PROLIFIC,,32,Mexico,Spanish,englisj,englisj,Spanish:70|English:30|englisj:0,100,Spanish:50|English:50|englisj:0,100,Spanish:70|English:30|englisj:0,100,21,9,Master's,10,10,10,8,10,9,5,20,10,12,TOEFL,91,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T22:59:14.174Z,UD3BQ63T,2026-09-22,2026-09-22,15:59:14,2026-09-22 15:59:14,,,,,,,,6a0bfc4e8248ad705369649a,6a0bfc4e8248ad705369649a,,,,
264,raw_position_sample,2,3,adv,13,1,6,7,-1,999,249,82,1146804,6a0bfc4e8248ad705369649a,6a0bfc4e8248ad705369649a,advanced,1,6a0bfc4e8248ad705369649a,6a0bfc4e8248ad705369649a,spotlight_PROLIFIC,,32,Mexico,Spanish,englisj,englisj,Spanish:70|English:30|englisj:0,100,Spanish:50|English:50|englisj:0,100,Spanish:70|English:30|englisj:0,100,21,9,Master's,10,10,10,8,10,9,5,20,10,12,TOEFL,91,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T22:59:14.174Z,UD3BQ63T,2026-09-22,2026-09-22,15:59:14,2026-09-22 15:59:14,,,,,,,,6a0bfc4e8248ad705369649a,6a0bfc4e8248ad705369649a,,,,
315,raw_position_sample,2,3,adv,13,1,6,7,-1,999,249,82,1146855,6a0bfc4e8248ad705369649a,6a0bfc4e8248ad705369649a,advanced,1,6a0bfc4e8248ad705369649a,6a0bfc4e8248ad705369649a,spotlight_PROLIFIC,,32,Mexico,Spanish,englisj,englisj,Spanish:70|English:30|englisj:0,100,Spanish:50|English:50|englisj:0,100,Spanish:70|English:30|englisj:0,100,21,9,Master's,10,10,10,8,10,9,5,20,10,12,TOEFL,91,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T22:59:14.174Z,UD3BQ63T,2026-09-22,2026-09-22,15:59:14,2026-09-22 15:59:14,,,,,,,,6a0bfc4e8248ad705369649a,6a0bfc4e8248ad705369649a,,,,
365,raw_position_sample,2,3,adv,13,1,6,7,-1,999,249,82,1146905,6a0bfc4e8248ad705369649a,6a0bfc4e8248ad705369649a,advanced,1,6a0bfc4e8248ad705369649a,6a0bfc4e8248ad705369649a,spotlight_PROLIFIC,,32,Mexico,Spanish,englisj,englisj,Spanish:70|English:30|englisj:0,100,Spanish:50|English:50|englisj:0,100,Spanish:70|English:30|englisj:0,100,21,9,Master's,10,10,10,8,10,9,5,20,10,12,TOEFL,91,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T22:59:14.174Z,UD3BQ63T,2026-09-22,2026-09-22,15:59:14,2026-09-22 15:59:14,,,,,,,,6a0bfc4e8248ad705369649a,6a0bfc4e8248ad705369649a,,,,
415,raw_position_sample,2,3,adv,13,1,6,7,-1,999,249,82,1146955,6a0bfc4e8248ad705369649a,6a0bfc4e8248ad705369649a,advanced,1,6a0bfc4e8248ad705369649a,6a0bfc4e8248ad705369649a,spotlight_PROLIFIC,,32,Mexico,Spanish,englisj,englisj,Spanish:70|English:30|englisj:0,100,Spanish:50|English:50|englisj:0,100,Spanish:70|English:30|englisj:0,100,21,9,Master's,10,10,10,8,10,9,5,20,10,12,TOEFL,91,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T22:59:14.174Z,UD3BQ63T,2026-09-22,2026-09-22,15:59:14,2026-09-22 15:59:14,,,,,,,,6a0bfc4e8248ad705369649a,6a0bfc4e8248ad705369649a,,,,
465,raw_position_sample,2,3,adv,13,1,6,7,-1,999,249,82,1147005,6a0bfc4e8248ad705369649a,6a0bfc4e8248ad705369649a,advanced,1,6a0bfc4e8248ad705369649a,6a0bfc4e8248ad705369649a,spotlight_PROLIFIC,,32,Mexico,Spanish,englisj,englisj,Spanish:70|English:30|englisj:0,100,Spanish:50|English:50|englisj:0,100,Spanish:70|English:30|englisj:0,100,21,9,Master's,10,10,10,8,10,9,5,20,10,12,TOEFL,91,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T22:59:14.174Z,UD3BQ63T,2026-09-22,2026-09-22,15:59:14,2026-09-22 15:59:14,,,,,,,,6a0bfc4e8248ad705369649a,6a0bfc4e8248ad705369649a,,,,
517,raw_position_sample,2,3,adv,13,1,6,7,-1,999,288,84,1147056,6a0bfc4e8248ad705369649a,6a0bfc4e8248ad705369649a,advanced,1,6a0bfc4e8248ad705369649a,6a0bfc4e8248ad705369649a,spotlight_PROLIFIC,,32,Mexico,Spanish,englisj,englisj,Spanish:70|English:30|englisj:0,100,Spanish:50|English:50|englisj:0,100,Spanish:70|English:30|englisj:0,100,21,9,Master's,10,10,10,8,10,9,5,20,10,12,TOEFL,91,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T22:59:14.174Z,UD3BQ63T,2026-09-22,2026-09-22,15:59:14,2026-09-22 15:59:14,,,,,,,,6a0bfc4e8248ad705369649a,6a0bfc4e8248ad705369649a,,,,
