responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
37,raw_position_sample,2,3,adv,6,1,11,12,-1,999,384,86,1207962.8,697a704f3622ff7c829142f3,697a704f3622ff7c829142f3,advanced,1,697a704f3622ff7c829142f3,697a704f3622ff7c829142f3,spotlight_PROLIFIC,,20,Brazil,Portuguese,english,,Portuguese:70|English:30,100,Portuguese:10|English:90,100,Portuguese:80|English:20,100,16,3,High school,10,10,10,8,9,10,10,16,10,16,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T12:35:24.734Z,V6ACNMP7,2026-08-16,2026-08-16,09:35:24,2026-08-16 09:35:24,,,,,,,,697a704f3622ff7c829142f3,697a704f3622ff7c829142f3,,,,
83,raw_position_sample,2,3,adv,6,1,11,12,-1,999,384,86,1208009,697a704f3622ff7c829142f3,697a704f3622ff7c829142f3,advanced,1,697a704f3622ff7c829142f3,697a704f3622ff7c829142f3,spotlight_PROLIFIC,,20,Brazil,Portuguese,english,,Portuguese:70|English:30,100,Portuguese:10|English:90,100,Portuguese:80|English:20,100,16,3,High school,10,10,10,8,9,10,10,16,10,16,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T12:35:24.734Z,V6ACNMP7,2026-08-16,2026-08-16,09:35:24,2026-08-16 09:35:24,,,,,,,,697a704f3622ff7c829142f3,697a704f3622ff7c829142f3,,,,
137,raw_position_sample,2,3,adv,6,1,11,12,-1,999,384,86,1208062.9000000001,697a704f3622ff7c829142f3,697a704f3622ff7c829142f3,advanced,1,697a704f3622ff7c829142f3,697a704f3622ff7c829142f3,spotlight_PROLIFIC,,20,Brazil,Portuguese,english,,Portuguese:70|English:30,100,Portuguese:10|English:90,100,Portuguese:80|English:20,100,16,3,High school,10,10,10,8,9,10,10,16,10,16,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T12:35:24.734Z,V6ACNMP7,2026-08-16,2026-08-16,09:35:24,2026-08-16 09:35:24,,,,,,,,697a704f3622ff7c829142f3,697a704f3622ff7c829142f3,,,,
184,raw_position_sample,2,3,adv,6,1,11,12,-1,999,384,86,1208109.7,697a704f3622ff7c829142f3,697a704f3622ff7c829142f3,advanced,1,697a704f3622ff7c829142f3,697a704f3622ff7c829142f3,spotlight_PROLIFIC,,20,Brazil,Portuguese,english,,Portuguese:70|English:30,100,Portuguese:10|English:90,100,Portuguese:80|English:20,100,16,3,High school,10,10,10,8,9,10,10,16,10,16,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T12:35:24.734Z,V6ACNMP7,2026-08-16,2026-08-16,09:35:24,2026-08-16 09:35:24,,,,,,,,697a704f3622ff7c829142f3,697a704f3622ff7c829142f3,,,,
248,raw_position_sample,2,3,adv,6,1,11,12,-1,999,384,86,1208174,697a704f3622ff7c829142f3,697a704f3622ff7c829142f3,advanced,1,697a704f3622ff7c829142f3,697a704f3622ff7c829142f3,spotlight_PROLIFIC,,20,Brazil,Portuguese,english,,Portuguese:70|English:30,100,Portuguese:10|English:90,100,Portuguese:80|English:20,100,16,3,High school,10,10,10,8,9,10,10,16,10,16,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T12:35:24.734Z,V6ACNMP7,2026-08-16,2026-08-16,09:35:24,2026-08-16 09:35:24,,,,,,,,697a704f3622ff7c829142f3,697a704f3622ff7c829142f3,,,,
294,raw_position_sample,2,3,adv,6,1,11,12,-1,999,384,86,1208220.6,697a704f3622ff7c829142f3,697a704f3622ff7c829142f3,advanced,1,697a704f3622ff7c829142f3,697a704f3622ff7c829142f3,spotlight_PROLIFIC,,20,Brazil,Portuguese,english,,Portuguese:70|English:30,100,Portuguese:10|English:90,100,Portuguese:80|English:20,100,16,3,High school,10,10,10,8,9,10,10,16,10,16,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T12:35:24.734Z,V6ACNMP7,2026-08-16,2026-08-16,09:35:24,2026-08-16 09:35:24,,,,,,,,697a704f3622ff7c829142f3,697a704f3622ff7c829142f3,,,,
342,raw_position_sample,2,3,adv,6,1,11,12,-1,999,384,86,1208268.6,697a704f3622ff7c829142f3,697a704f3622ff7c829142f3,advanced,1,697a704f3622ff7c829142f3,697a704f3622ff7c829142f3,spotlight_PROLIFIC,,20,Brazil,Portuguese,english,,Portuguese:70|English:30,100,Portuguese:10|English:90,100,Portuguese:80|English:20,100,16,3,High school,10,10,10,8,9,10,10,16,10,16,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T12:35:24.734Z,V6ACNMP7,2026-08-16,2026-08-16,09:35:24,2026-08-16 09:35:24,,,,,,,,697a704f3622ff7c829142f3,697a704f3622ff7c829142f3,,,,
390,raw_position_sample,2,3,adv,6,1,11,12,-1,999,384,86,1208316.1,697a704f3622ff7c829142f3,697a704f3622ff7c829142f3,advanced,1,697a704f3622ff7c829142f3,697a704f3622ff7c829142f3,spotlight_PROLIFIC,,20,Brazil,Portuguese,english,,Portuguese:70|English:30,100,Portuguese:10|English:90,100,Portuguese:80|English:20,100,16,3,High school,10,10,10,8,9,10,10,16,10,16,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T12:35:24.734Z,V6ACNMP7,2026-08-16,2026-08-16,09:35:24,2026-08-16 09:35:24,,,,,,,,697a704f3622ff7c829142f3,697a704f3622ff7c829142f3,,,,
438,raw_position_sample,2,3,adv,6,1,11,12,-1,999,384,86,1208364.1,697a704f3622ff7c829142f3,697a704f3622ff7c829142f3,advanced,1,697a704f3622ff7c829142f3,697a704f3622ff7c829142f3,spotlight_PROLIFIC,,20,Brazil,Portuguese,english,,Portuguese:70|English:30,100,Portuguese:10|English:90,100,Portuguese:80|English:20,100,16,3,High school,10,10,10,8,9,10,10,16,10,16,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T12:35:24.734Z,V6ACNMP7,2026-08-16,2026-08-16,09:35:24,2026-08-16 09:35:24,,,,,,,,697a704f3622ff7c829142f3,697a704f3622ff7c829142f3,,,,
484,raw_position_sample,2,3,adv,6,1,11,12,-1,999,384,86,1208409.7,697a704f3622ff7c829142f3,697a704f3622ff7c829142f3,advanced,1,697a704f3622ff7c829142f3,697a704f3622ff7c829142f3,spotlight_PROLIFIC,,20,Brazil,Portuguese,english,,Portuguese:70|English:30,100,Portuguese:10|English:90,100,Portuguese:80|English:20,100,16,3,High school,10,10,10,8,9,10,10,16,10,16,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T12:35:24.734Z,V6ACNMP7,2026-08-16,2026-08-16,09:35:24,2026-08-16 09:35:24,,,,,,,,697a704f3622ff7c829142f3,697a704f3622ff7c829142f3,,,,
534,raw_position_sample,2,3,adv,6,1,11,12,-1,999,388,93,1208460.1,697a704f3622ff7c829142f3,697a704f3622ff7c829142f3,advanced,1,697a704f3622ff7c829142f3,697a704f3622ff7c829142f3,spotlight_PROLIFIC,,20,Brazil,Portuguese,english,,Portuguese:70|English:30,100,Portuguese:10|English:90,100,Portuguese:80|English:20,100,16,3,High school,10,10,10,8,9,10,10,16,10,16,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T12:35:24.734Z,V6ACNMP7,2026-08-16,2026-08-16,09:35:24,2026-08-16 09:35:24,,,,,,,,697a704f3622ff7c829142f3,697a704f3622ff7c829142f3,,,,
584,raw_position_sample,2,3,adv,6,1,11,12,-1,999,400,98,1208510.2,697a704f3622ff7c829142f3,697a704f3622ff7c829142f3,advanced,1,697a704f3622ff7c829142f3,697a704f3622ff7c829142f3,spotlight_PROLIFIC,,20,Brazil,Portuguese,english,,Portuguese:70|English:30,100,Portuguese:10|English:90,100,Portuguese:80|English:20,100,16,3,High school,10,10,10,8,9,10,10,16,10,16,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T12:35:24.734Z,V6ACNMP7,2026-08-16,2026-08-16,09:35:24,2026-08-16 09:35:24,,,,,,,,697a704f3622ff7c829142f3,697a704f3622ff7c829142f3,,,,
