responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
86,raw_position_sample,2,1,ele,17,4,9,10,-1,999,258,44,1188793.3999999762,697be85811e02fe740b2bfb9,697be85811e02fe740b2bfb9,elementary,4,697be85811e02fe740b2bfb9,697be85811e02fe740b2bfb9,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:80|English:20,100,Spanish:95|English:5,100,Spanish:100|English:0,100,16,0,Bachelor's,10,10,10,9,10,9,4,14,4,18,,,,,17,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-24T17:05:46.105Z,JRZ3J7UG,2026-08-24,2026-08-24,11:05:46,2026-08-24 11:05:46,,,,,,,,697be85811e02fe740b2bfb9,697be85811e02fe740b2bfb9,,,,
135,raw_position_sample,2,1,ele,17,4,9,10,-1,999,265,43,1188842.7000000477,697be85811e02fe740b2bfb9,697be85811e02fe740b2bfb9,elementary,4,697be85811e02fe740b2bfb9,697be85811e02fe740b2bfb9,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:80|English:20,100,Spanish:95|English:5,100,Spanish:100|English:0,100,16,0,Bachelor's,10,10,10,9,10,9,4,14,4,18,,,,,17,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-24T17:05:46.105Z,JRZ3J7UG,2026-08-24,2026-08-24,11:05:46,2026-08-24 11:05:46,,,,,,,,697be85811e02fe740b2bfb9,697be85811e02fe740b2bfb9,,,,
198,raw_position_sample,2,1,ele,17,4,9,10,-1,999,269,43,1188905.8000000715,697be85811e02fe740b2bfb9,697be85811e02fe740b2bfb9,elementary,4,697be85811e02fe740b2bfb9,697be85811e02fe740b2bfb9,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:80|English:20,100,Spanish:95|English:5,100,Spanish:100|English:0,100,16,0,Bachelor's,10,10,10,9,10,9,4,14,4,18,,,,,17,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-24T17:05:46.105Z,JRZ3J7UG,2026-08-24,2026-08-24,11:05:46,2026-08-24 11:05:46,,,,,,,,697be85811e02fe740b2bfb9,697be85811e02fe740b2bfb9,,,,
250,raw_position_sample,2,1,ele,17,4,9,10,-1,999,269,43,1188957.7000000477,697be85811e02fe740b2bfb9,697be85811e02fe740b2bfb9,elementary,4,697be85811e02fe740b2bfb9,697be85811e02fe740b2bfb9,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:80|English:20,100,Spanish:95|English:5,100,Spanish:100|English:0,100,16,0,Bachelor's,10,10,10,9,10,9,4,14,4,18,,,,,17,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-24T17:05:46.105Z,JRZ3J7UG,2026-08-24,2026-08-24,11:05:46,2026-08-24 11:05:46,,,,,,,,697be85811e02fe740b2bfb9,697be85811e02fe740b2bfb9,,,,
298,raw_position_sample,2,1,ele,17,4,9,10,-1,999,269,43,1189005.3999999762,697be85811e02fe740b2bfb9,697be85811e02fe740b2bfb9,elementary,4,697be85811e02fe740b2bfb9,697be85811e02fe740b2bfb9,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:80|English:20,100,Spanish:95|English:5,100,Spanish:100|English:0,100,16,0,Bachelor's,10,10,10,9,10,9,4,14,4,18,,,,,17,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-24T17:05:46.105Z,JRZ3J7UG,2026-08-24,2026-08-24,11:05:46,2026-08-24 11:05:46,,,,,,,,697be85811e02fe740b2bfb9,697be85811e02fe740b2bfb9,,,,
346,raw_position_sample,2,1,ele,17,4,9,10,-1,999,269,43,1189053.1000000238,697be85811e02fe740b2bfb9,697be85811e02fe740b2bfb9,elementary,4,697be85811e02fe740b2bfb9,697be85811e02fe740b2bfb9,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:80|English:20,100,Spanish:95|English:5,100,Spanish:100|English:0,100,16,0,Bachelor's,10,10,10,9,10,9,4,14,4,18,,,,,17,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-24T17:05:46.105Z,JRZ3J7UG,2026-08-24,2026-08-24,11:05:46,2026-08-24 11:05:46,,,,,,,,697be85811e02fe740b2bfb9,697be85811e02fe740b2bfb9,,,,
385,raw_position_sample,2,1,ele,17,4,9,10,-1,999,271,45,1189092.1000000238,697be85811e02fe740b2bfb9,697be85811e02fe740b2bfb9,elementary,4,697be85811e02fe740b2bfb9,697be85811e02fe740b2bfb9,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:80|English:20,100,Spanish:95|English:5,100,Spanish:100|English:0,100,16,0,Bachelor's,10,10,10,9,10,9,4,14,4,18,,,,,17,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-24T17:05:46.105Z,JRZ3J7UG,2026-08-24,2026-08-24,11:05:46,2026-08-24 11:05:46,,,,,,,,697be85811e02fe740b2bfb9,697be85811e02fe740b2bfb9,,,,
435,raw_position_sample,2,1,ele,17,4,9,10,-1,999,277,50,1189142.3999999762,697be85811e02fe740b2bfb9,697be85811e02fe740b2bfb9,elementary,4,697be85811e02fe740b2bfb9,697be85811e02fe740b2bfb9,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:80|English:20,100,Spanish:95|English:5,100,Spanish:100|English:0,100,16,0,Bachelor's,10,10,10,9,10,9,4,14,4,18,,,,,17,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-24T17:05:46.105Z,JRZ3J7UG,2026-08-24,2026-08-24,11:05:46,2026-08-24 11:05:46,,,,,,,,697be85811e02fe740b2bfb9,697be85811e02fe740b2bfb9,,,,
485,raw_position_sample,2,1,ele,17,4,9,10,-1,999,291,56,1189192,697be85811e02fe740b2bfb9,697be85811e02fe740b2bfb9,elementary,4,697be85811e02fe740b2bfb9,697be85811e02fe740b2bfb9,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:80|English:20,100,Spanish:95|English:5,100,Spanish:100|English:0,100,16,0,Bachelor's,10,10,10,9,10,9,4,14,4,18,,,,,17,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-24T17:05:46.105Z,JRZ3J7UG,2026-08-24,2026-08-24,11:05:46,2026-08-24 11:05:46,,,,,,,,697be85811e02fe740b2bfb9,697be85811e02fe740b2bfb9,,,,
535,raw_position_sample,2,1,ele,17,4,9,10,-1,999,312,67,1189242.2000000477,697be85811e02fe740b2bfb9,697be85811e02fe740b2bfb9,elementary,4,697be85811e02fe740b2bfb9,697be85811e02fe740b2bfb9,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:80|English:20,100,Spanish:95|English:5,100,Spanish:100|English:0,100,16,0,Bachelor's,10,10,10,9,10,9,4,14,4,18,,,,,17,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-24T17:05:46.105Z,JRZ3J7UG,2026-08-24,2026-08-24,11:05:46,2026-08-24 11:05:46,,,,,,,,697be85811e02fe740b2bfb9,697be85811e02fe740b2bfb9,,,,
