responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
136,raw_position_sample,2,3,adv,22,5,5,6,-1,999,467,96,822440.0999999996,613a9ae74a507195416c46c8,613a9ae74a507195416c46c8,advanced,5,613a9ae74a507195416c46c8,613a9ae74a507195416c46c8,spotlight_PROLIFIC,,36,mexico ,spanish ,english ,,spanish:70|English:30,100,spanish:50|English:50,100,spanish:80|English:20,100,14,2,Bachelor's,10,10,10,9,10,10,6,13,8,13,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T02:20:33.696Z,3MPQVMK6,2026-09-21,2026-09-21,20:20:33,2026-09-21 20:20:33,,,,,,,,613a9ae74a507195416c46c8,613a9ae74a507195416c46c8,,,,
183,raw_position_sample,2,3,adv,22,5,5,6,-1,999,484,99,822487.0999999996,613a9ae74a507195416c46c8,613a9ae74a507195416c46c8,advanced,5,613a9ae74a507195416c46c8,613a9ae74a507195416c46c8,spotlight_PROLIFIC,,36,mexico ,spanish ,english ,,spanish:70|English:30,100,spanish:50|English:50,100,spanish:80|English:20,100,14,2,Bachelor's,10,10,10,9,10,10,6,13,8,13,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T02:20:33.696Z,3MPQVMK6,2026-09-21,2026-09-21,20:20:33,2026-09-21 20:20:33,,,,,,,,613a9ae74a507195416c46c8,613a9ae74a507195416c46c8,,,,
233,raw_position_sample,2,3,adv,22,5,5,6,-1,999,498,101,822537.4000000004,613a9ae74a507195416c46c8,613a9ae74a507195416c46c8,advanced,5,613a9ae74a507195416c46c8,613a9ae74a507195416c46c8,spotlight_PROLIFIC,,36,mexico ,spanish ,english ,,spanish:70|English:30,100,spanish:50|English:50,100,spanish:80|English:20,100,14,2,Bachelor's,10,10,10,9,10,10,6,13,8,13,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T02:20:33.696Z,3MPQVMK6,2026-09-21,2026-09-21,20:20:33,2026-09-21 20:20:33,,,,,,,,613a9ae74a507195416c46c8,613a9ae74a507195416c46c8,,,,
284,raw_position_sample,2,3,adv,22,5,5,6,-1,999,507,109,822588.7000000011,613a9ae74a507195416c46c8,613a9ae74a507195416c46c8,advanced,5,613a9ae74a507195416c46c8,613a9ae74a507195416c46c8,spotlight_PROLIFIC,,36,mexico ,spanish ,english ,,spanish:70|English:30,100,spanish:50|English:50,100,spanish:80|English:20,100,14,2,Bachelor's,10,10,10,9,10,10,6,13,8,13,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T02:20:33.696Z,3MPQVMK6,2026-09-21,2026-09-21,20:20:33,2026-09-21 20:20:33,,,,,,,,613a9ae74a507195416c46c8,613a9ae74a507195416c46c8,,,,
334,raw_position_sample,2,3,adv,22,5,5,6,-1,999,511,114,822637.9000000004,613a9ae74a507195416c46c8,613a9ae74a507195416c46c8,advanced,5,613a9ae74a507195416c46c8,613a9ae74a507195416c46c8,spotlight_PROLIFIC,,36,mexico ,spanish ,english ,,spanish:70|English:30,100,spanish:50|English:50,100,spanish:80|English:20,100,14,2,Bachelor's,10,10,10,9,10,10,6,13,8,13,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T02:20:33.696Z,3MPQVMK6,2026-09-21,2026-09-21,20:20:33,2026-09-21 20:20:33,,,,,,,,613a9ae74a507195416c46c8,613a9ae74a507195416c46c8,,,,
384,raw_position_sample,2,3,adv,22,5,5,6,-1,999,514,115,822687.8000000007,613a9ae74a507195416c46c8,613a9ae74a507195416c46c8,advanced,5,613a9ae74a507195416c46c8,613a9ae74a507195416c46c8,spotlight_PROLIFIC,,36,mexico ,spanish ,english ,,spanish:70|English:30,100,spanish:50|English:50,100,spanish:80|English:20,100,14,2,Bachelor's,10,10,10,9,10,10,6,13,8,13,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T02:20:33.696Z,3MPQVMK6,2026-09-21,2026-09-21,20:20:33,2026-09-21 20:20:33,,,,,,,,613a9ae74a507195416c46c8,613a9ae74a507195416c46c8,,,,
434,raw_position_sample,2,3,adv,22,5,5,6,-1,999,520,117,822738.8000000007,613a9ae74a507195416c46c8,613a9ae74a507195416c46c8,advanced,5,613a9ae74a507195416c46c8,613a9ae74a507195416c46c8,spotlight_PROLIFIC,,36,mexico ,spanish ,english ,,spanish:70|English:30,100,spanish:50|English:50,100,spanish:80|English:20,100,14,2,Bachelor's,10,10,10,9,10,10,6,13,8,13,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T02:20:33.696Z,3MPQVMK6,2026-09-21,2026-09-21,20:20:33,2026-09-21 20:20:33,,,,,,,,613a9ae74a507195416c46c8,613a9ae74a507195416c46c8,,,,
484,raw_position_sample,2,3,adv,22,5,5,6,-1,999,524,119,822787.8000000007,613a9ae74a507195416c46c8,613a9ae74a507195416c46c8,advanced,5,613a9ae74a507195416c46c8,613a9ae74a507195416c46c8,spotlight_PROLIFIC,,36,mexico ,spanish ,english ,,spanish:70|English:30,100,spanish:50|English:50,100,spanish:80|English:20,100,14,2,Bachelor's,10,10,10,9,10,10,6,13,8,13,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T02:20:33.696Z,3MPQVMK6,2026-09-21,2026-09-21,20:20:33,2026-09-21 20:20:33,,,,,,,,613a9ae74a507195416c46c8,613a9ae74a507195416c46c8,,,,
534,raw_position_sample,2,3,adv,22,5,5,6,-1,999,527,122,822838.2000000011,613a9ae74a507195416c46c8,613a9ae74a507195416c46c8,advanced,5,613a9ae74a507195416c46c8,613a9ae74a507195416c46c8,spotlight_PROLIFIC,,36,mexico ,spanish ,english ,,spanish:70|English:30,100,spanish:50|English:50,100,spanish:80|English:20,100,14,2,Bachelor's,10,10,10,9,10,10,6,13,8,13,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T02:20:33.696Z,3MPQVMK6,2026-09-21,2026-09-21,20:20:33,2026-09-21 20:20:33,,,,,,,,613a9ae74a507195416c46c8,613a9ae74a507195416c46c8,,,,
584,raw_position_sample,2,3,adv,22,5,5,6,-1,999,540,130,822887.9000000004,613a9ae74a507195416c46c8,613a9ae74a507195416c46c8,advanced,5,613a9ae74a507195416c46c8,613a9ae74a507195416c46c8,spotlight_PROLIFIC,,36,mexico ,spanish ,english ,,spanish:70|English:30,100,spanish:50|English:50,100,spanish:80|English:20,100,14,2,Bachelor's,10,10,10,9,10,10,6,13,8,13,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T02:20:33.696Z,3MPQVMK6,2026-09-21,2026-09-21,20:20:33,2026-09-21 20:20:33,,,,,,,,613a9ae74a507195416c46c8,613a9ae74a507195416c46c8,,,,
