participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
U6WHGYMY,60d9094b3f69a8840687f687,1,ele,25,1,14,15,1, There ,1051,736,155,0,450.8999999985099,0.44149499838245976,0.9560760498046875,119.7569580078125,728.4040652683804,159.7569580078125,784.1146278381348,1,1,To collect information on the service quality of competing retailers,0,1,37332,736,155,1051,755,160,1289,19.65,,,2026-07-02,2026-07-02,2026-07-02T19:00:56.360Z,13:00:56,2026-07-02 13:00:56,,,,,,,spotlight-prolific
U6WHGYMY,60d9094b3f69a8840687f687,1,ele,25,1,14,15,15, the ,1289,755,160,0,237.80000000074506,0.7884625521588754,0.0060760498046875,159.7569580078125,728.4040652683804,199.7569580078125,762.1354513168335,2,1,To collect information on the service quality of competing retailers,0,15,37332,755,160,1289,755,158,1666,2.00,,,2026-07-02,2026-07-02,2026-07-02T19:00:56.360Z,13:00:56,2026-07-02 13:00:56,,,,,,,spotlight-prolific
U6WHGYMY,60d9094b3f69a8840687f687,1,ele,25,1,14,15,1, There ,1666,755,158,0,377.8999999985099,0.9799925223024062,0.9060760498046875,119.7569580078125,728.4040652683804,159.7569580078125,784.1146278381348,1,1,To collect information on the service quality of competing retailers,0,1,37332,755,158,1666,890,158,2033,135.00,,,2026-07-02,2026-07-02,2026-07-02T19:00:56.360Z,13:00:56,2026-07-02 13:00:56,,,,,,,spotlight-prolific
U6WHGYMY,60d9094b3f69a8840687f687,1,ele,25,1,14,15,4," 50,000 ",2033,890,158,0,249.80000000074506,0.047656907778909414,0.7810760498046875,119.7569580078125,865.1389312744141,159.7569580078125,925.1736431121826,1,4,To collect information on the service quality of competing retailers,0,4,37332,890,158,2033,781,151,2700,109.22,,,2026-07-02,2026-07-02,2026-07-02T19:00:56.360Z,13:00:56,2026-07-02 13:00:56,,,,,,,spotlight-prolific
U6WHGYMY,60d9094b3f69a8840687f687,1,ele,25,1,14,15,1, There ,2700,781,151,1,616.6999999992549,0.9979424397664044,0.6810760498046875,119.7569580078125,728.4040652683804,159.7569580078125,784.1146278381348,1,1,To collect information on the service quality of competing retailers,0,1,37332,781,151,2700,787,147,2883,7.21,,,2026-07-02,2026-07-02,2026-07-02T19:00:56.360Z,13:00:56,2026-07-02 13:00:56,,,,,,,spotlight-prolific
U6WHGYMY,60d9094b3f69a8840687f687,1,ele,25,1,14,15,2, are ,2883,787,147,0,183.5,0.9638282267521238,0.6060760498046875,119.7569580078125,784.1146278381348,159.7569580078125,815.1215763092041,1,2,To collect information on the service quality of competing retailers,0,2,37332,787,147,2883,817,144,3133,30.15,,,2026-07-02,2026-07-02,2026-07-02T19:00:56.360Z,13:00:56,2026-07-02 13:00:56,,,,,,,spotlight-prolific
U6WHGYMY,60d9094b3f69a8840687f687,1,ele,25,1,14,15,3, about ,3133,817,144,0,249.80000000074506,0.977229278213407,0.5060760498046875,119.7569580078125,815.1215763092041,159.7569580078125,865.1389312744141,1,3,To collect information on the service quality of competing retailers,0,3,37332,817,144,3133,868,140,3600,51.16,,,2026-07-02,2026-07-02,2026-07-02T19:00:56.360Z,13:00:56,2026-07-02 13:00:56,,,,,,,spotlight-prolific
U6WHGYMY,60d9094b3f69a8840687f687,1,ele,25,1,14,15,4," 50,000 ",3600,868,140,0,466.79999999701977,0.9971076214598672,0.4560760498046875,119.7569580078125,865.1389312744141,159.7569580078125,925.1736431121826,1,4,To collect information on the service quality of competing retailers,0,4,37332,868,140,3600,997,140,4117,129.00,,,2026-07-02,2026-07-02,2026-07-02T19:00:56.360Z,13:00:56,2026-07-02 13:00:56,,,,,,,spotlight-prolific
U6WHGYMY,60d9094b3f69a8840687f687,1,ele,25,1,14,15,6, shopping ,4117,997,140,0,383.19999999925494,0.9466396377865387,0.5560760498046875,119.7569580078125,993.1423950195312,159.7569580078125,1071.1632194519043,1,6,To collect information on the service quality of competing retailers,0,6,37332,997,140,4117,1161,147,4566,164.15,,,2026-07-02,2026-07-02,2026-07-02T19:00:56.360Z,13:00:56,2026-07-02 13:00:56,,,,,,,spotlight-prolific
U6WHGYMY,60d9094b3f69a8840687f687,1,ele,25,1,14,15,9, month ,4566,1161,147,0,250,0.9427379490453366,0.7060760498046875,119.7569580078125,1159.1493606567383,159.7569580078125,1214.1494159698486,1,9,To collect information on the service quality of competing retailers,0,9,37332,1161,147,4566,1306,147,5251,145.00,,,2026-07-02,2026-07-02,2026-07-02T19:00:56.360Z,13:00:56,2026-07-02 13:00:56,,,,,,,spotlight-prolific
U6WHGYMY,60d9094b3f69a8840687f687,1,ele,25,1,14,15,13, according ,5251,1306,147,0,451.19999999925494,0.5761548668515537,0.8560760498046875,119.7569580078125,1298.1771240234375,159.7569580078125,1381.1806335449219,1,13,To collect information on the service quality of competing retailers,0,13,37332,1306,147,5251,794,221,5600,517.32,,,2026-07-02,2026-07-02,2026-07-02T19:00:56.360Z,13:00:56,2026-07-02 13:00:56,,,,,,,spotlight-prolific
U6WHGYMY,60d9094b3f69a8840687f687,1,ele,25,1,14,15,26, customer ,5600,794,221,1,216.10000000149012,0.33372863525940594,0.1060760498046875,199.7569580078125,728.4040652683804,239.7569580078125,811.093807220459,3,1,To collect information on the service quality of competing retailers,0,26,37332,794,221,5600,754,197,5933,46.65,,,2026-07-02,2026-07-02,2026-07-02T19:00:56.360Z,13:00:56,2026-07-02 13:00:56,,,,,,,spotlight-prolific
U6WHGYMY,60d9094b3f69a8840687f687,1,ele,25,1,14,15,15, the ,5933,754,197,1,333.5,0.9959844129547796,0.7810760498046875,159.7569580078125,728.4040652683804,199.7569580078125,762.1354513168335,2,1,To collect information on the service quality of competing retailers,0,15,37332,754,197,5933,766,191,6200,13.42,,,2026-07-02,2026-07-02,2026-07-02T19:00:56.360Z,13:00:56,2026-07-02 13:00:56,,,,,,,spotlight-prolific
