responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
725,raw_position_sample,2,2,int,23,3,3,4,-1,999,526,165,769720,6989d23505348bb8b61a27c3,6989d23505348bb8b61a27c3,intermediate,3,6989d23505348bb8b61a27c3,6989d23505348bb8b61a27c3,spotlight_PROLIFIC,,32,Colombia,Spanish,English,,Spanish:80|English:20,100,Spanish:70|English:30,100,Spanish:95|English:5,100,16,5,Bachelor's,10,10,10,5,8,10,10,30,20,25,EF SET English Certificate,74/100 (C2 Proficient),,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-22T21:13:22.306Z,9TLT9BCT,2026-09-22,2026-09-22,16:13:22,2026-09-22 16:13:22,,,,,,,,6989d23505348bb8b61a27c3,6989d23505348bb8b61a27c3,,,,
775,raw_position_sample,2,2,int,23,3,3,4,-1,999,552,177,769770,6989d23505348bb8b61a27c3,6989d23505348bb8b61a27c3,intermediate,3,6989d23505348bb8b61a27c3,6989d23505348bb8b61a27c3,spotlight_PROLIFIC,,32,Colombia,Spanish,English,,Spanish:80|English:20,100,Spanish:70|English:30,100,Spanish:95|English:5,100,16,5,Bachelor's,10,10,10,5,8,10,10,30,20,25,EF SET English Certificate,74/100 (C2 Proficient),,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-22T21:13:22.306Z,9TLT9BCT,2026-09-22,2026-09-22,16:13:22,2026-09-22 16:13:22,,,,,,,,6989d23505348bb8b61a27c3,6989d23505348bb8b61a27c3,,,,
826,raw_position_sample,2,2,int,23,3,3,4,-1,999,564,176,769820,6989d23505348bb8b61a27c3,6989d23505348bb8b61a27c3,intermediate,3,6989d23505348bb8b61a27c3,6989d23505348bb8b61a27c3,spotlight_PROLIFIC,,32,Colombia,Spanish,English,,Spanish:80|English:20,100,Spanish:70|English:30,100,Spanish:95|English:5,100,16,5,Bachelor's,10,10,10,5,8,10,10,30,20,25,EF SET English Certificate,74/100 (C2 Proficient),,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-22T21:13:22.306Z,9TLT9BCT,2026-09-22,2026-09-22,16:13:22,2026-09-22 16:13:22,,,,,,,,6989d23505348bb8b61a27c3,6989d23505348bb8b61a27c3,,,,
876,raw_position_sample,2,2,int,23,3,3,4,-1,999,589,158,769871,6989d23505348bb8b61a27c3,6989d23505348bb8b61a27c3,intermediate,3,6989d23505348bb8b61a27c3,6989d23505348bb8b61a27c3,spotlight_PROLIFIC,,32,Colombia,Spanish,English,,Spanish:80|English:20,100,Spanish:70|English:30,100,Spanish:95|English:5,100,16,5,Bachelor's,10,10,10,5,8,10,10,30,20,25,EF SET English Certificate,74/100 (C2 Proficient),,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-22T21:13:22.306Z,9TLT9BCT,2026-09-22,2026-09-22,16:13:22,2026-09-22 16:13:22,,,,,,,,6989d23505348bb8b61a27c3,6989d23505348bb8b61a27c3,,,,
926,raw_position_sample,2,2,int,23,3,3,4,1, The ,601,149,769921,6989d23505348bb8b61a27c3,6989d23505348bb8b61a27c3,intermediate,3,6989d23505348bb8b61a27c3,6989d23505348bb8b61a27c3,spotlight_PROLIFIC,,32,Colombia,Spanish,English,,Spanish:80|English:20,100,Spanish:70|English:30,100,Spanish:95|English:5,100,16,5,Bachelor's,10,10,10,5,8,10,10,30,20,25,EF SET English Certificate,74/100 (C2 Proficient),,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,18,random,,121.76666259765625,600.36669921875,141.76666259765625,636.4000244140625,1,1,,,,,,,,,,,,2026-09-22T21:13:22.306Z,9TLT9BCT,2026-09-22,2026-09-22,16:13:22,2026-09-22 16:13:22,,,,,,,,6989d23505348bb8b61a27c3,6989d23505348bb8b61a27c3,,,,
977,raw_position_sample,2,2,int,23,3,3,4,1, The ,603,148,769972,6989d23505348bb8b61a27c3,6989d23505348bb8b61a27c3,intermediate,3,6989d23505348bb8b61a27c3,6989d23505348bb8b61a27c3,spotlight_PROLIFIC,,32,Colombia,Spanish,English,,Spanish:80|English:20,100,Spanish:70|English:30,100,Spanish:95|English:5,100,16,5,Bachelor's,10,10,10,5,8,10,10,30,20,25,EF SET English Certificate,74/100 (C2 Proficient),,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,18,random,,121.76666259765625,600.36669921875,141.76666259765625,636.4000244140625,1,1,,,,,,,,,,,,2026-09-22T21:13:22.306Z,9TLT9BCT,2026-09-22,2026-09-22,16:13:22,2026-09-22 16:13:22,,,,,,,,6989d23505348bb8b61a27c3,6989d23505348bb8b61a27c3,,,,
1030,raw_position_sample,2,2,int,23,3,3,4,1, The ,603,148,770024,6989d23505348bb8b61a27c3,6989d23505348bb8b61a27c3,intermediate,3,6989d23505348bb8b61a27c3,6989d23505348bb8b61a27c3,spotlight_PROLIFIC,,32,Colombia,Spanish,English,,Spanish:80|English:20,100,Spanish:70|English:30,100,Spanish:95|English:5,100,16,5,Bachelor's,10,10,10,5,8,10,10,30,20,25,EF SET English Certificate,74/100 (C2 Proficient),,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,18,random,,121.76666259765625,600.36669921875,141.76666259765625,636.4000244140625,1,1,,,,,,,,,,,,2026-09-22T21:13:22.306Z,9TLT9BCT,2026-09-22,2026-09-22,16:13:22,2026-09-22 16:13:22,,,,,,,,6989d23505348bb8b61a27c3,6989d23505348bb8b61a27c3,,,,
1068,hover_association,2,2,int,23,3,3,4,1, The ,599,151,,6989d23505348bb8b61a27c3,6989d23505348bb8b61a27c3,intermediate,3,6989d23505348bb8b61a27c3,6989d23505348bb8b61a27c3,spotlight_PROLIFIC,,32,Colombia,Spanish,English,,Spanish:80|English:20,100,Spanish:70|English:30,100,Spanish:95|English:5,100,16,5,Bachelor's,10,10,10,5,8,10,10,30,20,25,EF SET English Certificate,74/100 (C2 Proficient),,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,18,random,,111.76666259765625,596.7633666992188,151.76666259765625,636.4000244140625,1,1,hover,167,167,0.08165757375574947,0.9058334350585937,95,,,,,,2026-09-22T21:13:22.306Z,9TLT9BCT,2026-09-22,2026-09-22,16:13:22,2026-09-22 16:13:22,,,,,,,,6989d23505348bb8b61a27c3,6989d23505348bb8b61a27c3,,,,
1080,raw_position_sample,2,2,int,23,3,3,4,-1,999,592,143,770075,6989d23505348bb8b61a27c3,6989d23505348bb8b61a27c3,intermediate,3,6989d23505348bb8b61a27c3,6989d23505348bb8b61a27c3,spotlight_PROLIFIC,,32,Colombia,Spanish,English,,Spanish:80|English:20,100,Spanish:70|English:30,100,Spanish:95|English:5,100,16,5,Bachelor's,10,10,10,5,8,10,10,30,20,25,EF SET English Certificate,74/100 (C2 Proficient),,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-22T21:13:22.306Z,9TLT9BCT,2026-09-22,2026-09-22,16:13:22,2026-09-22 16:13:22,,,,,,,,6989d23505348bb8b61a27c3,6989d23505348bb8b61a27c3,,,,
1131,raw_position_sample,2,2,int,23,3,3,4,-1,999,591,143,770125,6989d23505348bb8b61a27c3,6989d23505348bb8b61a27c3,intermediate,3,6989d23505348bb8b61a27c3,6989d23505348bb8b61a27c3,spotlight_PROLIFIC,,32,Colombia,Spanish,English,,Spanish:80|English:20,100,Spanish:70|English:30,100,Spanish:95|English:5,100,16,5,Bachelor's,10,10,10,5,8,10,10,30,20,25,EF SET English Certificate,74/100 (C2 Proficient),,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-22T21:13:22.306Z,9TLT9BCT,2026-09-22,2026-09-22,16:13:22,2026-09-22 16:13:22,,,,,,,,6989d23505348bb8b61a27c3,6989d23505348bb8b61a27c3,,,,
