responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
172,raw_position_sample,2,3,adv,28,4,9,10,-1,999,340,108,2176372.2000000477,69988fe1cc0531aed01c0350,69988fe1cc0531aed01c0350,advanced,4,69988fe1cc0531aed01c0350,69988fe1cc0531aed01c0350,spotlight_PROLIFIC,,28,Brasil,Portuguese ,"Portuguese; English, Spanish ",Portuguese; English|Spanish,Portuguese:30|English:30|Portuguese; English:30|Spanish:10,100,Portuguese:30|English:30|Portuguese; English:30|Spanish:10,100,Portuguese:30|English:30|Portuguese; English:30|Spanish:10,100,21,5,Bachelor's,10,10,10,8,8,1,15,20,15,19,Duolingo,130,,,,,23,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-09T14:43:34.062Z,4H6V98US,2026-08-09,2026-08-09,10:43:34,2026-08-09 10:43:34,,,,,,,,69988fe1cc0531aed01c0350,69988fe1cc0531aed01c0350,,,,
220,raw_position_sample,2,3,adv,28,4,9,10,-1,999,355,119,2176420.8000001907,69988fe1cc0531aed01c0350,69988fe1cc0531aed01c0350,advanced,4,69988fe1cc0531aed01c0350,69988fe1cc0531aed01c0350,spotlight_PROLIFIC,,28,Brasil,Portuguese ,"Portuguese; English, Spanish ",Portuguese; English|Spanish,Portuguese:30|English:30|Portuguese; English:30|Spanish:10,100,Portuguese:30|English:30|Portuguese; English:30|Spanish:10,100,Portuguese:30|English:30|Portuguese; English:30|Spanish:10,100,21,5,Bachelor's,10,10,10,8,8,1,15,20,15,19,Duolingo,130,,,,,23,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-09T14:43:34.062Z,4H6V98US,2026-08-09,2026-08-09,10:43:34,2026-08-09 10:43:34,,,,,,,,69988fe1cc0531aed01c0350,69988fe1cc0531aed01c0350,,,,
280,raw_position_sample,2,3,adv,28,4,9,10,-1,999,358,121,2176480.8000001907,69988fe1cc0531aed01c0350,69988fe1cc0531aed01c0350,advanced,4,69988fe1cc0531aed01c0350,69988fe1cc0531aed01c0350,spotlight_PROLIFIC,,28,Brasil,Portuguese ,"Portuguese; English, Spanish ",Portuguese; English|Spanish,Portuguese:30|English:30|Portuguese; English:30|Spanish:10,100,Portuguese:30|English:30|Portuguese; English:30|Spanish:10,100,Portuguese:30|English:30|Portuguese; English:30|Spanish:10,100,21,5,Bachelor's,10,10,10,8,8,1,15,20,15,19,Duolingo,130,,,,,23,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-09T14:43:34.062Z,4H6V98US,2026-08-09,2026-08-09,10:43:34,2026-08-09 10:43:34,,,,,,,,69988fe1cc0531aed01c0350,69988fe1cc0531aed01c0350,,,,
320,raw_position_sample,2,3,adv,28,4,9,10,-1,999,375,120,2176520.600000143,69988fe1cc0531aed01c0350,69988fe1cc0531aed01c0350,advanced,4,69988fe1cc0531aed01c0350,69988fe1cc0531aed01c0350,spotlight_PROLIFIC,,28,Brasil,Portuguese ,"Portuguese; English, Spanish ",Portuguese; English|Spanish,Portuguese:30|English:30|Portuguese; English:30|Spanish:10,100,Portuguese:30|English:30|Portuguese; English:30|Spanish:10,100,Portuguese:30|English:30|Portuguese; English:30|Spanish:10,100,21,5,Bachelor's,10,10,10,8,8,1,15,20,15,19,Duolingo,130,,,,,23,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-09T14:43:34.062Z,4H6V98US,2026-08-09,2026-08-09,10:43:34,2026-08-09 10:43:34,,,,,,,,69988fe1cc0531aed01c0350,69988fe1cc0531aed01c0350,,,,
369,raw_position_sample,2,3,adv,28,4,9,10,-1,999,443,121,2176570.100000143,69988fe1cc0531aed01c0350,69988fe1cc0531aed01c0350,advanced,4,69988fe1cc0531aed01c0350,69988fe1cc0531aed01c0350,spotlight_PROLIFIC,,28,Brasil,Portuguese ,"Portuguese; English, Spanish ",Portuguese; English|Spanish,Portuguese:30|English:30|Portuguese; English:30|Spanish:10,100,Portuguese:30|English:30|Portuguese; English:30|Spanish:10,100,Portuguese:30|English:30|Portuguese; English:30|Spanish:10,100,21,5,Bachelor's,10,10,10,8,8,1,15,20,15,19,Duolingo,130,,,,,23,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-09T14:43:34.062Z,4H6V98US,2026-08-09,2026-08-09,10:43:34,2026-08-09 10:43:34,,,,,,,,69988fe1cc0531aed01c0350,69988fe1cc0531aed01c0350,,,,
384,hover_association,2,3,adv,28,4,9,10,1, One ,452,124,,69988fe1cc0531aed01c0350,69988fe1cc0531aed01c0350,advanced,4,69988fe1cc0531aed01c0350,69988fe1cc0531aed01c0350,spotlight_PROLIFIC,,28,Brasil,Portuguese ,"Portuguese; English, Spanish ",Portuguese; English|Spanish,Portuguese:30|English:30|Portuguese; English:30|Spanish:10,100,Portuguese:30|English:30|Portuguese; English:30|Spanish:10,100,Portuguese:30|English:30|Portuguese; English:30|Spanish:10,100,21,5,Bachelor's,10,10,10,8,8,1,15,20,15,19,Duolingo,130,,,,,23,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,121.16249465942383,429.3099937438965,161.16250228881836,452.7249946594238,1,1,hover,13.5,13.5,0.9690371714253038,0.07093761998412705,139,,,,,,2026-08-09T14:43:34.062Z,4H6V98US,2026-08-09,2026-08-09,10:43:34,2026-08-09 10:43:34,,,,,,,,69988fe1cc0531aed01c0350,69988fe1cc0531aed01c0350,,,,
416,raw_position_sample,2,3,adv,28,4,9,10,15, post-prison ,471,136,2176617.2000000477,69988fe1cc0531aed01c0350,69988fe1cc0531aed01c0350,advanced,4,69988fe1cc0531aed01c0350,69988fe1cc0531aed01c0350,spotlight_PROLIFIC,,28,Brasil,Portuguese ,"Portuguese; English, Spanish ",Portuguese; English|Spanish,Portuguese:30|English:30|Portuguese; English:30|Spanish:10,100,Portuguese:30|English:30|Portuguese; English:30|Spanish:10,100,Portuguese:30|English:30|Portuguese; English:30|Spanish:10,100,21,5,Bachelor's,10,10,10,8,8,1,15,20,15,19,Duolingo,130,,,,,23,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,111.1624984741211,433.2124938964844,171.1624984741211,1061.6625061035156,1,2,,,,,,,,,,,,2026-08-09T14:43:34.062Z,4H6V98US,2026-08-09,2026-08-09,10:43:34,2026-08-09 10:43:34,,,,,,,,69988fe1cc0531aed01c0350,69988fe1cc0531aed01c0350,,,,
481,raw_position_sample,2,3,adv,28,4,9,10,15, post-prison ,471,136,2176681.4000000954,69988fe1cc0531aed01c0350,69988fe1cc0531aed01c0350,advanced,4,69988fe1cc0531aed01c0350,69988fe1cc0531aed01c0350,spotlight_PROLIFIC,,28,Brasil,Portuguese ,"Portuguese; English, Spanish ",Portuguese; English|Spanish,Portuguese:30|English:30|Portuguese; English:30|Spanish:10,100,Portuguese:30|English:30|Portuguese; English:30|Spanish:10,100,Portuguese:30|English:30|Portuguese; English:30|Spanish:10,100,21,5,Bachelor's,10,10,10,8,8,1,15,20,15,19,Duolingo,130,,,,,23,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,111.1624984741211,433.2124938964844,171.1624984741211,1061.6625061035156,1,2,,,,,,,,,,,,2026-08-09T14:43:34.062Z,4H6V98US,2026-08-09,2026-08-09,10:43:34,2026-08-09 10:43:34,,,,,,,,69988fe1cc0531aed01c0350,69988fe1cc0531aed01c0350,,,,
528,raw_position_sample,2,3,adv,28,4,9,10,15, post-prison ,471,136,2176729.100000143,69988fe1cc0531aed01c0350,69988fe1cc0531aed01c0350,advanced,4,69988fe1cc0531aed01c0350,69988fe1cc0531aed01c0350,spotlight_PROLIFIC,,28,Brasil,Portuguese ,"Portuguese; English, Spanish ",Portuguese; English|Spanish,Portuguese:30|English:30|Portuguese; English:30|Spanish:10,100,Portuguese:30|English:30|Portuguese; English:30|Spanish:10,100,Portuguese:30|English:30|Portuguese; English:30|Spanish:10,100,21,5,Bachelor's,10,10,10,8,8,1,15,20,15,19,Duolingo,130,,,,,23,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,111.1624984741211,433.2124938964844,171.1624984741211,1061.6625061035156,1,2,,,,,,,,,,,,2026-08-09T14:43:34.062Z,4H6V98US,2026-08-09,2026-08-09,10:43:34,2026-08-09 10:43:34,,,,,,,,69988fe1cc0531aed01c0350,69988fe1cc0531aed01c0350,,,,
576,raw_position_sample,2,3,adv,28,4,9,10,15, post-prison ,471,136,2176777,69988fe1cc0531aed01c0350,69988fe1cc0531aed01c0350,advanced,4,69988fe1cc0531aed01c0350,69988fe1cc0531aed01c0350,spotlight_PROLIFIC,,28,Brasil,Portuguese ,"Portuguese; English, Spanish ",Portuguese; English|Spanish,Portuguese:30|English:30|Portuguese; English:30|Spanish:10,100,Portuguese:30|English:30|Portuguese; English:30|Spanish:10,100,Portuguese:30|English:30|Portuguese; English:30|Spanish:10,100,21,5,Bachelor's,10,10,10,8,8,1,15,20,15,19,Duolingo,130,,,,,23,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,111.1624984741211,433.2124938964844,171.1624984741211,1061.6625061035156,1,2,,,,,,,,,,,,2026-08-09T14:43:34.062Z,4H6V98US,2026-08-09,2026-08-09,10:43:34,2026-08-09 10:43:34,,,,,,,,69988fe1cc0531aed01c0350,69988fe1cc0531aed01c0350,,,,
