responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
53,raw_position_sample,2,2,int,13,1,1,2,-1,999,675,108,954013,69ecccf8a60436da643205d7,69ecccf8a60436da643205d7,intermediate,1,69ecccf8a60436da643205d7,69ecccf8a60436da643205d7,spotlight_PROLIFIC,,26,Brasil,Português,"English , Spanish",Spanish,Português:60|English:30|Spanish:10,100,Português:60|English:30|Spanish:10,100,Português:60|English:30|Spanish:10,100,20,6,PhD,10,10,10,9,10,10,6,12,6,11,IELTS,8,,,,,21,25,B2,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-09T14:46:49.840Z,VWWS5KR7,2026-08-09,2026-08-09,11:46:49,2026-08-09 11:46:49,,,,,,,,69ecccf8a60436da643205d7,69ecccf8a60436da643205d7,,,,
100,raw_position_sample,2,2,int,13,1,1,2,-1,999,675,108,954059.7999999998,69ecccf8a60436da643205d7,69ecccf8a60436da643205d7,intermediate,1,69ecccf8a60436da643205d7,69ecccf8a60436da643205d7,spotlight_PROLIFIC,,26,Brasil,Português,"English , Spanish",Spanish,Português:60|English:30|Spanish:10,100,Português:60|English:30|Spanish:10,100,Português:60|English:30|Spanish:10,100,20,6,PhD,10,10,10,9,10,10,6,12,6,11,IELTS,8,,,,,21,25,B2,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-09T14:46:49.840Z,VWWS5KR7,2026-08-09,2026-08-09,11:46:49,2026-08-09 11:46:49,,,,,,,,69ecccf8a60436da643205d7,69ecccf8a60436da643205d7,,,,
152,raw_position_sample,2,2,int,13,1,1,2,-1,999,681,108,954111.5999999996,69ecccf8a60436da643205d7,69ecccf8a60436da643205d7,intermediate,1,69ecccf8a60436da643205d7,69ecccf8a60436da643205d7,spotlight_PROLIFIC,,26,Brasil,Português,"English , Spanish",Spanish,Português:60|English:30|Spanish:10,100,Português:60|English:30|Spanish:10,100,Português:60|English:30|Spanish:10,100,20,6,PhD,10,10,10,9,10,10,6,12,6,11,IELTS,8,,,,,21,25,B2,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-09T14:46:49.840Z,VWWS5KR7,2026-08-09,2026-08-09,11:46:49,2026-08-09 11:46:49,,,,,,,,69ecccf8a60436da643205d7,69ecccf8a60436da643205d7,,,,
200,raw_position_sample,2,2,int,13,1,1,2,-1,999,728,113,954160.0999999996,69ecccf8a60436da643205d7,69ecccf8a60436da643205d7,intermediate,1,69ecccf8a60436da643205d7,69ecccf8a60436da643205d7,spotlight_PROLIFIC,,26,Brasil,Português,"English , Spanish",Spanish,Português:60|English:30|Spanish:10,100,Português:60|English:30|Spanish:10,100,Português:60|English:30|Spanish:10,100,20,6,PhD,10,10,10,9,10,10,6,12,6,11,IELTS,8,,,,,21,25,B2,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-09T14:46:49.840Z,VWWS5KR7,2026-08-09,2026-08-09,11:46:49,2026-08-09 11:46:49,,,,,,,,69ecccf8a60436da643205d7,69ecccf8a60436da643205d7,,,,
251,raw_position_sample,2,2,int,13,1,1,2,1, You’ve ,760,121,954210.9000000004,69ecccf8a60436da643205d7,69ecccf8a60436da643205d7,intermediate,1,69ecccf8a60436da643205d7,69ecccf8a60436da643205d7,spotlight_PROLIFIC,,26,Brasil,Português,"English , Spanish",Spanish,Português:60|English:30|Spanish:10,100,Português:60|English:30|Spanish:10,100,Português:60|English:30|Spanish:10,100,20,6,PhD,10,10,10,9,10,10,6,12,6,11,IELTS,8,,,,,21,25,B2,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,129.7569580078125,732.1181030273438,149.7569580078125,790.4687995910645,1,1,,,,,,,,,,,,2026-08-09T14:46:49.840Z,VWWS5KR7,2026-08-09,2026-08-09,11:46:49,2026-08-09 11:46:49,,,,,,,,69ecccf8a60436da643205d7,69ecccf8a60436da643205d7,,,,
300,raw_position_sample,2,2,int,13,1,1,2,1, You’ve ,770,123,954260,69ecccf8a60436da643205d7,69ecccf8a60436da643205d7,intermediate,1,69ecccf8a60436da643205d7,69ecccf8a60436da643205d7,spotlight_PROLIFIC,,26,Brasil,Português,"English , Spanish",Spanish,Português:60|English:30|Spanish:10,100,Português:60|English:30|Spanish:10,100,Português:60|English:30|Spanish:10,100,20,6,PhD,10,10,10,9,10,10,6,12,6,11,IELTS,8,,,,,21,25,B2,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,129.7569580078125,732.1181030273438,149.7569580078125,790.4687995910645,1,1,,,,,,,,,,,,2026-08-09T14:46:49.840Z,VWWS5KR7,2026-08-09,2026-08-09,11:46:49,2026-08-09 11:46:49,,,,,,,,69ecccf8a60436da643205d7,69ecccf8a60436da643205d7,,,,
350,raw_position_sample,2,2,int,13,1,1,2,1, You’ve ,772,125,954309.2999999998,69ecccf8a60436da643205d7,69ecccf8a60436da643205d7,intermediate,1,69ecccf8a60436da643205d7,69ecccf8a60436da643205d7,spotlight_PROLIFIC,,26,Brasil,Português,"English , Spanish",Spanish,Português:60|English:30|Spanish:10,100,Português:60|English:30|Spanish:10,100,Português:60|English:30|Spanish:10,100,20,6,PhD,10,10,10,9,10,10,6,12,6,11,IELTS,8,,,,,21,25,B2,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,129.7569580078125,732.1181030273438,149.7569580078125,790.4687995910645,1,1,,,,,,,,,,,,2026-08-09T14:46:49.840Z,VWWS5KR7,2026-08-09,2026-08-09,11:46:49,2026-08-09 11:46:49,,,,,,,,69ecccf8a60436da643205d7,69ecccf8a60436da643205d7,,,,
414,raw_position_sample,2,2,int,13,1,1,2,1, You’ve ,773,126,954373.2000000002,69ecccf8a60436da643205d7,69ecccf8a60436da643205d7,intermediate,1,69ecccf8a60436da643205d7,69ecccf8a60436da643205d7,spotlight_PROLIFIC,,26,Brasil,Português,"English , Spanish",Spanish,Português:60|English:30|Spanish:10,100,Português:60|English:30|Spanish:10,100,Português:60|English:30|Spanish:10,100,20,6,PhD,10,10,10,9,10,10,6,12,6,11,IELTS,8,,,,,21,25,B2,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,129.7569580078125,732.1181030273438,149.7569580078125,790.4687995910645,1,1,,,,,,,,,,,,2026-08-09T14:46:49.840Z,VWWS5KR7,2026-08-09,2026-08-09,11:46:49,2026-08-09 11:46:49,,,,,,,,69ecccf8a60436da643205d7,69ecccf8a60436da643205d7,,,,
452,raw_position_sample,2,2,int,13,1,1,2,1, You’ve ,773,131,954411.2999999998,69ecccf8a60436da643205d7,69ecccf8a60436da643205d7,intermediate,1,69ecccf8a60436da643205d7,69ecccf8a60436da643205d7,spotlight_PROLIFIC,,26,Brasil,Português,"English , Spanish",Spanish,Português:60|English:30|Spanish:10,100,Português:60|English:30|Spanish:10,100,Português:60|English:30|Spanish:10,100,20,6,PhD,10,10,10,9,10,10,6,12,6,11,IELTS,8,,,,,21,25,B2,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,129.7569580078125,732.1181030273438,149.7569580078125,790.4687995910645,1,1,,,,,,,,,,,,2026-08-09T14:46:49.840Z,VWWS5KR7,2026-08-09,2026-08-09,11:46:49,2026-08-09 11:46:49,,,,,,,,69ecccf8a60436da643205d7,69ecccf8a60436da643205d7,,,,
506,raw_position_sample,2,2,int,13,1,1,2,1, You’ve ,770,135,954465.9000000004,69ecccf8a60436da643205d7,69ecccf8a60436da643205d7,intermediate,1,69ecccf8a60436da643205d7,69ecccf8a60436da643205d7,spotlight_PROLIFIC,,26,Brasil,Português,"English , Spanish",Spanish,Português:60|English:30|Spanish:10,100,Português:60|English:30|Spanish:10,100,Português:60|English:30|Spanish:10,100,20,6,PhD,10,10,10,9,10,10,6,12,6,11,IELTS,8,,,,,21,25,B2,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,129.7569580078125,732.1181030273438,149.7569580078125,790.4687995910645,1,1,,,,,,,,,,,,2026-08-09T14:46:49.840Z,VWWS5KR7,2026-08-09,2026-08-09,11:46:49,2026-08-09 11:46:49,,,,,,,,69ecccf8a60436da643205d7,69ecccf8a60436da643205d7,,,,
