responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
67,raw_position_sample,2,3,adv,16,3,3,4,-1,999,392,115,2128438.799999997,6a0e84399af92a86bdf441bf,6a0e84399af92a86bdf441bf,advanced,3,6a0e84399af92a86bdf441bf,6a0e84399af92a86bdf441bf,spotlight_PROLIFIC,,23,Mexico,Spanish,"English, French",French,Spanish:60|English:30|French:10,100,Spanish:70|English:25|French:5,100,Spanish:60|English:35|French:5,100,19,18,Master's,10,10,10,5,8,7,9,17,15,18,TOEFL,73,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-23T00:00:20.062Z,UUSTAUKF,2026-09-22,2026-09-22,18:00:20,2026-09-22 18:00:20,,,,,,,,6a0e84399af92a86bdf441bf,6a0e84399af92a86bdf441bf,,,,
130,raw_position_sample,2,3,adv,16,3,3,4,-1,999,392,115,2128502,6a0e84399af92a86bdf441bf,6a0e84399af92a86bdf441bf,advanced,3,6a0e84399af92a86bdf441bf,6a0e84399af92a86bdf441bf,spotlight_PROLIFIC,,23,Mexico,Spanish,"English, French",French,Spanish:60|English:30|French:10,100,Spanish:70|English:25|French:5,100,Spanish:60|English:35|French:5,100,19,18,Master's,10,10,10,5,8,7,9,17,15,18,TOEFL,73,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-23T00:00:20.062Z,UUSTAUKF,2026-09-22,2026-09-22,18:00:20,2026-09-22 18:00:20,,,,,,,,6a0e84399af92a86bdf441bf,6a0e84399af92a86bdf441bf,,,,
168,raw_position_sample,2,3,adv,16,3,3,4,-1,999,392,115,2128539.299999997,6a0e84399af92a86bdf441bf,6a0e84399af92a86bdf441bf,advanced,3,6a0e84399af92a86bdf441bf,6a0e84399af92a86bdf441bf,spotlight_PROLIFIC,,23,Mexico,Spanish,"English, French",French,Spanish:60|English:30|French:10,100,Spanish:70|English:25|French:5,100,Spanish:60|English:35|French:5,100,19,18,Master's,10,10,10,5,8,7,9,17,15,18,TOEFL,73,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-23T00:00:20.062Z,UUSTAUKF,2026-09-22,2026-09-22,18:00:20,2026-09-22 18:00:20,,,,,,,,6a0e84399af92a86bdf441bf,6a0e84399af92a86bdf441bf,,,,
225,raw_position_sample,2,3,adv,16,3,3,4,-1,999,392,115,2128596.700000003,6a0e84399af92a86bdf441bf,6a0e84399af92a86bdf441bf,advanced,3,6a0e84399af92a86bdf441bf,6a0e84399af92a86bdf441bf,spotlight_PROLIFIC,,23,Mexico,Spanish,"English, French",French,Spanish:60|English:30|French:10,100,Spanish:70|English:25|French:5,100,Spanish:60|English:35|French:5,100,19,18,Master's,10,10,10,5,8,7,9,17,15,18,TOEFL,73,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-23T00:00:20.062Z,UUSTAUKF,2026-09-22,2026-09-22,18:00:20,2026-09-22 18:00:20,,,,,,,,6a0e84399af92a86bdf441bf,6a0e84399af92a86bdf441bf,,,,
273,raw_position_sample,2,3,adv,16,3,3,4,-1,999,392,115,2128644.799999997,6a0e84399af92a86bdf441bf,6a0e84399af92a86bdf441bf,advanced,3,6a0e84399af92a86bdf441bf,6a0e84399af92a86bdf441bf,spotlight_PROLIFIC,,23,Mexico,Spanish,"English, French",French,Spanish:60|English:30|French:10,100,Spanish:70|English:25|French:5,100,Spanish:60|English:35|French:5,100,19,18,Master's,10,10,10,5,8,7,9,17,15,18,TOEFL,73,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-23T00:00:20.062Z,UUSTAUKF,2026-09-22,2026-09-22,18:00:20,2026-09-22 18:00:20,,,,,,,,6a0e84399af92a86bdf441bf,6a0e84399af92a86bdf441bf,,,,
321,raw_position_sample,2,3,adv,16,3,3,4,-1,999,392,115,2128692.3999999985,6a0e84399af92a86bdf441bf,6a0e84399af92a86bdf441bf,advanced,3,6a0e84399af92a86bdf441bf,6a0e84399af92a86bdf441bf,spotlight_PROLIFIC,,23,Mexico,Spanish,"English, French",French,Spanish:60|English:30|French:10,100,Spanish:70|English:25|French:5,100,Spanish:60|English:35|French:5,100,19,18,Master's,10,10,10,5,8,7,9,17,15,18,TOEFL,73,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-23T00:00:20.062Z,UUSTAUKF,2026-09-22,2026-09-22,18:00:20,2026-09-22 18:00:20,,,,,,,,6a0e84399af92a86bdf441bf,6a0e84399af92a86bdf441bf,,,,
368,raw_position_sample,2,3,adv,16,3,3,4,-1,999,392,115,2128739.799999997,6a0e84399af92a86bdf441bf,6a0e84399af92a86bdf441bf,advanced,3,6a0e84399af92a86bdf441bf,6a0e84399af92a86bdf441bf,spotlight_PROLIFIC,,23,Mexico,Spanish,"English, French",French,Spanish:60|English:30|French:10,100,Spanish:70|English:25|French:5,100,Spanish:60|English:35|French:5,100,19,18,Master's,10,10,10,5,8,7,9,17,15,18,TOEFL,73,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-23T00:00:20.062Z,UUSTAUKF,2026-09-22,2026-09-22,18:00:20,2026-09-22 18:00:20,,,,,,,,6a0e84399af92a86bdf441bf,6a0e84399af92a86bdf441bf,,,,
432,raw_position_sample,2,3,adv,16,3,3,4,-1,999,392,115,2128803.299999997,6a0e84399af92a86bdf441bf,6a0e84399af92a86bdf441bf,advanced,3,6a0e84399af92a86bdf441bf,6a0e84399af92a86bdf441bf,spotlight_PROLIFIC,,23,Mexico,Spanish,"English, French",French,Spanish:60|English:30|French:10,100,Spanish:70|English:25|French:5,100,Spanish:60|English:35|French:5,100,19,18,Master's,10,10,10,5,8,7,9,17,15,18,TOEFL,73,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-23T00:00:20.062Z,UUSTAUKF,2026-09-22,2026-09-22,18:00:20,2026-09-22 18:00:20,,,,,,,,6a0e84399af92a86bdf441bf,6a0e84399af92a86bdf441bf,,,,
471,raw_position_sample,2,3,adv,16,3,3,4,-1,999,392,115,2128843,6a0e84399af92a86bdf441bf,6a0e84399af92a86bdf441bf,advanced,3,6a0e84399af92a86bdf441bf,6a0e84399af92a86bdf441bf,spotlight_PROLIFIC,,23,Mexico,Spanish,"English, French",French,Spanish:60|English:30|French:10,100,Spanish:70|English:25|French:5,100,Spanish:60|English:35|French:5,100,19,18,Master's,10,10,10,5,8,7,9,17,15,18,TOEFL,73,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-23T00:00:20.062Z,UUSTAUKF,2026-09-22,2026-09-22,18:00:20,2026-09-22 18:00:20,,,,,,,,6a0e84399af92a86bdf441bf,6a0e84399af92a86bdf441bf,,,,
519,raw_position_sample,2,3,adv,16,3,3,4,-1,999,400,118,2128891,6a0e84399af92a86bdf441bf,6a0e84399af92a86bdf441bf,advanced,3,6a0e84399af92a86bdf441bf,6a0e84399af92a86bdf441bf,spotlight_PROLIFIC,,23,Mexico,Spanish,"English, French",French,Spanish:60|English:30|French:10,100,Spanish:70|English:25|French:5,100,Spanish:60|English:35|French:5,100,19,18,Master's,10,10,10,5,8,7,9,17,15,18,TOEFL,73,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-23T00:00:20.062Z,UUSTAUKF,2026-09-22,2026-09-22,18:00:20,2026-09-22 18:00:20,,,,,,,,6a0e84399af92a86bdf441bf,6a0e84399af92a86bdf441bf,,,,
