responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
33,raw_position_sample,2,2,int,15,2,2,3,-1,999,745,124,1102907.700000763,697a660745ce3b271e1c9531,697a660745ce3b271e1c9531,intermediate,2,697a660745ce3b271e1c9531,697a660745ce3b271e1c9531,spotlight_PROLIFIC,,34,Mexico,Spanish,English,,Spanish:90|English:10,100,Spanish:70|English:30,100,Spanish:50|English:50,100,18,18,Master's,10,10,10,5,7,7,19,25,19,25,Duolingo,100,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T15:59:28.914Z,XFX3859T,2026-09-22,2026-09-22,09:59:28,2026-09-22 09:59:28,,,,,,,,697a660745ce3b271e1c9531,697a660745ce3b271e1c9531,,,,
83,raw_position_sample,2,2,int,15,2,2,3,-1,999,740,121,1102957.5,697a660745ce3b271e1c9531,697a660745ce3b271e1c9531,intermediate,2,697a660745ce3b271e1c9531,697a660745ce3b271e1c9531,spotlight_PROLIFIC,,34,Mexico,Spanish,English,,Spanish:90|English:10,100,Spanish:70|English:30,100,Spanish:50|English:50,100,18,18,Master's,10,10,10,5,7,7,19,25,19,25,Duolingo,100,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T15:59:28.914Z,XFX3859T,2026-09-22,2026-09-22,09:59:28,2026-09-22 09:59:28,,,,,,,,697a660745ce3b271e1c9531,697a660745ce3b271e1c9531,,,,
127,raw_position_sample,2,2,int,15,2,2,3,-1,999,736,119,1103001.4000005722,697a660745ce3b271e1c9531,697a660745ce3b271e1c9531,intermediate,2,697a660745ce3b271e1c9531,697a660745ce3b271e1c9531,spotlight_PROLIFIC,,34,Mexico,Spanish,English,,Spanish:90|English:10,100,Spanish:70|English:30,100,Spanish:50|English:50,100,18,18,Master's,10,10,10,5,7,7,19,25,19,25,Duolingo,100,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T15:59:28.914Z,XFX3859T,2026-09-22,2026-09-22,09:59:28,2026-09-22 09:59:28,,,,,,,,697a660745ce3b271e1c9531,697a660745ce3b271e1c9531,,,,
177,raw_position_sample,2,2,int,15,2,2,3,-1,999,735,114,1103052.200000763,697a660745ce3b271e1c9531,697a660745ce3b271e1c9531,intermediate,2,697a660745ce3b271e1c9531,697a660745ce3b271e1c9531,spotlight_PROLIFIC,,34,Mexico,Spanish,English,,Spanish:90|English:10,100,Spanish:70|English:30,100,Spanish:50|English:50,100,18,18,Master's,10,10,10,5,7,7,19,25,19,25,Duolingo,100,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T15:59:28.914Z,XFX3859T,2026-09-22,2026-09-22,09:59:28,2026-09-22 09:59:28,,,,,,,,697a660745ce3b271e1c9531,697a660745ce3b271e1c9531,,,,
231,raw_position_sample,2,2,int,15,2,2,3,-1,999,735,112,1103105.4000005722,697a660745ce3b271e1c9531,697a660745ce3b271e1c9531,intermediate,2,697a660745ce3b271e1c9531,697a660745ce3b271e1c9531,spotlight_PROLIFIC,,34,Mexico,Spanish,English,,Spanish:90|English:10,100,Spanish:70|English:30,100,Spanish:50|English:50,100,18,18,Master's,10,10,10,5,7,7,19,25,19,25,Duolingo,100,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T15:59:28.914Z,XFX3859T,2026-09-22,2026-09-22,09:59:28,2026-09-22 09:59:28,,,,,,,,697a660745ce3b271e1c9531,697a660745ce3b271e1c9531,,,,
283,raw_position_sample,2,2,int,15,2,2,3,-1,999,760,138,1103157.8000001907,697a660745ce3b271e1c9531,697a660745ce3b271e1c9531,intermediate,2,697a660745ce3b271e1c9531,697a660745ce3b271e1c9531,spotlight_PROLIFIC,,34,Mexico,Spanish,English,,Spanish:90|English:10,100,Spanish:70|English:30,100,Spanish:50|English:50,100,18,18,Master's,10,10,10,5,7,7,19,25,19,25,Duolingo,100,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T15:59:28.914Z,XFX3859T,2026-09-22,2026-09-22,09:59:28,2026-09-22 09:59:28,,,,,,,,697a660745ce3b271e1c9531,697a660745ce3b271e1c9531,,,,
332,raw_position_sample,2,2,int,15,2,2,3,-1,999,784,157,1103206.4000005722,697a660745ce3b271e1c9531,697a660745ce3b271e1c9531,intermediate,2,697a660745ce3b271e1c9531,697a660745ce3b271e1c9531,spotlight_PROLIFIC,,34,Mexico,Spanish,English,,Spanish:90|English:10,100,Spanish:70|English:30,100,Spanish:50|English:50,100,18,18,Master's,10,10,10,5,7,7,19,25,19,25,Duolingo,100,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T15:59:28.914Z,XFX3859T,2026-09-22,2026-09-22,09:59:28,2026-09-22 09:59:28,,,,,,,,697a660745ce3b271e1c9531,697a660745ce3b271e1c9531,,,,
377,raw_position_sample,2,2,int,15,2,2,3,-1,999,791,161,1103251.700000763,697a660745ce3b271e1c9531,697a660745ce3b271e1c9531,intermediate,2,697a660745ce3b271e1c9531,697a660745ce3b271e1c9531,spotlight_PROLIFIC,,34,Mexico,Spanish,English,,Spanish:90|English:10,100,Spanish:70|English:30,100,Spanish:50|English:50,100,18,18,Master's,10,10,10,5,7,7,19,25,19,25,Duolingo,100,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T15:59:28.914Z,XFX3859T,2026-09-22,2026-09-22,09:59:28,2026-09-22 09:59:28,,,,,,,,697a660745ce3b271e1c9531,697a660745ce3b271e1c9531,,,,
427,raw_position_sample,2,2,int,15,2,2,3,-1,999,797,154,1103302.1000003815,697a660745ce3b271e1c9531,697a660745ce3b271e1c9531,intermediate,2,697a660745ce3b271e1c9531,697a660745ce3b271e1c9531,spotlight_PROLIFIC,,34,Mexico,Spanish,English,,Spanish:90|English:10,100,Spanish:70|English:30,100,Spanish:50|English:50,100,18,18,Master's,10,10,10,5,7,7,19,25,19,25,Duolingo,100,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T15:59:28.914Z,XFX3859T,2026-09-22,2026-09-22,09:59:28,2026-09-22 09:59:28,,,,,,,,697a660745ce3b271e1c9531,697a660745ce3b271e1c9531,,,,
483,raw_position_sample,2,2,int,15,2,2,3,1, Autism ,813,136,1103358.3000001907,697a660745ce3b271e1c9531,697a660745ce3b271e1c9531,intermediate,2,697a660745ce3b271e1c9531,697a660745ce3b271e1c9531,spotlight_PROLIFIC,,34,Mexico,Spanish,English,,Spanish:90|English:10,100,Spanish:70|English:30,100,Spanish:50|English:50,100,18,18,Master's,10,10,10,5,7,7,19,25,19,25,Duolingo,100,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,134.17498779296875,811.5186767578125,154.57498741149902,871.5374221801758,1,1,,,,,,,,,,,,2026-09-22T15:59:28.914Z,XFX3859T,2026-09-22,2026-09-22,09:59:28,2026-09-22 09:59:28,,,,,,,,697a660745ce3b271e1c9531,697a660745ce3b271e1c9531,,,,
