participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
KY7PXSK8,69123b3d59a724db57ce3a37,2,int,4,3,8,9,1, SOHAY ,1252,630,143,0,650,0.9559550561797753,0.67421875,113.03125,616.9051339285714,153.03125,683.953125,1,1,It can be hard for them to assimilate to the school environment,1,1,44152,630,143,1252,687,142,1551,57.01,,,2026-07-06,2026-07-06,2026-07-06T20:53:00.739Z,17:53:00,2026-07-06 17:53:00,,,,,,,spotlight-prolific
KY7PXSK8,69123b3d59a724db57ce3a37,2,int,4,3,8,9,2, also ,1551,687,142,0,300.1000000089407,0.9771268057784912,0.77421875,113.03125,683.953125,153.03125,722.890625,1,2,It can be hard for them to assimilate to the school environment,1,2,44152,687,142,1551,762,135,2101,75.33,,,2026-07-06,2026-07-06,2026-07-06T20:53:00.739Z,17:53:00,2026-07-06 17:53:00,,,,,,,spotlight-prolific
KY7PXSK8,69123b3d59a724db57ce3a37,2,int,4,3,8,9,4, sessions ,2101,762,135,0,400,0.9156899033518404,0.37421875,113.03125,757.421875,153.03125,833.40625,1,4,It can be hard for them to assimilate to the school environment,1,4,44152,762,135,2101,866,131,2769,104.08,,,2026-07-06,2026-07-06,2026-07-06T20:53:00.739Z,17:53:00,2026-07-06 17:53:00,,,,,,,spotlight-prolific
KY7PXSK8,69123b3d59a724db57ce3a37,2,int,4,3,8,9,6, parents ,2769,866,131,0,617.4000000059605,0.9576290286229434,0.47421875,113.03125,862.609375,153.03125,931.9375,1,6,It can be hard for them to assimilate to the school environment,1,6,44152,866,131,2769,972,132,3470,106.00,,,2026-07-06,2026-07-06,2026-07-06T20:53:00.739Z,17:53:00,2026-07-06 17:53:00,,,,,,,spotlight-prolific
KY7PXSK8,69123b3d59a724db57ce3a37,2,int,4,3,8,9,8, employers ,3470,972,132,0,549.8999999910593,0.9654999162619327,0.52421875,113.03125,968.921875,153.03125,1062.21875,1,8,It can be hard for them to assimilate to the school environment,1,8,44152,972,132,3470,1086,134,3720,114.02,,,2026-07-06,2026-07-06,2026-07-06T20:53:00.739Z,17:53:00,2026-07-06 17:53:00,,,,,,,spotlight-prolific
KY7PXSK8,69123b3d59a724db57ce3a37,2,int,4,3,8,9,10, discourage ,3720,1086,134,0,200.1000000089407,0.9655886570017524,0.39921875,113.03125,1084.296875,153.03125,1182.375,1,10,It can be hard for them to assimilate to the school environment,1,10,44152,1086,134,3720,617,171,5419,470.46,,,2026-07-06,2026-07-06,2026-07-06T20:53:00.739Z,17:53:00,2026-07-06 17:53:00,,,,,,,spotlight-prolific
KY7PXSK8,69123b3d59a724db57ce3a37,2,int,4,3,8,9,13, and ,5419,617,171,1,400.20000000298023,0.8948388660043615,0.59921875,153.03125,616.9051339285714,193.03125,658.359375,2,1,It can be hard for them to assimilate to the school environment,1,13,44152,617,171,5419,659,178,5785,42.58,,,2026-07-06,2026-07-06,2026-07-06T20:53:00.739Z,17:53:00,2026-07-06 17:53:00,,,,,,,spotlight-prolific
KY7PXSK8,69123b3d59a724db57ce3a37,2,int,4,3,8,9,14, offers ,5785,659,178,0,366.29999999701977,0.990193250648976,0.72421875,153.03125,658.359375,193.03125,712.53125,2,2,It can be hard for them to assimilate to the school environment,1,14,44152,659,178,5785,714,182,6068,55.15,,,2026-07-06,2026-07-06,2026-07-06T20:53:00.739Z,17:53:00,2026-07-06 17:53:00,,,,,,,spotlight-prolific
KY7PXSK8,69123b3d59a724db57ce3a37,2,int,4,3,8,9,15, skills ,6068,714,182,0,283.30000001192093,0.9560137457044674,0.77421875,153.03125,712.53125,193.03125,758,2,3,It can be hard for them to assimilate to the school environment,1,15,44152,714,182,6068,761,184,6485,47.04,,,2026-07-06,2026-07-06,2026-07-06T20:53:00.739Z,17:53:00,2026-07-06 17:53:00,,,,,,,spotlight-prolific
KY7PXSK8,69123b3d59a724db57ce3a37,2,int,4,3,8,9,16, training ,6485,761,184,0,416.69999998807907,0.9440774988991634,0.69921875,153.03125,758,193.03125,828.96875,2,4,It can be hard for them to assimilate to the school environment,1,16,44152,761,184,6485,857,181,6935,96.05,,,2026-07-06,2026-07-06,2026-07-06T20:53:00.739Z,17:53:00,2026-07-06 17:53:00,,,,,,,spotlight-prolific
KY7PXSK8,69123b3d59a724db57ce3a37,2,int,4,3,8,9,18, increase ,6935,857,181,0,383.5,0.9835827098919369,0.74921875,153.03125,851.046875,193.03125,926.234375,2,6,It can be hard for them to assimilate to the school environment,1,18,44152,857,181,6935,928,183,7269,71.03,,,2026-07-06,2026-07-06,2026-07-06T20:53:00.739Z,17:53:00,2026-07-06 17:53:00,,,,,,,spotlight-prolific
KY7PXSK8,69123b3d59a724db57ce3a37,2,int,4,3,8,9,19, family ,7269,928,183,0,333.3999999910593,0.973070516379789,0.74921875,153.03125,926.234375,193.03125,982.515625,2,7,It can be hard for them to assimilate to the school environment,1,19,44152,928,183,7269,985,183,7718,57.00,,,2026-07-06,2026-07-06,2026-07-06T20:53:00.739Z,17:53:00,2026-07-06 17:53:00,,,,,,,spotlight-prolific
KY7PXSK8,69123b3d59a724db57ce3a37,2,int,4,3,8,9,20, income. ,7718,985,183,0,449.90000000596046,0.9956474428726877,0.74921875,153.03125,982.515625,193.03125,1054.3125,2,8,It can be hard for them to assimilate to the school environment,1,20,44152,985,183,7718,1056,183,8170,71.00,,,2026-07-06,2026-07-06,2026-07-06T20:53:00.739Z,17:53:00,2026-07-06 17:53:00,,,,,,,spotlight-prolific
KY7PXSK8,69123b3d59a724db57ce3a37,2,int,4,3,8,9,21, “Getting ,8170,1056,183,0,450.90000000596046,0.9118080404125447,0.69921875,153.03125,1054.3125,193.03125,1128.546875,2,9,It can be hard for them to assimilate to the school environment,1,21,44152,1056,183,8170,1129,181,8485,73.03,,,2026-07-06,2026-07-06,2026-07-06T20:53:00.739Z,17:53:00,2026-07-06 17:53:00,,,,,,,spotlight-prolific
KY7PXSK8,69123b3d59a724db57ce3a37,2,int,4,3,8,9,22, working ,8485,1129,181,0,315.69999998807907,0.6174909785608151,0.64921875,153.03125,1128.546875,193.03125,1202.15625,2,10,It can be hard for them to assimilate to the school environment,1,22,44152,1129,181,8485,660,217,9534,470.38,,,2026-07-06,2026-07-06,2026-07-06T20:53:00.739Z,17:53:00,2026-07-06 17:53:00,,,,,,,spotlight-prolific
KY7PXSK8,69123b3d59a724db57ce3a37,2,int,4,3,8,9,25, formal ,9534,660,217,1,465.1000000089407,1,0.59921875,193.03125,659.21875,233.03125,720,3,2,It can be hard for them to assimilate to the school environment,1,25,44152,660,217,9534,721,217,10135,61.00,,,2026-07-06,2026-07-06,2026-07-06T20:53:00.739Z,17:53:00,2026-07-06 17:53:00,,,,,,,spotlight-prolific
KY7PXSK8,69123b3d59a724db57ce3a37,2,int,4,3,8,9,26, education ,10135,721,217,0,601.3999999910593,0.9783869267264101,0.67421875,193.03125,720,233.03125,808.921875,3,3,It can be hard for them to assimilate to the school environment,1,26,44152,721,217,10135,827,220,10485,106.04,,,2026-07-06,2026-07-06,2026-07-06T20:53:00.739Z,17:53:00,2026-07-06 17:53:00,,,,,,,spotlight-prolific
KY7PXSK8,69123b3d59a724db57ce3a37,2,int,4,3,8,9,28, really ,10485,827,220,0,217,0.7948003714020427,0.72421875,193.03125,826.875,233.03125,877.359375,3,5,It can be hard for them to assimilate to the school environment,1,28,44152,827,220,10485,878,222,10652,51.04,,,2026-07-06,2026-07-06,2026-07-06T20:53:00.739Z,17:53:00,2026-07-06 17:53:00,,,,,,,spotlight-prolific
KY7PXSK8,69123b3d59a724db57ce3a37,2,int,4,3,8,9,29, very ,10652,878,222,0,166.79999999701977,0.9272517321016166,0.72421875,193.03125,877.359375,233.03125,917.953125,3,6,It can be hard for them to assimilate to the school environment,1,29,44152,878,222,10652,921,223,10919,43.01,,,2026-07-06,2026-07-06,2026-07-06T20:53:00.739Z,17:53:00,2026-07-06 17:53:00,,,,,,,spotlight-prolific
KY7PXSK8,69123b3d59a724db57ce3a37,2,int,4,3,8,9,30," difficult,” ",10919,921,223,0,266.70000000298023,0.929945054945055,0.74921875,193.03125,917.953125,233.03125,997.578125,3,7,It can be hard for them to assimilate to the school environment,1,30,44152,921,223,10919,998,223,11135,77.00,,,2026-07-06,2026-07-06,2026-07-06T20:53:00.739Z,17:53:00,2026-07-06 17:53:00,,,,,,,spotlight-prolific
KY7PXSK8,69123b3d59a724db57ce3a37,2,int,4,3,8,9,31, says ,11135,998,223,0,216.5,0.981039059537353,0.74921875,193.03125,997.578125,233.03125,1038.78125,3,8,It can be hard for them to assimilate to the school environment,1,31,44152,998,223,11135,1039,223,11419,41.00,,,2026-07-06,2026-07-06,2026-07-06T20:53:00.739Z,17:53:00,2026-07-06 17:53:00,,,,,,,spotlight-prolific
KY7PXSK8,69123b3d59a724db57ce3a37,2,int,4,3,8,9,32, SOHAY’s ,11419,1039,223,0,283.29999999701977,0.0029635901778154107,0.74921875,193.03125,1038.78125,233.03125,1112.59375,3,9,It can be hard for them to assimilate to the school environment,1,32,44152,1039,223,11419,1037,223,11719,2.00,,,2026-07-06,2026-07-06,2026-07-06T20:53:00.739Z,17:53:00,2026-07-06 17:53:00,,,,,,,spotlight-prolific
