responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
1015,raw_position_sample,2,3,adv,8,4,4,5,-1,999,242,77,1696194,691312a8c02f477cee74390b,691312a8c02f477cee74390b,advanced,4,691312a8c02f477cee74390b,691312a8c02f477cee74390b,spotlight_PROLIFIC,,39,Brazil,Portuguese,"English, Espanish",Espanish,Portuguese:50|English:40|Espanish:10,100,Portuguese:30|English:60|Espanish:10,100,Portuguese:20|English:60|Espanish:20,100,17,4,Bachelor's,10,10,10,7,9,9,12,26,12,26,Online Test,8,,,,,19,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T10:36:19.218Z,TTYGBHL8,2026-08-16,2026-08-16,07:36:19,2026-08-16 07:36:19,,,,,,,,691312a8c02f477cee74390b,691312a8c02f477cee74390b,,,,
1064,raw_position_sample,2,3,adv,8,4,4,5,-1,999,244,80,1696243,691312a8c02f477cee74390b,691312a8c02f477cee74390b,advanced,4,691312a8c02f477cee74390b,691312a8c02f477cee74390b,spotlight_PROLIFIC,,39,Brazil,Portuguese,"English, Espanish",Espanish,Portuguese:50|English:40|Espanish:10,100,Portuguese:30|English:60|Espanish:10,100,Portuguese:20|English:60|Espanish:20,100,17,4,Bachelor's,10,10,10,7,9,9,12,26,12,26,Online Test,8,,,,,19,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T10:36:19.218Z,TTYGBHL8,2026-08-16,2026-08-16,07:36:19,2026-08-16 07:36:19,,,,,,,,691312a8c02f477cee74390b,691312a8c02f477cee74390b,,,,
1108,raw_position_sample,2,3,adv,8,4,4,5,-1,999,255,91,1696287,691312a8c02f477cee74390b,691312a8c02f477cee74390b,advanced,4,691312a8c02f477cee74390b,691312a8c02f477cee74390b,spotlight_PROLIFIC,,39,Brazil,Portuguese,"English, Espanish",Espanish,Portuguese:50|English:40|Espanish:10,100,Portuguese:30|English:60|Espanish:10,100,Portuguese:20|English:60|Espanish:20,100,17,4,Bachelor's,10,10,10,7,9,9,12,26,12,26,Online Test,8,,,,,19,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T10:36:19.218Z,TTYGBHL8,2026-08-16,2026-08-16,07:36:19,2026-08-16 07:36:19,,,,,,,,691312a8c02f477cee74390b,691312a8c02f477cee74390b,,,,
1165,raw_position_sample,2,3,adv,8,4,4,5,-1,999,261,97,1696344,691312a8c02f477cee74390b,691312a8c02f477cee74390b,advanced,4,691312a8c02f477cee74390b,691312a8c02f477cee74390b,spotlight_PROLIFIC,,39,Brazil,Portuguese,"English, Espanish",Espanish,Portuguese:50|English:40|Espanish:10,100,Portuguese:30|English:60|Espanish:10,100,Portuguese:20|English:60|Espanish:20,100,17,4,Bachelor's,10,10,10,7,9,9,12,26,12,26,Online Test,8,,,,,19,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T10:36:19.218Z,TTYGBHL8,2026-08-16,2026-08-16,07:36:19,2026-08-16 07:36:19,,,,,,,,691312a8c02f477cee74390b,691312a8c02f477cee74390b,,,,
1212,raw_position_sample,2,3,adv,8,4,4,5,-1,999,276,114,1696391,691312a8c02f477cee74390b,691312a8c02f477cee74390b,advanced,4,691312a8c02f477cee74390b,691312a8c02f477cee74390b,spotlight_PROLIFIC,,39,Brazil,Portuguese,"English, Espanish",Espanish,Portuguese:50|English:40|Espanish:10,100,Portuguese:30|English:60|Espanish:10,100,Portuguese:20|English:60|Espanish:20,100,17,4,Bachelor's,10,10,10,7,9,9,12,26,12,26,Online Test,8,,,,,19,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T10:36:19.218Z,TTYGBHL8,2026-08-16,2026-08-16,07:36:19,2026-08-16 07:36:19,,,,,,,,691312a8c02f477cee74390b,691312a8c02f477cee74390b,,,,
1260,raw_position_sample,2,3,adv,8,4,4,5,-1,999,286,119,1696439,691312a8c02f477cee74390b,691312a8c02f477cee74390b,advanced,4,691312a8c02f477cee74390b,691312a8c02f477cee74390b,spotlight_PROLIFIC,,39,Brazil,Portuguese,"English, Espanish",Espanish,Portuguese:50|English:40|Espanish:10,100,Portuguese:30|English:60|Espanish:10,100,Portuguese:20|English:60|Espanish:20,100,17,4,Bachelor's,10,10,10,7,9,9,12,26,12,26,Online Test,8,,,,,19,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T10:36:19.218Z,TTYGBHL8,2026-08-16,2026-08-16,07:36:19,2026-08-16 07:36:19,,,,,,,,691312a8c02f477cee74390b,691312a8c02f477cee74390b,,,,
1307,raw_position_sample,2,3,adv,8,4,4,5,-1,999,286,119,1696486,691312a8c02f477cee74390b,691312a8c02f477cee74390b,advanced,4,691312a8c02f477cee74390b,691312a8c02f477cee74390b,spotlight_PROLIFIC,,39,Brazil,Portuguese,"English, Espanish",Espanish,Portuguese:50|English:40|Espanish:10,100,Portuguese:30|English:60|Espanish:10,100,Portuguese:20|English:60|Espanish:20,100,17,4,Bachelor's,10,10,10,7,9,9,12,26,12,26,Online Test,8,,,,,19,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T10:36:19.218Z,TTYGBHL8,2026-08-16,2026-08-16,07:36:19,2026-08-16 07:36:19,,,,,,,,691312a8c02f477cee74390b,691312a8c02f477cee74390b,,,,
1359,raw_position_sample,2,3,adv,8,4,4,5,-1,999,286,119,1696538,691312a8c02f477cee74390b,691312a8c02f477cee74390b,advanced,4,691312a8c02f477cee74390b,691312a8c02f477cee74390b,spotlight_PROLIFIC,,39,Brazil,Portuguese,"English, Espanish",Espanish,Portuguese:50|English:40|Espanish:10,100,Portuguese:30|English:60|Espanish:10,100,Portuguese:20|English:60|Espanish:20,100,17,4,Bachelor's,10,10,10,7,9,9,12,26,12,26,Online Test,8,,,,,19,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T10:36:19.218Z,TTYGBHL8,2026-08-16,2026-08-16,07:36:19,2026-08-16 07:36:19,,,,,,,,691312a8c02f477cee74390b,691312a8c02f477cee74390b,,,,
1419,raw_position_sample,2,3,adv,8,4,4,5,-1,999,286,119,1696598,691312a8c02f477cee74390b,691312a8c02f477cee74390b,advanced,4,691312a8c02f477cee74390b,691312a8c02f477cee74390b,spotlight_PROLIFIC,,39,Brazil,Portuguese,"English, Espanish",Espanish,Portuguese:50|English:40|Espanish:10,100,Portuguese:30|English:60|Espanish:10,100,Portuguese:20|English:60|Espanish:20,100,17,4,Bachelor's,10,10,10,7,9,9,12,26,12,26,Online Test,8,,,,,19,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T10:36:19.218Z,TTYGBHL8,2026-08-16,2026-08-16,07:36:19,2026-08-16 07:36:19,,,,,,,,691312a8c02f477cee74390b,691312a8c02f477cee74390b,,,,
1461,raw_position_sample,2,3,adv,8,4,4,5,-1,999,286,119,1696640,691312a8c02f477cee74390b,691312a8c02f477cee74390b,advanced,4,691312a8c02f477cee74390b,691312a8c02f477cee74390b,spotlight_PROLIFIC,,39,Brazil,Portuguese,"English, Espanish",Espanish,Portuguese:50|English:40|Espanish:10,100,Portuguese:30|English:60|Espanish:10,100,Portuguese:20|English:60|Espanish:20,100,17,4,Bachelor's,10,10,10,7,9,9,12,26,12,26,Online Test,8,,,,,19,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T10:36:19.218Z,TTYGBHL8,2026-08-16,2026-08-16,07:36:19,2026-08-16 07:36:19,,,,,,,,691312a8c02f477cee74390b,691312a8c02f477cee74390b,,,,
