responseTime,ProlificId,ProlificID,SubjectId,SubjectID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,onestop_block_level,onestop_paragraph_index,device,hand,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
3681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,3,adv,10,5,5,6,11, asteroid ,1187,147,,116.71875,1184.234375,156.71875,1253.28125,1,11,hover,270,270,0.9959266802443992,0.68203125,88,,,advanced,5,,,,,,2026-07-14T19:01:17.404Z,,2026-07-14,2026-07-14,13:01:17,2026-07-14 13:01:17,2026-07-14T19:19:38.777Z,1101373,,,,,,2026-07-14,13:19:38,2026-07-14 13:19:38,1101373
3711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,3,adv,10,5,5,6,12, 2012 ,1274,144,438361.19999980927,126.71875,1253.28125,146.71875,1298.328125,1,12,,,,,,,,,advanced,5,,,,,,2026-07-14T19:01:17.404Z,,2026-07-14,2026-07-14,13:01:17,2026-07-14 13:01:17,2026-07-14T19:19:38.777Z,1101373,,,,,,2026-07-14,13:19:38,2026-07-14 13:19:38,1101373
3761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,3,adv,10,5,5,6,12, 2012 ,1282,143,438410.39999985695,126.71875,1253.28125,146.71875,1298.328125,1,12,,,,,,,,,advanced,5,,,,,,2026-07-14T19:01:17.404Z,,2026-07-14,2026-07-14,13:01:17,2026-07-14 13:01:17,2026-07-14T19:19:38.777Z,1101373,,,,,,2026-07-14,13:19:38,2026-07-14 13:19:38,1101373
3824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,3,adv,10,5,5,6,12, 2012 ,1284,143,438474.2999999523,126.71875,1253.28125,146.71875,1298.328125,1,12,,,,,,,,,advanced,5,,,,,,2026-07-14T19:01:17.404Z,,2026-07-14,2026-07-14,13:01:17,2026-07-14 13:01:17,2026-07-14T19:19:38.777Z,1101373,,,,,,2026-07-14,13:19:38,2026-07-14 13:19:38,1101373
3870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,3,adv,10,5,5,6,12, 2012 ,1284,143,438520.2999999523,126.71875,1253.28125,146.71875,1298.328125,1,12,,,,,,,,,advanced,5,,,,,,2026-07-14T19:01:17.404Z,,2026-07-14,2026-07-14,13:01:17,2026-07-14 13:01:17,2026-07-14T19:19:38.777Z,1101373,,,,,,2026-07-14,13:19:38,2026-07-14 13:19:38,1101373
3917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,3,adv,10,5,5,6,12, 2012 ,1284,143,438566.69999980927,126.71875,1253.28125,146.71875,1298.328125,1,12,,,,,,,,,advanced,5,,,,,,2026-07-14T19:01:17.404Z,,2026-07-14,2026-07-14,13:01:17,2026-07-14 13:01:17,2026-07-14T19:19:38.777Z,1101373,,,,,,2026-07-14,13:19:38,2026-07-14 13:19:38,1101373
3962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,3,adv,10,5,5,6,12, 2012 ,1284,143,438612,126.71875,1253.28125,146.71875,1298.328125,1,12,,,,,,,,,advanced,5,,,,,,2026-07-14T19:01:17.404Z,,2026-07-14,2026-07-14,13:01:17,2026-07-14 13:01:17,2026-07-14T19:19:38.777Z,1101373,,,,,,2026-07-14,13:19:38,2026-07-14 13:19:38,1101373
4024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,3,adv,10,5,5,6,12, 2012 ,1284,143,438674.39999985695,126.71875,1253.28125,146.71875,1298.328125,1,12,,,,,,,,,advanced,5,,,,,,2026-07-14T19:01:17.404Z,,2026-07-14,2026-07-14,13:01:17,2026-07-14 13:01:17,2026-07-14T19:19:38.777Z,1101373,,,,,,2026-07-14,13:19:38,2026-07-14 13:19:38,1101373
4071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,3,adv,10,5,5,6,12, 2012 ,1284,143,438720.7999999523,126.71875,1253.28125,146.71875,1298.328125,1,12,,,,,,,,,advanced,5,,,,,,2026-07-14T19:01:17.404Z,,2026-07-14,2026-07-14,13:01:17,2026-07-14 13:01:17,2026-07-14T19:19:38.777Z,1101373,,,,,,2026-07-14,13:19:38,2026-07-14 13:19:38,1101373
4111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,3,adv,10,5,5,6,12, 2012 ,1284,143,438760.39999985695,126.71875,1253.28125,146.71875,1298.328125,1,12,,,,,,,,,advanced,5,,,,,,2026-07-14T19:01:17.404Z,,2026-07-14,2026-07-14,13:01:17,2026-07-14 13:01:17,2026-07-14T19:19:38.777Z,1101373,,,,,,2026-07-14,13:19:38,2026-07-14 13:19:38,1101373
