responseTime,ProlificId,ProlificID,SubjectId,SubjectID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,onestop_block_level,onestop_paragraph_index,device,hand,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
8888,60d9094b3f69a8840687f687,60d9094b3f69a8840687f687,60d9094b3f69a8840687f687,60d9094b3f69a8840687f687,spotlight_PROLIFIC,welcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T19:00:56.360Z,U6WHGYMY,2026-07-02,2026-07-02,13:00:56,2026-07-02 13:00:56,1783021395969,NaN,60d9094b3f69a8840687f687,60d9094b3f69a8840687f687,60d9094b3f69a8840687f687,60d9094b3f69a8840687f687,spotlight_PROLIFIC,2026-07-02,13:43:16,2026-07-02 13:43:16,2540040
266874,,,,,,demographics_onestop,25,México,Spanish,English,,Spanish:80|English:20,100,Spanish:70|English:30,100,Spanish:75|English:25,100,12,0,High school,10,10,10,5,7,9,12,15,17,18,TOEFL,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T19:00:56.360Z,,2026-07-02,2026-07-02,13:00:56,2026-07-02 13:00:56,2026-07-02T19:43:16.400Z,2540040,,,,,,2026-07-02,13:43:16,2026-07-02 13:43:16,2540040
266874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T19:00:56.360Z,,2026-07-02,2026-07-02,13:00:56,2026-07-02 13:00:56,2026-07-02T19:43:16.400Z,2540040,,,,,,2026-07-02,13:43:16,2026-07-02 13:43:16,2540040
9734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T19:00:56.360Z,,2026-07-02,2026-07-02,13:00:56,2026-07-02 13:00:56,2026-07-02T19:43:16.400Z,2540040,,,,,,2026-07-02,13:43:16,2026-07-02 13:43:16,2540040
93043,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Only for half an hour.,Only for half an hour.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T19:00:56.360Z,,2026-07-02,2026-07-02,13:00:56,2026-07-02 13:00:56,2026-07-02T19:43:16.400Z,2540040,,,,,,2026-07-02,13:43:16,2026-07-02 13:43:16,2540040
93043,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,2,We can't decide.,We can't decide.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T19:00:56.360Z,,2026-07-02,2026-07-02,13:00:56,2026-07-02 13:00:56,2026-07-02T19:43:16.400Z,2540040,,,,,,2026-07-02,13:43:16,2026-07-02 13:43:16,2540040
93043,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Would you like some help?,Would you like some help?,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T19:00:56.360Z,,2026-07-02,2026-07-02,13:00:56,2026-07-02 13:00:56,2026-07-02T19:43:16.400Z,2540040,,,,,,2026-07-02,13:43:16,2026-07-02 13:43:16,2540040
93043,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,4,I'll just check for you.,I'll just check for you.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T19:00:56.360Z,,2026-07-02,2026-07-02,13:00:56,2026-07-02 13:00:56,2026-07-02T19:43:16.400Z,2540040,,,,,,2026-07-02,13:43:16,2026-07-02 13:43:16,2540040
93043,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,5,I'm too tired.,I'm too tired.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T19:00:56.360Z,,2026-07-02,2026-07-02,13:00:56,2026-07-02 13:00:56,2026-07-02T19:43:16.400Z,2540040,,,,,,2026-07-02,13:43:16,2026-07-02 13:43:16,2540040
93043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T19:00:56.360Z,,2026-07-02,2026-07-02,13:00:56,2026-07-02 13:00:56,2026-07-02T19:43:16.400Z,2540040,,,,,,2026-07-02,13:43:16,2026-07-02 13:43:16,2540040
