responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
27,raw_position_sample,2,2,int,8,1,6,7,-1,999,343,117,1281601.5,69827aca36b5061e15b8f564,69827aca36b5061e15b8f564,intermediate,1,69827aca36b5061e15b8f564,69827aca36b5061e15b8f564,spotlight_PROLIFIC,,22,Brazil,Portuguese,English,,Portuguese:75|English:25,100,Portuguese:70|English:30,100,Portuguese:95|English:5,100,16,4,Bachelor's,10,10,10,7,9,9,6,18,12,16,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-09T14:46:22.918Z,QNTFCCHN,2026-08-09,2026-08-09,11:46:22,2026-08-09 11:46:22,,,,,,,,69827aca36b5061e15b8f564,69827aca36b5061e15b8f564,,,,
70,raw_position_sample,2,2,int,8,1,6,7,-1,999,345,114,1281645.4000000954,69827aca36b5061e15b8f564,69827aca36b5061e15b8f564,intermediate,1,69827aca36b5061e15b8f564,69827aca36b5061e15b8f564,spotlight_PROLIFIC,,22,Brazil,Portuguese,English,,Portuguese:75|English:25,100,Portuguese:70|English:30,100,Portuguese:95|English:5,100,16,4,Bachelor's,10,10,10,7,9,9,6,18,12,16,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-09T14:46:22.918Z,QNTFCCHN,2026-08-09,2026-08-09,11:46:22,2026-08-09 11:46:22,,,,,,,,69827aca36b5061e15b8f564,69827aca36b5061e15b8f564,,,,
132,raw_position_sample,2,2,int,8,1,6,7,-1,999,345,113,1281707.7000000477,69827aca36b5061e15b8f564,69827aca36b5061e15b8f564,intermediate,1,69827aca36b5061e15b8f564,69827aca36b5061e15b8f564,spotlight_PROLIFIC,,22,Brazil,Portuguese,English,,Portuguese:75|English:25,100,Portuguese:70|English:30,100,Portuguese:95|English:5,100,16,4,Bachelor's,10,10,10,7,9,9,6,18,12,16,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-09T14:46:22.918Z,QNTFCCHN,2026-08-09,2026-08-09,11:46:22,2026-08-09 11:46:22,,,,,,,,69827aca36b5061e15b8f564,69827aca36b5061e15b8f564,,,,
171,raw_position_sample,2,2,int,8,1,6,7,-1,999,345,112,1281746.100000143,69827aca36b5061e15b8f564,69827aca36b5061e15b8f564,intermediate,1,69827aca36b5061e15b8f564,69827aca36b5061e15b8f564,spotlight_PROLIFIC,,22,Brazil,Portuguese,English,,Portuguese:75|English:25,100,Portuguese:70|English:30,100,Portuguese:95|English:5,100,16,4,Bachelor's,10,10,10,7,9,9,6,18,12,16,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-09T14:46:22.918Z,QNTFCCHN,2026-08-09,2026-08-09,11:46:22,2026-08-09 11:46:22,,,,,,,,69827aca36b5061e15b8f564,69827aca36b5061e15b8f564,,,,
230,raw_position_sample,2,2,int,8,1,6,7,-1,999,345,112,1281805.5,69827aca36b5061e15b8f564,69827aca36b5061e15b8f564,intermediate,1,69827aca36b5061e15b8f564,69827aca36b5061e15b8f564,spotlight_PROLIFIC,,22,Brazil,Portuguese,English,,Portuguese:75|English:25,100,Portuguese:70|English:30,100,Portuguese:95|English:5,100,16,4,Bachelor's,10,10,10,7,9,9,6,18,12,16,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-09T14:46:22.918Z,QNTFCCHN,2026-08-09,2026-08-09,11:46:22,2026-08-09 11:46:22,,,,,,,,69827aca36b5061e15b8f564,69827aca36b5061e15b8f564,,,,
278,raw_position_sample,2,2,int,8,1,6,7,-1,999,345,112,1281853.100000143,69827aca36b5061e15b8f564,69827aca36b5061e15b8f564,intermediate,1,69827aca36b5061e15b8f564,69827aca36b5061e15b8f564,spotlight_PROLIFIC,,22,Brazil,Portuguese,English,,Portuguese:75|English:25,100,Portuguese:70|English:30,100,Portuguese:95|English:5,100,16,4,Bachelor's,10,10,10,7,9,9,6,18,12,16,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-09T14:46:22.918Z,QNTFCCHN,2026-08-09,2026-08-09,11:46:22,2026-08-09 11:46:22,,,,,,,,69827aca36b5061e15b8f564,69827aca36b5061e15b8f564,,,,
325,raw_position_sample,2,2,int,8,1,6,7,-1,999,345,112,1281900.5,69827aca36b5061e15b8f564,69827aca36b5061e15b8f564,intermediate,1,69827aca36b5061e15b8f564,69827aca36b5061e15b8f564,spotlight_PROLIFIC,,22,Brazil,Portuguese,English,,Portuguese:75|English:25,100,Portuguese:70|English:30,100,Portuguese:95|English:5,100,16,4,Bachelor's,10,10,10,7,9,9,6,18,12,16,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-09T14:46:22.918Z,QNTFCCHN,2026-08-09,2026-08-09,11:46:22,2026-08-09 11:46:22,,,,,,,,69827aca36b5061e15b8f564,69827aca36b5061e15b8f564,,,,
372,raw_position_sample,2,2,int,8,1,6,7,-1,999,345,112,1281947.4000000954,69827aca36b5061e15b8f564,69827aca36b5061e15b8f564,intermediate,1,69827aca36b5061e15b8f564,69827aca36b5061e15b8f564,spotlight_PROLIFIC,,22,Brazil,Portuguese,English,,Portuguese:75|English:25,100,Portuguese:70|English:30,100,Portuguese:95|English:5,100,16,4,Bachelor's,10,10,10,7,9,9,6,18,12,16,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-09T14:46:22.918Z,QNTFCCHN,2026-08-09,2026-08-09,11:46:22,2026-08-09 11:46:22,,,,,,,,69827aca36b5061e15b8f564,69827aca36b5061e15b8f564,,,,
436,raw_position_sample,2,2,int,8,1,6,7,-1,999,345,112,1282011.100000143,69827aca36b5061e15b8f564,69827aca36b5061e15b8f564,intermediate,1,69827aca36b5061e15b8f564,69827aca36b5061e15b8f564,spotlight_PROLIFIC,,22,Brazil,Portuguese,English,,Portuguese:75|English:25,100,Portuguese:70|English:30,100,Portuguese:95|English:5,100,16,4,Bachelor's,10,10,10,7,9,9,6,18,12,16,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-09T14:46:22.918Z,QNTFCCHN,2026-08-09,2026-08-09,11:46:22,2026-08-09 11:46:22,,,,,,,,69827aca36b5061e15b8f564,69827aca36b5061e15b8f564,,,,
484,raw_position_sample,2,2,int,8,1,6,7,-1,999,345,112,1282058.9000000954,69827aca36b5061e15b8f564,69827aca36b5061e15b8f564,intermediate,1,69827aca36b5061e15b8f564,69827aca36b5061e15b8f564,spotlight_PROLIFIC,,22,Brazil,Portuguese,English,,Portuguese:75|English:25,100,Portuguese:70|English:30,100,Portuguese:95|English:5,100,16,4,Bachelor's,10,10,10,7,9,9,6,18,12,16,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-09T14:46:22.918Z,QNTFCCHN,2026-08-09,2026-08-09,11:46:22,2026-08-09 11:46:22,,,,,,,,69827aca36b5061e15b8f564,69827aca36b5061e15b8f564,,,,
