responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
1173,raw_position_sample,2,2,int,4,4,13,14,-1,999,280,41,2567068.200000003,697a66973d393c0c4fa6d68c,697a66973d393c0c4fa6d68c,intermediate,4,697a66973d393c0c4fa6d68c,697a66973d393c0c4fa6d68c,spotlight_PROLIFIC,,48,México,Spanish,English,,Spanish:80|English:20,100,Spanish:80|English:20,100,Spanish:80|English:20,100,20,5,Bachelor's,10,10,10,5,9,7,13,23,23,23,Santander Open Academy,80,,,,,9,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-22T23:30:19.362Z,VV85WBM3,2026-09-22,2026-09-22,17:30:19,2026-09-22 17:30:19,,,,,,,,697a66973d393c0c4fa6d68c,697a66973d393c0c4fa6d68c,,,,
1223,raw_position_sample,2,2,int,4,4,13,14,-1,999,280,58,2567118.200000003,697a66973d393c0c4fa6d68c,697a66973d393c0c4fa6d68c,intermediate,4,697a66973d393c0c4fa6d68c,697a66973d393c0c4fa6d68c,spotlight_PROLIFIC,,48,México,Spanish,English,,Spanish:80|English:20,100,Spanish:80|English:20,100,Spanish:80|English:20,100,20,5,Bachelor's,10,10,10,5,9,7,13,23,23,23,Santander Open Academy,80,,,,,9,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-22T23:30:19.362Z,VV85WBM3,2026-09-22,2026-09-22,17:30:19,2026-09-22 17:30:19,,,,,,,,697a66973d393c0c4fa6d68c,697a66973d393c0c4fa6d68c,,,,
1283,raw_position_sample,2,2,int,4,4,13,14,-1,999,280,62,2567177.5,697a66973d393c0c4fa6d68c,697a66973d393c0c4fa6d68c,intermediate,4,697a66973d393c0c4fa6d68c,697a66973d393c0c4fa6d68c,spotlight_PROLIFIC,,48,México,Spanish,English,,Spanish:80|English:20,100,Spanish:80|English:20,100,Spanish:80|English:20,100,20,5,Bachelor's,10,10,10,5,9,7,13,23,23,23,Santander Open Academy,80,,,,,9,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-22T23:30:19.362Z,VV85WBM3,2026-09-22,2026-09-22,17:30:19,2026-09-22 17:30:19,,,,,,,,697a66973d393c0c4fa6d68c,697a66973d393c0c4fa6d68c,,,,
1325,raw_position_sample,2,2,int,4,4,13,14,-1,999,282,62,2567220,697a66973d393c0c4fa6d68c,697a66973d393c0c4fa6d68c,intermediate,4,697a66973d393c0c4fa6d68c,697a66973d393c0c4fa6d68c,spotlight_PROLIFIC,,48,México,Spanish,English,,Spanish:80|English:20,100,Spanish:80|English:20,100,Spanish:80|English:20,100,20,5,Bachelor's,10,10,10,5,9,7,13,23,23,23,Santander Open Academy,80,,,,,9,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-22T23:30:19.362Z,VV85WBM3,2026-09-22,2026-09-22,17:30:19,2026-09-22 17:30:19,,,,,,,,697a66973d393c0c4fa6d68c,697a66973d393c0c4fa6d68c,,,,
1385,raw_position_sample,2,2,int,4,4,13,14,-1,999,293,68,2567280.200000003,697a66973d393c0c4fa6d68c,697a66973d393c0c4fa6d68c,intermediate,4,697a66973d393c0c4fa6d68c,697a66973d393c0c4fa6d68c,spotlight_PROLIFIC,,48,México,Spanish,English,,Spanish:80|English:20,100,Spanish:80|English:20,100,Spanish:80|English:20,100,20,5,Bachelor's,10,10,10,5,9,7,13,23,23,23,Santander Open Academy,80,,,,,9,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-22T23:30:19.362Z,VV85WBM3,2026-09-22,2026-09-22,17:30:19,2026-09-22 17:30:19,,,,,,,,697a66973d393c0c4fa6d68c,697a66973d393c0c4fa6d68c,,,,
1436,raw_position_sample,2,2,int,4,4,13,14,-1,999,313,71,2567330.5,697a66973d393c0c4fa6d68c,697a66973d393c0c4fa6d68c,intermediate,4,697a66973d393c0c4fa6d68c,697a66973d393c0c4fa6d68c,spotlight_PROLIFIC,,48,México,Spanish,English,,Spanish:80|English:20,100,Spanish:80|English:20,100,Spanish:80|English:20,100,20,5,Bachelor's,10,10,10,5,9,7,13,23,23,23,Santander Open Academy,80,,,,,9,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-22T23:30:19.362Z,VV85WBM3,2026-09-22,2026-09-22,17:30:19,2026-09-22 17:30:19,,,,,,,,697a66973d393c0c4fa6d68c,697a66973d393c0c4fa6d68c,,,,
1478,raw_position_sample,2,2,int,4,4,13,14,-1,999,314,72,2567373.1000000015,697a66973d393c0c4fa6d68c,697a66973d393c0c4fa6d68c,intermediate,4,697a66973d393c0c4fa6d68c,697a66973d393c0c4fa6d68c,spotlight_PROLIFIC,,48,México,Spanish,English,,Spanish:80|English:20,100,Spanish:80|English:20,100,Spanish:80|English:20,100,20,5,Bachelor's,10,10,10,5,9,7,13,23,23,23,Santander Open Academy,80,,,,,9,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-22T23:30:19.362Z,VV85WBM3,2026-09-22,2026-09-22,17:30:19,2026-09-22 17:30:19,,,,,,,,697a66973d393c0c4fa6d68c,697a66973d393c0c4fa6d68c,,,,
1536,raw_position_sample,2,2,int,4,4,13,14,-1,999,317,77,2567431.5,697a66973d393c0c4fa6d68c,697a66973d393c0c4fa6d68c,intermediate,4,697a66973d393c0c4fa6d68c,697a66973d393c0c4fa6d68c,spotlight_PROLIFIC,,48,México,Spanish,English,,Spanish:80|English:20,100,Spanish:80|English:20,100,Spanish:80|English:20,100,20,5,Bachelor's,10,10,10,5,9,7,13,23,23,23,Santander Open Academy,80,,,,,9,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-22T23:30:19.362Z,VV85WBM3,2026-09-22,2026-09-22,17:30:19,2026-09-22 17:30:19,,,,,,,,697a66973d393c0c4fa6d68c,697a66973d393c0c4fa6d68c,,,,
1584,raw_position_sample,2,2,int,4,4,13,14,-1,999,318,79,2567478.700000003,697a66973d393c0c4fa6d68c,697a66973d393c0c4fa6d68c,intermediate,4,697a66973d393c0c4fa6d68c,697a66973d393c0c4fa6d68c,spotlight_PROLIFIC,,48,México,Spanish,English,,Spanish:80|English:20,100,Spanish:80|English:20,100,Spanish:80|English:20,100,20,5,Bachelor's,10,10,10,5,9,7,13,23,23,23,Santander Open Academy,80,,,,,9,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-22T23:30:19.362Z,VV85WBM3,2026-09-22,2026-09-22,17:30:19,2026-09-22 17:30:19,,,,,,,,697a66973d393c0c4fa6d68c,697a66973d393c0c4fa6d68c,,,,
1623,raw_position_sample,2,2,int,4,4,13,14,-1,999,319,79,2567518.3000000045,697a66973d393c0c4fa6d68c,697a66973d393c0c4fa6d68c,intermediate,4,697a66973d393c0c4fa6d68c,697a66973d393c0c4fa6d68c,spotlight_PROLIFIC,,48,México,Spanish,English,,Spanish:80|English:20,100,Spanish:80|English:20,100,Spanish:80|English:20,100,20,5,Bachelor's,10,10,10,5,9,7,13,23,23,23,Santander Open Academy,80,,,,,9,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-22T23:30:19.362Z,VV85WBM3,2026-09-22,2026-09-22,17:30:19,2026-09-22 17:30:19,,,,,,,,697a66973d393c0c4fa6d68c,697a66973d393c0c4fa6d68c,,,,
